obs_id,train_id,price,carat,cut,color,clarity,depth,table,x,y,z
id_000141,train,4207,1.02,Very Good,F,SI2,60,60,6.53,6.57,3.93
id_000142,train,2444,0.78,Premium,F,SI2,62.7,56,5.87,5.84,3.67
id_000143,train,2479,0.7,Fair,G,VS2,64.9,57,5.55,5.54,3.6
id_000144,train,6108,1.01,Premium,G,VS2,62.4,58,6.41,6.38,3.99
id_000145,test,NA,0.7,Fair,G,VVS2,65.3,61,5.58,5.48,3.61
id_000146,train,896,0.4,Ideal,H,SI1,61.8,57,4.75,4.77,2.94
id_000147,train,883,0.4,Ideal,G,VVS2,61.4,53,4.73,4.81,2.93
id_000148,valid,6863,1.02,Very Good,D,SI1,60.3,56,6.55,6.57,3.96
id_000149,train,7226,1,Good,E,VVS2,65.3,56,6.19,6.24,4.06
id_000150,valid,2512,0.7,Very Good,G,VS1,60.8,56,5.72,5.76,3.49
id_000151,train,2276,0.73,Ideal,F,SI2,62.1,56,5.77,5.8,3.59
id_000152,train,914,0.39,Very Good,E,VS1,62.5,58,4.67,4.7,2.93
id_000153,train,6140,1.29,Premium,I,SI1,62.2,58,7.03,6.96,4.35
id_000154,train,2617,0.7,Ideal,E,SI1,60.2,58,5.75,5.78,3.47
id_000155,train,5042,1.11,Very Good,D,SI2,59.9,57,6.72,6.74,4.03
id_000156,test,NA,0.32,Premium,J,VS1,61.7,58,4.4,4.38,2.71
id_000157,train,735,0.3,Ideal,G,VVS1,60.9,56.8,4.34,4.38,2.65
id_000158,train,4113,1.02,Premium,H,SI2,61.1,61,6.51,6.48,3.97
id_000159,train,752,0.39,Ideal,G,VS1,61.3,56,4.68,4.71,2.88
id_000160,train,1129,0.43,Premium,F,VS1,61,57,4.89,4.84,2.97
id_000161,train,4105,0.91,Very Good,G,VS2,64,56.6,6.09,6.15,3.92
id_000162,test,NA,0.38,Ideal,G,SI1,60.6,57,4.71,4.76,2.87
id_000163,test,NA,0.74,Ideal,G,VS1,61.2,56,5.83,5.86,3.58
id_000164,valid,893,0.34,Premium,E,VS2,62.7,56,4.51,4.48,2.82
id_000165,valid,948,0.43,Very Good,E,SI1,63.1,56,4.83,4.8,3.04
id_000166,train,470,0.27,Very Good,E,VS1,62.9,56,4.12,4.15,2.6
id_000167,test,NA,1.12,Premium,I,SI1,61.3,58,6.69,6.68,4.1
id_000168,train,452,0.26,Ideal,F,VS1,62.3,56,4.08,4.1,2.55
id_000169,valid,4751,1.01,Premium,E,SI2,62.6,57,6.35,6.33,3.97
id_000170,train,7759,1.52,Very Good,J,SI1,59.9,57,7.45,7.47,4.47
id_000171,train,2586,0.77,Very Good,G,SI1,63.2,57,5.86,5.76,3.67
id_000172,test,NA,1,Good,G,VS2,63.5,59,6.23,6.33,3.99
id_000173,valid,18531,2.22,Ideal,I,VS2,61.3,56,8.45,8.36,5.15
id_000174,train,779,0.3,Ideal,E,VVS2,61.7,53.8,4.31,4.34,2.67
id_000175,train,6225,1.09,Ideal,I,VS1,61.4,56,6.61,6.66,4.07
id_000176,valid,10888,1.22,Ideal,G,VVS1,61.1,56,6.91,6.94,4.23
id_000177,train,2360,0.71,Ideal,H,SI2,62.2,55,5.72,5.7,3.55
id_000178,test,NA,1.21,Ideal,J,VS2,62.5,57,6.79,6.74,4.23
id_000179,train,813,0.41,Very Good,G,VS2,61.4,59.2,4.76,4.78,2.93
id_000180,valid,1410,0.5,Ideal,E,SI1,60.1,57,5.14,5.27,3.13
id_000181,train,584,0.37,Premium,I,VS1,61.4,59,4.55,4.61,2.81
id_000182,train,4165,0.9,Good,E,SI1,58.3,61,6.24,6.29,3.65
id_000183,valid,2037,1.04,Fair,I,I1,67.3,56,6.34,6.23,4.22
id_000184,test,NA,0.5,Ideal,H,VVS2,60.3,58,5.14,5.21,3.12
id_000185,valid,3838,1.12,Premium,G,SI2,61,60,6.7,6.64,4.07
id_000186,train,1779,0.51,Ideal,D,VS1,62.4,57,5.09,5.13,3.19
id_000187,valid,2822,0.71,Ideal,D,SI1,60.2,56,5.86,5.83,3.52
id_000188,test,NA,0.3,Ideal,D,VVS2,61.7,57,4.3,4.32,2.66
id_000189,valid,5285,1.04,Very Good,H,SI1,62,58,6.42,6.48,4
id_000190,train,2822,0.72,Premium,E,VS2,60.9,60,5.8,5.76,3.52
id_000191,train,5294,1.01,Premium,H,VS1,61.2,61,6.44,6.41,3.93
id_000192,test,NA,1.14,Good,G,SI2,63.7,58,6.62,6.54,4.19
id_000193,train,2422,0.7,Very Good,H,VS1,62.1,56,5.65,5.68,3.52
id_000194,valid,5288,1.33,Premium,F,SI2,60.7,62,7.12,7.07,4.31
id_000195,train,8858,1.56,Premium,I,VVS2,60.5,58,7.53,7.45,4.53
id_000196,train,5728,1,Ideal,E,SI1,62.8,54.2,6.32,6.4,4.01
id_000197,train,16733,2.01,Ideal,H,SI1,65.1,56,7.91,7.84,5.12
id_000198,valid,444,0.32,Premium,E,I1,60.9,58,4.42,4.38,2.68
id_000199,train,16643,1.67,Ideal,G,VS1,61.5,55,7.62,7.67,4.7
id_000200,valid,9069,1.51,Good,D,SI2,62.1,60,7.25,7.3,4.52
id_000201,train,4202,1.1,Very Good,I,SI2,60.5,59,6.65,6.71,4.04
id_000202,test,NA,1.01,Ideal,F,SI1,60,56,6.55,6.49,3.91
id_000203,train,6915,1.02,Very Good,E,VS2,60,59,6.54,6.59,3.94
id_000204,test,NA,0.32,Ideal,H,VVS1,62.2,56,4.38,4.37,2.72
id_000205,train,2333,0.72,Premium,E,SI1,62.8,52,5.78,5.72,3.61
id_000206,valid,4627,1.08,Premium,G,SI2,62.9,59,6.57,6.53,4.12
id_000207,test,NA,0.48,Ideal,F,IF,62.1,55,5,5.05,3.12
id_000208,train,6050,1,Good,E,VS2,57.4,58,6.57,6.61,3.78
id_000209,test,NA,1.61,Ideal,G,SI1,62.4,55,7.51,7.48,4.68
id_000210,test,NA,0.32,Ideal,E,VS2,61,56,4.4,4.42,2.69
id_000211,test,NA,0.73,Premium,E,VS1,62.6,60,5.68,5.75,3.58
id_000212,train,2207,0.61,Premium,D,VS1,62.4,57,5.46,5.44,3.4
id_000213,valid,4972,1.06,Very Good,E,SI2,62.1,56,6.52,6.59,4.07
id_000214,valid,1079,0.41,Premium,E,VS1,60.8,59,4.76,4.82,2.91
id_000215,valid,5570,1.2,Good,I,VS1,57.8,61,7.02,6.96,4.04
id_000216,test,NA,0.9,Good,H,SI1,62.8,62,6.05,6.09,3.81
id_000217,train,650,0.28,Ideal,G,IF,61.5,57,4.19,4.21,2.58
id_000218,valid,3472,1,Good,H,SI2,63.7,58,6.28,6.15,3.96
id_000219,valid,778,0.31,Ideal,G,VVS1,62.3,53,4.37,4.42,2.74
id_000220,test,NA,1.01,Fair,H,SI2,65.4,59,6.3,6.26,4.11
id_000221,test,NA,0.93,Premium,E,I1,62.3,60,6.2,6.23,3.87
id_000222,train,756,0.32,Ideal,D,SI1,62.6,55,4.39,4.36,2.74
id_000223,train,2090,0.54,Ideal,G,VVS2,60.6,56,5.27,5.26,3.19
id_000224,train,761,0.31,Very Good,G,VVS1,62.8,57,4.3,4.33,2.71
id_000225,test,NA,1.05,Good,G,SI2,63.2,54,6.49,6.52,4.11
id_000226,test,NA,0.33,Ideal,G,VS1,62.4,56,4.43,4.45,2.77
id_000227,test,NA,0.7,Ideal,F,SI2,62,55,5.69,5.73,3.54
id_000228,train,2243,0.61,Very Good,E,VS1,61.1,58,5.47,5.52,3.36
id_000229,train,4235,1.1,Very Good,I,SI1,60.4,61,6.69,6.73,4.05
id_000230,test,NA,0.7,Fair,I,I1,68.6,57,5.46,5.34,3.71
id_000231,train,4072,1.01,Good,F,SI2,63.6,59,6.38,6.34,4.04
id_000232,train,14973,2,Good,J,VS1,62.4,58,8.01,8.08,5.02
id_000233,train,665,0.3,Ideal,H,VVS1,62,56,4.29,4.32,2.67
id_000234,test,NA,0.31,Ideal,F,VS2,61.9,55,4.35,4.31,2.68
id_000235,test,NA,0.35,Ideal,E,SI1,61,57,4.57,4.54,2.78
id_000236,train,1443,0.51,Ideal,E,SI1,62.3,56,5.15,5.12,3.2
id_000237,train,2511,0.71,Ideal,E,SI2,59.5,57,5.87,5.82,3.48
id_000238,test,NA,0.9,Ideal,H,SI2,62.6,57,6.16,6.07,3.83
id_000239,train,8092,1.51,Ideal,J,VS1,62.7,56,7.3,7.35,4.59
id_000240,test,NA,0.4,Ideal,D,VVS2,62.8,56,4.68,4.72,2.95
id_000241,train,565,0.31,Ideal,D,SI1,61.7,55,4.37,4.41,2.71
id_000242,train,5521,1.23,Premium,I,VS2,61.7,58,6.85,6.87,4.23
id_000243,valid,4418,1.15,Very Good,H,SI2,61.4,58,6.7,6.75,4.13
id_000244,train,3385,0.78,Very Good,E,SI1,59.8,57,5.98,6.02,3.59
id_000245,train,2451,0.73,Ideal,I,VVS2,60.1,56,5.88,5.86,3.53
id_000246,train,833,0.37,Ideal,E,SI1,61.9,56,4.6,4.57,2.84
id_000247,test,NA,1.53,Ideal,G,SI2,61.7,57,7.44,7.41,4.58
id_000248,train,1080,0.4,Premium,F,VS2,59.7,58,4.83,4.79,2.87
id_000249,train,2979,0.7,Ideal,E,VS2,61.7,56,5.74,5.71,3.53
id_000250,test,NA,1.01,Premium,E,SI1,59.2,60,6.56,6.51,3.87
id_000251,test,NA,0.7,Premium,J,VS2,61.2,60,5.73,5.7,3.5
id_000252,valid,4102,1.11,Very Good,E,SI2,61.7,63,6.54,6.65,4.07
id_000253,train,544,0.31,Premium,H,VS1,62.4,58,4.32,4.36,2.71
id_000254,train,3755,0.9,Good,D,SI1,64.1,56,6.04,6.07,3.88
id_000255,train,3418,0.93,Good,F,SI2,59.4,61,6.24,6.25,3.71
id_000256,test,NA,2.01,Very Good,H,VS2,63.5,59,7.92,7.86,5.01
id_000257,train,1220,0.51,Very Good,G,SI1,63,53,5.1,5.13,3.22
id_000258,test,NA,0.26,Very Good,H,VVS2,60.5,56,4.13,4.16,2.51
id_000259,train,1242,0.53,Premium,F,SI2,62.5,57,5.17,5.11,3.21
id_000260,valid,4338,1.01,Premium,D,SI2,61.8,57,6.47,6.42,3.98
id_000261,train,3001,0.9,Premium,I,SI2,60.6,60,6.23,6.28,3.79
id_000262,train,3929,1,Ideal,J,SI1,59.2,62,6.47,6.5,3.84
id_000263,train,678,0.24,Ideal,F,VVS2,62.1,56,3.96,3.99,2.46
id_000264,test,NA,0.3,Ideal,H,VS2,62.3,56,4.27,4.3,2.67
id_000265,test,NA,1.1,Premium,E,SI2,60.9,60,6.66,6.61,4.04
id_000266,train,1367,0.55,Ideal,I,SI1,61.3,56,5.29,5.34,3.26
id_000267,train,2230,0.53,Ideal,E,VVS2,62,58,5.16,5.2,3.21
id_000268,train,880,0.34,Ideal,F,VS2,62.9,55,4.48,4.46,2.81
id_000269,test,NA,0.41,Ideal,D,VS1,61.2,57,4.77,4.81,2.93
id_000270,train,526,0.3,Premium,H,VS1,61,58,4.28,4.31,2.62
id_000271,train,3992,0.9,Fair,F,VS2,58.9,67,6.18,6.17,3.64
id_000272,test,NA,0.53,Very Good,H,SI1,61.7,60,5.17,5.21,3.2
id_000273,train,1197,0.39,Ideal,D,VS2,61.4,56,4.71,4.73,2.9
id_000274,valid,665,0.3,Ideal,H,VVS1,61.6,57,4.3,4.34,2.66
id_000275,train,2168,0.52,Ideal,F,VVS2,61.6,57,5.16,5.2,3.19
id_000276,train,572,0.33,Premium,I,SI1,61.4,58,4.5,4.46,2.75
id_000277,train,14294,1.51,Premium,F,VS2,62.5,58,7.36,7.21,4.55
id_000278,test,NA,0.54,Premium,G,VS1,61.6,56,5.26,5.23,3.23
id_000279,valid,2227,0.58,Ideal,F,VS1,60.3,57,5.47,5.44,3.29
id_000280,train,956,0.39,Very Good,G,VVS2,63.4,57,4.65,4.62,2.94
id_000281,train,1028,0.35,Ideal,H,IF,60.9,57,4.58,4.6,2.8
id_000282,test,NA,0.32,Good,D,SI2,63.7,56,4.34,4.33,2.76
id_000283,test,NA,0.56,Premium,G,VS1,61.2,60,5.3,5.26,3.23
id_000284,valid,1115,0.41,Ideal,F,VVS2,62.6,55,4.73,4.76,2.97
id_000285,train,1768,0.55,Ideal,D,VS2,61,56,5.31,5.28,3.23
id_000286,valid,1882,0.51,Ideal,D,VS2,61.8,55,5.16,5.1,3.17
id_000287,train,7633,1.19,Ideal,H,VS2,62,54,6.79,6.83,4.22
id_000288,train,1698,0.55,Premium,D,SI1,60.5,60,5.3,5.27,3.2
id_000289,train,11422,1.25,Ideal,E,VS2,60.7,56,6.97,6.99,4.24
id_000290,train,5294,1.01,Premium,H,VS1,62.7,58,6.39,6.37,4
id_000291,train,5330,1.03,Premium,F,VS2,60.5,59,6.6,6.52,3.97
id_000292,test,NA,1.75,Ideal,H,I1,61.5,55,7.78,7.75,4.78
id_000293,valid,3123,0.82,Ideal,G,SI1,60.7,57,6.07,6.06,3.68
id_000294,test,NA,1.29,Very Good,J,SI2,63.5,57,6.89,6.87,4.37
id_000295,train,3015,0.78,Ideal,H,VVS2,61.7,55,5.9,5.94,3.65
id_000296,train,1432,0.46,Premium,F,VS1,60.5,58,5.02,4.97,3.02
id_000297,train,1331,0.5,Very Good,E,SI1,60.9,58,5.1,5.14,3.12
id_000298,train,7713,1.7,Very Good,J,SI1,59.1,61,7.79,7.85,4.62
id_000299,valid,1693,0.54,Premium,F,SI1,62.3,58,5.26,5.2,3.26
id_000300,valid,13530,1.52,Premium,F,VS2,59.4,60,7.61,7.5,4.49
id_000301,train,3513,1.02,Premium,J,VS2,61.6,58,6.4,6.35,3.93
id_000302,test,NA,0.5,Premium,E,SI1,62.3,58,5.15,5.09,3.19
id_000303,train,478,0.24,Very Good,D,VVS1,59.2,59,4.04,4.1,2.41
id_000304,test,NA,1.02,Premium,D,SI2,61.3,62,6.46,6.42,3.95
id_000305,train,1131,0.3,Ideal,F,IF,60.7,56,4.35,4.38,2.65
id_000306,valid,15543,2.04,Premium,I,SI2,60.2,59,8.28,8.22,4.97
id_000307,test,NA,1.52,Premium,D,SI1,60.2,58,7.49,7.46,4.5
id_000308,test,NA,1.09,Very Good,G,VS1,59.7,63,6.65,6.74,4
id_000309,valid,635,0.38,Premium,D,SI1,59.1,58,4.74,4.77,2.81
id_000310,test,NA,0.41,Ideal,D,VS1,61.1,56,4.8,4.83,2.94
id_000311,train,8315,1.14,Very Good,E,VS1,63.1,59,6.63,6.61,4.18
id_000312,train,1074,0.4,Ideal,E,SI1,62.2,54,4.76,4.72,2.95
id_000313,train,4063,0.97,Fair,F,SI1,56.4,66,6.59,6.54,3.7
id_000314,train,1698,0.56,Ideal,I,VVS1,62,56,5.29,5.26,3.27
id_000315,train,9872,1.13,Ideal,G,VVS1,59.6,57,6.89,6.81,4.08
id_000316,train,3270,0.72,Very Good,E,VS2,59.8,57,5.84,5.89,3.51
id_000317,train,1652,0.59,Ideal,F,SI1,61.7,56,5.36,5.4,3.32
id_000318,test,NA,0.33,Ideal,F,VS2,61.6,56,4.46,4.44,2.74
id_000319,test,NA,0.32,Premium,G,VS2,61.5,58,4.35,4.4,2.69
id_000320,test,NA,0.37,Premium,E,SI1,61.8,58,4.64,4.59,2.85
id_000321,train,2827,0.72,Good,D,VS2,64,54,5.68,5.7,3.64
id_000322,train,1893,0.5,Ideal,D,VS2,61.8,56,5.11,5.14,3.16
id_000323,test,NA,1.01,Good,D,SI1,63.9,61,6.28,6.31,4.02
id_000324,test,NA,0.53,Ideal,D,VS2,61.2,57,5.2,5.26,3.2
id_000325,valid,17650,2.06,Premium,G,SI2,62.7,58,8.12,8.09,5.08
id_000326,valid,2192,0.58,Fair,E,VS1,57.9,56,5.52,5.49,3.19
id_000327,train,7336,1,Premium,F,VS1,62.3,61,6.38,6.33,3.96
id_000328,valid,945,0.35,Ideal,I,IF,62.5,55,4.54,4.52,2.83
