obs_id,train_id,predator,name,hair,feathers,eggs,milk,airborne,aquatic,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
id_000034,train,1,gull,0,1,1,0,1,1,0,1,1,0,0,2,1,0,0
id_000035,train,0,haddock,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000036,train,0,hamster,1,0,0,1,0,0,1,1,1,0,0,4,1,1,0
id_000037,train,0,hare,1,0,0,1,0,0,1,1,1,0,0,4,1,0,0
id_000038,train,1,hawk,0,1,1,0,1,0,0,1,1,0,0,2,1,0,0
id_000039,train,1,herring,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000040,train,0,honeybee,1,0,1,0,1,0,0,0,1,1,0,6,0,1,0
id_000041,train,0,housefly,1,0,1,0,1,0,0,0,1,0,0,6,0,0,0
id_000042,train,1,kiwi,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0
id_000043,train,1,ladybird,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0
id_000044,train,0,lark,0,1,1,0,1,0,0,1,1,0,0,2,1,0,0
id_000045,train,1,leopard,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000046,train,1,lion,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000047,train,1,lobster,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0
id_000048,test,NA,lynx,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000049,train,1,mink,1,0,0,1,0,1,1,1,1,0,0,4,1,0,1
id_000050,train,1,mole,1,0,0,1,0,0,1,1,1,0,0,4,1,0,0
id_000051,train,1,mongoose,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000052,train,0,moth,1,0,1,0,1,0,0,0,1,0,0,6,0,0,0
id_000053,train,1,newt,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
id_000054,train,1,octopus,0,0,1,0,0,1,0,0,0,0,0,8,0,0,1
id_000055,train,1,opossum,1,0,0,1,0,0,1,1,1,0,0,4,1,0,0
id_000056,train,0,oryx,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000057,train,0,ostrich,0,1,1,0,0,0,0,1,1,0,0,2,1,0,1
id_000058,train,0,parakeet,0,1,1,0,1,0,0,1,1,0,0,2,1,1,0
id_000059,train,1,penguin,0,1,1,0,0,1,0,1,1,0,0,2,1,0,1
id_000060,train,0,pheasant,0,1,1,0,1,0,0,1,1,0,0,2,1,0,0
id_000061,test,NA,pike,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1
id_000062,train,1,piranha,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000063,train,1,pitviper,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
id_000064,train,1,platypus,1,0,1,1,0,1,0,1,1,0,0,4,1,0,1
id_000065,test,NA,polecat,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000066,train,0,pony,1,0,0,1,0,0,1,1,1,0,0,4,1,1,1
id_000067,train,1,porpoise,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1
id_000068,test,NA,puma,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000069,train,1,pussycat,1,0,0,1,0,0,1,1,1,0,0,4,1,1,1
id_000070,test,NA,raccoon,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000071,train,0,reindeer,1,0,0,1,0,0,1,1,1,0,0,4,1,1,1
id_000072,train,1,rhea,0,1,1,0,0,0,0,1,1,0,0,2,1,0,1
id_000073,test,NA,scorpion,0,0,0,0,0,0,0,0,1,1,0,8,1,0,0
id_000074,train,0,seahorse,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000075,train,1,seal,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1
id_000076,train,1,sealion,1,0,0,1,0,1,1,1,1,0,1,2,1,0,1
id_000077,train,1,seasnake,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
id_000078,train,1,seawasp,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
id_000079,train,1,skimmer,0,1,1,0,1,1,0,1,1,0,0,2,1,0,0
id_000080,train,1,skua,0,1,1,0,1,1,0,1,1,0,0,2,1,0,0
id_000081,test,NA,slowworm,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
id_000082,test,NA,slug,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
id_000083,train,0,sole,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000084,test,NA,sparrow,0,1,1,0,1,0,0,1,1,0,0,2,1,0,0
id_000085,test,NA,squirrel,1,0,0,1,0,0,1,1,1,0,0,2,1,0,0
id_000086,test,NA,starfish,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0
id_000087,test,NA,stingray,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1
id_000088,train,0,swan,0,1,1,0,1,1,0,1,1,0,0,2,1,0,1
id_000089,test,NA,termite,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0
id_000090,train,0,toad,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0
id_000091,train,0,tortoise,0,0,1,0,0,0,0,1,1,0,0,4,1,0,1
id_000092,train,1,tuatara,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
id_000093,train,1,tuna,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1
id_000094,test,NA,vampire,1,0,0,1,1,0,1,1,1,0,0,2,1,0,0
id_000095,train,0,vole,1,0,0,1,0,0,1,1,1,0,0,4,1,0,0
id_000096,test,NA,vulture,0,1,1,0,1,0,0,1,1,0,0,2,1,0,1
id_000097,test,NA,wallaby,1,0,0,1,0,0,1,1,1,0,0,2,1,0,1
id_000098,train,0,wasp,1,0,1,0,1,0,0,0,1,1,0,6,0,0,0
id_000099,train,1,wolf,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000100,train,0,worm,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
id_000101,train,0,wren,0,1,1,0,1,0,0,1,1,0,0,2,1,0,0
