obs_id,train_id,age,sex,length,diameter,height,total_weight,shucked_weight,viscera_weight,sheel_weight
id_000055,train,8.5,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
id_000056,train,9.5,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
id_000057,train,9.5,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
id_000058,train,9.5,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17
id_000059,valid,5.5,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025
id_000060,train,8.5,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175
id_000061,test,NA,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135
id_000062,train,10.5,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175
id_000063,train,11.5,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2
id_000064,train,8.5,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1
id_000065,valid,9.5,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185
id_000066,train,9.5,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135
id_000067,train,13.5,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32
id_000068,valid,14.5,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485
id_000069,train,11.5,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
id_000070,test,NA,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
id_000071,train,14.5,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275
id_000072,test,NA,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1
id_000073,train,21.5,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425
id_000074,train,12.5,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38
id_000075,train,14.5,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
id_000076,test,NA,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
id_000077,test,NA,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315
id_000078,train,11.5,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305
id_000079,valid,12.5,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285
id_000080,test,NA,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345
id_000081,train,10.5,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285
id_000082,valid,13.5,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675
id_000083,train,17.5,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
id_000084,train,22.5,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58
id_000085,valid,15.5,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36
id_000086,train,13.5,F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44
id_000087,valid,14.5,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4
id_000088,train,11.5,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
id_000089,train,10.5,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
id_000090,train,13.5,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
id_000091,train,16.5,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255
id_000092,train,13.5,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26
id_000093,valid,14.5,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39
id_000094,test,NA,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39
id_000095,valid,16.5,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485
id_000096,valid,15.5,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48
id_000097,train,10.5,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25
id_000098,train,9.5,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145
id_000099,valid,8.5,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165
id_000100,train,11.5,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155
id_000101,valid,8.5,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075
id_000102,train,16.5,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255
id_000103,train,16.5,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335
id_000104,test,NA,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205
id_000105,valid,13.5,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345
id_000106,train,13.5,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235
id_000107,train,12.5,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28
id_000108,train,11.5,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22
id_000109,test,NA,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2
id_000110,train,10.5,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13
id_000111,test,NA,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155
id_000112,valid,10.5,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175
id_000113,train,10.5,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105
id_000114,train,10.5,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165
id_000115,train,12.5,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21
id_000116,train,12.5,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18
id_000117,valid,12.5,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22
id_000118,train,11.5,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165
id_000119,train,10.5,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31
id_000120,valid,9.5,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085
id_000121,test,NA,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14
id_000122,train,8.5,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
id_000123,train,15.5,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255
id_000124,train,7.5,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07
id_000125,valid,7.5,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07
id_000126,train,6.5,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03
id_000127,train,7.5,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07
id_000128,train,9.5,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08
id_000129,train,20.5,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54
id_000130,train,19.5,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78
id_000131,train,18.5,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41
id_000132,train,10.5,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129
id_000133,train,8.5,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062
id_000134,valid,8.5,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068
id_000135,test,NA,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028
id_000136,train,9.5,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
id_000137,train,8.5,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048
id_000138,train,10.5,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063
id_000139,test,NA,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117
id_000140,train,10.5,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
id_000141,valid,11.5,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475
id_000142,train,11.5,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665
id_000143,train,17.5,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465
id_000144,train,12.5,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425
id_000145,valid,11.5,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17
id_000146,train,11.5,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174
id_000147,train,11.5,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565
id_000148,valid,10.5,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042
id_000149,train,6.5,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125
id_000150,test,NA,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01
id_000151,train,16.5,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325
id_000152,train,10.5,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335
id_000153,train,11.5,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45
id_000154,train,11.5,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355
id_000155,train,13.5,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31
id_000156,train,11.5,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21
id_000157,train,14.5,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34
id_000158,train,17.5,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635
id_000159,train,14.5,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285
id_000160,train,14.5,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44
id_000161,train,14.5,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34
id_000162,test,NA,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28
id_000163,train,13.5,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345
id_000164,valid,19.5,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005
id_000165,test,NA,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815
id_000166,train,15.5,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725
id_000167,train,21.5,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85
id_000168,train,21.5,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65
id_000169,valid,15.5,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76
id_000170,train,13.5,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62
id_000171,valid,15.5,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59
id_000172,test,NA,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255
id_000173,test,NA,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285
id_000174,train,9.5,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22
id_000175,train,6.5,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015
id_000176,test,NA,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075
id_000177,valid,6.5,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035
id_000178,valid,9.5,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05
id_000179,train,5.5,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015
id_000180,test,NA,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35
id_000181,train,15.5,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295
id_000182,train,22.5,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57
id_000183,test,NA,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
id_000184,test,NA,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325
id_000185,test,NA,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46
id_000186,train,14.5,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355
id_000187,valid,13.5,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285
id_000188,valid,11.5,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38
id_000189,test,NA,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315
id_000190,train,10.5,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29
id_000191,valid,14.5,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325
id_000192,train,13.5,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36
id_000193,train,15.5,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36
id_000194,test,NA,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15
id_000195,train,11.5,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195
id_000196,train,13.5,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245
id_000197,train,12.5,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21
id_000198,test,NA,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465
id_000199,train,16.5,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26
id_000200,valid,11.5,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285
id_000201,train,10.5,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135
id_000202,train,14.5,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285
id_000203,train,13.5,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23
id_000204,train,14.5,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275
id_000205,train,9.5,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12
id_000206,train,10.5,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16
id_000207,train,10.5,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12
id_000208,train,9.5,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12
id_000209,train,14.5,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31
id_000210,valid,8.5,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08
id_000211,test,NA,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
id_000212,train,8.5,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06
id_000213,valid,13.5,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12
id_000214,test,NA,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205
id_000215,valid,15.5,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235
id_000216,train,11.5,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255
id_000217,valid,9.5,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135
id_000218,test,NA,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11
id_000219,test,NA,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165
id_000220,test,NA,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105
id_000221,train,10.5,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14
id_000222,train,12.5,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18
id_000223,train,10.5,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19
id_000224,train,12.5,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155
id_000225,test,NA,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1
id_000226,train,10.5,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155
id_000227,test,NA,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09
id_000228,train,8.5,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07
id_000229,train,12.5,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35
id_000230,test,NA,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245
id_000231,train,14.5,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275
id_000232,train,15.5,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325
id_000233,train,23.5,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435
id_000234,train,8.5,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035
id_000235,train,13.5,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125
id_000236,valid,10.5,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04
id_000237,valid,2.5,I,0.075,0.055,0.01,0.002,0.001,5e-4,0.0015
id_000238,train,4.5,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004
id_000239,train,4.5,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003
id_000240,train,6.5,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005
id_000241,train,18.5,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275
id_000242,train,6.5,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035
id_000243,test,NA,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02
id_000244,train,9.5,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
id_000245,train,9.5,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06
id_000246,test,NA,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06
id_000247,train,14.5,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
id_000248,test,NA,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07
id_000249,test,NA,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045
id_000250,test,NA,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07
id_000251,valid,8.5,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06
id_000252,test,NA,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36
id_000253,train,13.5,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3
id_000254,train,16.5,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345
id_000255,train,16.5,M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34
id_000256,train,16.5,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37
id_000257,train,20.5,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41
id_000258,test,NA,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345
id_000259,train,16.5,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365
id_000260,test,NA,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295
id_000261,train,12.5,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26
id_000262,train,13.5,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27
id_000263,train,12.5,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245
id_000264,valid,5.5,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026
id_000265,valid,7.5,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04
id_000266,train,12.5,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16
id_000267,train,15.5,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235
id_000268,valid,9.5,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905
id_000269,train,10.5,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255
id_000270,train,14.5,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17
id_000271,train,23.5,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55
id_000272,train,17.5,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37
id_000273,train,15.5,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385
id_000274,train,16.5,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45
id_000275,train,14.5,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41
id_000276,train,23.5,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585
id_000277,test,NA,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49
id_000278,train,19.5,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69
id_000279,train,21.5,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43
id_000280,valid,12.5,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25
id_000281,train,16.5,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3
id_000282,test,NA,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075
id_000283,test,NA,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15
id_000284,train,15.5,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225
id_000285,train,15.5,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31
id_000286,train,11.5,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285
id_000287,train,11.5,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205
id_000288,test,NA,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205
id_000289,train,10.5,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19
id_000290,train,11.5,F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24
id_000291,train,18.5,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325
id_000292,train,13.5,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355
id_000293,test,NA,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315
id_000294,train,20.5,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35
id_000295,train,27.5,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375
id_000296,valid,7.5,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04
id_000297,train,7.5,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035
id_000298,train,5.5,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
id_000299,train,12.5,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15
id_000300,test,NA,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075
id_000301,valid,10.5,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1
id_000302,train,14.5,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335
id_000303,train,9.5,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074
id_000304,train,7.5,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715
id_000305,train,11.5,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15
id_000306,test,NA,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011
id_000307,train,4.5,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005
id_000308,valid,14.5,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535
id_000309,train,15.5,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195
id_000310,train,11.5,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275
id_000311,train,22.5,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39
id_000312,train,15.5,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265
id_000313,valid,20.5,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345
id_000314,valid,24.5,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
id_000315,train,24.5,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
id_000316,train,9.5,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14
id_000317,train,15.5,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39
id_000318,train,11.5,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
id_000319,test,NA,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32
id_000320,train,7.5,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06
id_000321,valid,6.5,I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03
id_000322,train,5.5,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015
id_000323,train,12.5,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1
id_000324,test,NA,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035
id_000325,valid,8.5,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075
id_000326,test,NA,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08
id_000327,valid,8.5,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065
