obs_id,train_id,median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters
id_000011,test,NA,3184,41.25583,-76.996464,1497,49,6.2,2.49,2.12,0,1.5,1.5,2.5,6.9,11.5,13.1,13.3,49.7,2.3,6,20.3,51.8,18,1.5,66.3,33.7
id_000012,valid,281700,6023,34.595471,-118.17456,1755,155,6.9,3.54,4.18,10.4,20.5,32.2,36.1,0,0,0,0.9,0,0,0.5,2.6,41.3,38.6,16.9,84.3,15.7
id_000013,valid,282200,3121,39.16971,-122.924761,1613,580,4.7,2.58,2.68,4.5,8.7,9.9,12,18.1,18,9.4,2.8,16.6,2,13,33.8,41.7,8.9,0.6,82.2,17.8
id_000014,train,635600,5343,33.733284,-118.306841,2457,234,4.8,2.67,1.79,0.6,0,8.3,6.5,13,11.4,21.2,13.3,25.7,0.8,22.3,34.1,37,3.4,2.3,48.1,51.9
id_000015,train,589900,4211,33.955441,-118.122416,1262,0,5.9,3.45,2.34,0.8,2.1,0.8,4,6.9,6,62.4,14,3,0,4.4,13.4,42.9,35.4,4,90.6,9.4
id_000016,valid,365400,5119,33.786936,-118.153485,2130,128,3.9,2.7,2.48,1,0.4,4.6,27.5,9.1,17.8,15.7,13.8,10.2,3.8,30.7,55.7,8.9,0.7,0.3,18.6,81.4
id_000017,train,425800,4109,37.776356,-122.193265,1913,176,5.7,2.48,2.1,0,0.8,0.6,2.8,0.6,1,6.3,19.4,68.4,5.5,2.4,45.3,39.6,6.3,0.9,80.7,19.3
id_000018,test,NA,3644,40.30725,-75.623428,1157,50,7.8,3.22,2.4,1.2,16.9,40,14.7,10.7,4.8,7.9,2.1,1.7,0,1.5,8.4,41,39.7,9.5,95.5,4.5
id_000019,test,NA,4355,42.116627,-80.052735,1725,97,5.7,2.68,1.92,0,1.6,0,3.4,5.1,2.3,21,13.6,52.9,0.5,7.9,28.5,48.8,11.1,3.4,71.6,28.4
id_000020,valid,423900,4808,33.815082,-117.939889,1502,98,3.8,3.38,3.04,4.2,0,0.7,20,21,26.6,27.4,0,0,8.9,24.3,32.4,24,9.6,0.8,33.5,66.5
id_000021,test,NA,7069,40.345997,-75.26796,2488,105,7.1,3.15,2.6,2.6,30.7,25.4,12,4.1,5.7,6.1,0.5,12.8,0,4.5,14.9,46.4,27.5,6.7,79.5,20.5
id_000022,test,NA,2649,40.310425,-75.130158,1244,75,5.7,2.43,1.84,1,0.8,6.3,3.1,2.4,1.3,6.4,3.5,75.2,3.2,23.6,18.6,26.3,20.6,7.6,53,47
id_000023,train,567300,5853,33.878864,-118.319307,2296,142,5.5,3.04,2.21,0.6,0,4.2,7.9,5.7,19.9,48.4,12.6,0.6,4.8,18.9,12.6,41.4,16.2,6.1,65.2,34.8
id_000024,train,580600,6126,33.750654,-118.034225,2389,0,6,2.47,3.62,0.5,1.6,4.2,2.8,42.9,38.8,3,1.9,4.4,0,2.5,18.3,35,42.7,1.5,79.4,20.6
id_000025,train,394100,5892,38.19006,-121.258482,2212,111,5.9,2.89,3.01,3.3,5.4,20.9,13.8,23.2,10.8,10.3,4.7,7.5,2.4,6.3,17.8,54.2,17,2.2,71.7,28.3
id_000026,test,NA,4273,41.551881,-75.924724,1832,238,5.9,2.62,2.59,0.8,5.8,19.1,9.1,31.7,4.5,10.1,4.6,14.4,0.7,0.9,28.3,49,19.6,1.5,81,19
id_000027,test,NA,2933,39.980345,-75.287237,1090,10,7.2,2.69,1.77,0.6,0,0,0.6,2.3,8.4,18.1,21.7,48.3,0.6,0.8,4.7,53.9,26.5,13.5,96.8,3.2
id_000028,test,NA,2649,40.484024,-80.041565,1279,94,6.5,2.56,2.4,0.9,0,0,0,1.6,1.6,9.4,21.2,65.4,0,5.3,24.6,39.2,19.3,11.6,72.7,27.3
id_000029,valid,225900,2832,33.949331,-117.464541,821,24,4.5,4.51,3.25,3.2,4.5,0.6,6.1,25,16.6,37.6,5.1,1.3,11,16.3,21.9,34.3,14.1,2.3,48.2,51.8
id_000030,test,NA,4244,40.055555,-75.043866,1771,100,5.3,2.58,1.43,0,1.9,6.5,10.8,12.6,9.8,39.8,6.4,12,1.8,23,25.9,43.4,4.4,1.5,57.9,42.1
id_000031,test,NA,3859,39.979827,-75.613654,1352,77,8.4,3,1.53,0,4,22.5,18.6,7.5,18.4,19.2,5,4.9,0,0,3.7,23,66.5,6.8,98.5,1.5
id_000032,valid,422800,5127,34.221453,-119.055972,2134,113,4.1,2.42,2.58,0.6,8.4,13.5,16,39.5,16.4,5,0,0.7,1.1,26,48.1,18.2,6.7,0,29.5,70.5
id_000033,test,NA,2843,40.358012,-79.926881,1352,57,5.8,2.4,1.68,2.4,3,2.7,3,18.4,14,36,15.2,5.3,0,17.8,18.5,49.6,11.8,2.4,76.8,23.2
id_000034,train,191300,3467,38.00136,-121.849542,1185,143,5,2.89,2.92,0,0.4,3.6,4.2,23.4,56.3,10,1,1.1,3,2.4,39.2,47.1,8.4,0,47.2,52.8
id_000035,train,240400,6097,37.929514,-122.335622,2216,393,4.8,3.44,3,0,4,5.3,4.4,3.4,22,22,22.2,16.7,2.7,5.6,39,39.4,13.4,0,44.2,55.8
id_000036,test,NA,2690,41.234953,-80.487015,1190,106,6.8,2.57,1.47,0,0,1.1,0,0.8,7.6,26.7,16.6,47.2,5.3,2.8,20.7,47.7,21.6,1.9,84.6,15.4
id_000037,train,338400,4499,37.309241,-121.87587,1556,54,4.2,3.11,2.08,13,11.3,21.5,28.7,4.2,0.8,6.2,0,14.1,0,20.9,52.5,21.3,4.2,1.1,41.3,58.7
id_000038,train,401700,7329,38.664062,-121.788418,2287,250,6.3,2.85,2.55,49.7,13,3.8,6,5.5,4.2,5.5,3,9.3,0,2.8,16.1,45,27.5,8.5,82.6,17.4
id_000039,valid,556500,3719,37.792556,-122.191739,1626,100,5.2,2.51,2.58,0.7,0.7,4,6.7,10.6,10.4,17,15.6,34.4,0.6,4.4,48.4,27.2,17.5,1.8,61,39
id_000040,train,369400,4478,34.028748,-118.203117,1177,106,4.6,3.75,4.22,3.1,0,2.2,3.3,11.2,11.8,11.4,14.1,42.8,7.2,16.4,41.9,22.9,9.9,1.8,37.6,62.4
id_000041,train,398700,4905,33.801075,-118.062895,1903,77,4.2,2.51,2.58,0.5,3.2,0.8,21.9,37.9,24.3,9.2,0.4,1.7,1.3,5.7,75.2,16.3,1.5,0,10.8,89.2
id_000042,train,473600,5615,38.551222,-121.735893,2606,246,3.8,2.3,2.23,1.3,8.5,4.5,19.4,24.3,20.1,16.1,2,3.7,0,31.8,42.1,22.1,3.9,0,17.8,82.2
id_000043,test,NA,2354,39.967732,-75.311806,921,89,7,3.06,1.17,0,0.5,3.6,0,2.5,21.1,23.9,13.8,34.6,4.8,9,6.8,46.8,25.3,7.3,83.3,16.7
id_000044,test,NA,8740,39.820493,-75.808432,2675,110,7.4,3.15,4.47,8,18.5,17,14,12.7,5.7,6.6,1.9,15.6,0,2,12.3,40.3,40.2,5.2,81.6,18.4
id_000045,train,754700,3248,34.446428,-119.822868,1397,82,5.1,2.32,2.62,0,0,1.6,4,26.1,61.3,5.2,0,1.9,0,14.2,29.3,31.9,19.4,5.3,59.4,40.6
id_000046,train,216700,5997,34.860007,-118.187154,2031,164,6,3.74,3.09,15.7,12.8,51.6,13.8,0.8,0.8,1.3,3.2,0,1.4,0,9.9,52.9,30.6,5.1,76.5,23.5
id_000047,train,291900,3369,33.771988,-118.178647,1618,206,3.4,1.66,2.17,0,0,0.7,8.4,14.2,23.3,18,8.7,26.7,10.6,56.4,29.5,3.6,0,0,12,88
id_000048,test,NA,2257,40.224681,-75.130767,1057,216,4.9,2.62,2.32,6.9,3.3,7.5,20.9,38.3,10.4,10.8,0.9,1,0,21.6,54.9,10.2,10.9,2.5,51.8,48.2
id_000049,train,221700,5590,33.650498,-117.277156,1832,286,5.8,3.26,3.62,14.2,47.5,5,12,6.6,1.5,6.2,4.1,2.7,0,5.8,26.1,42.4,18.8,6.9,76.5,23.5
id_000050,train,342800,4893,34.070567,-118.012604,1191,81,4.3,4.12,3.98,0,11.6,15.2,35,11.5,12.5,11.1,1.1,2,1.9,8.1,61.7,19.2,9,0,30.3,69.7
id_000051,train,712700,6193,37.730985,-122.445355,2623,98,5.1,2.66,2.57,2.2,0,1.5,12.7,4.1,9.2,13.5,12.5,44.3,1.1,12.4,39.5,34.2,10.1,2.7,64.1,35.9
id_000052,test,NA,4009,40.290774,-75.211003,1470,59,7.3,2.86,2.1,0.7,8.4,21.6,13.8,12.2,13.3,13.9,4,11.9,0,2.9,14.4,48.1,30.2,4.5,91.8,8.2
id_000053,train,433300,2968,34.047337,-118.27807,956,175,2.7,5.18,3.52,0.7,3.5,8.6,0,5.3,7.3,12.9,7.3,54.4,31.1,30.5,13,10.3,9.8,5.3,22.5,77.5
id_000054,test,NA,6438,41.874166,-80.125645,3133,636,4.8,2.68,1.83,1.2,3.7,9,18.4,22.2,13.2,10.8,10.5,11,8.2,17.5,33.7,20.8,19.3,0.5,39.6,60.4
id_000055,valid,295000,3673,33.959731,-118.175736,865,0,4.2,5.51,4.48,2.2,0,13.4,5.3,9.1,26.8,32.1,8.9,2.1,1,12.7,59.2,25.3,1.7,0,13.8,86.2
id_000056,test,NA,3323,40.177488,-75.549079,1669,78,5,2.62,1.48,1.4,0.7,4.2,7,3.5,14.5,5.5,2.9,60.3,4.9,26.5,25.4,24.7,13.1,5.4,53.8,46.2
id_000057,valid,365900,3672,34.26028,-118.419368,726,18,5.5,4.89,4.16,5.8,2.8,0,1.9,2.2,12,45.5,14.7,15.2,0,5.8,38,34.2,16,6.1,52.7,47.3
id_000058,train,215600,4915,37.967298,-121.34491,2175,255,5.4,2.5,2.73,2.3,0.5,2.2,10.6,8.6,21.7,47.1,4.1,3.1,2.4,6.5,25,49.2,16.6,0.3,70.6,29.4
id_000059,train,135400,6343,36.728029,-119.773631,1348,89,4.9,4.09,4.16,0,2.8,5.6,4.3,7.1,7.8,17.5,15.2,39.6,1,6,37.5,45.2,10.1,0.1,46.6,53.4
id_000060,train,387200,3894,35.344145,-119.083224,1496,108,6.9,2.72,3.26,1,0.1,6.8,9.6,58.8,11.5,8.8,1.4,1.9,0,0.4,7.4,43,38.2,11,86.6,13.4
id_000061,train,161400,3489,34.710234,-118.144109,1105,159,5,3.13,3.05,4.3,1.1,4.5,30,9.6,13,37,0.5,0,3.3,12.9,24.2,35.7,21.7,2.3,59,41
id_000062,train,557000,7407,37.392159,-122.020958,2537,15,4.4,2.89,3.16,0.2,3.4,3.2,11.9,15.6,15.1,40.4,7.7,2.5,4.2,22.3,31.3,36.1,5.7,0.4,48.4,51.6
id_000063,train,146000,7277,34.11671,-117.235446,1976,178,4.1,4.38,3.33,0.5,0.4,8.7,8.5,13.2,21.5,32.1,8.7,6.6,0.5,10.4,62.4,23.4,2.6,0.6,40.8,59.2
id_000064,train,297500,3479,33.142099,-117.17071,1015,66,4.3,3.11,4.05,2.8,4.5,12.8,25.8,36.6,16.1,0,0,1.5,6.2,25.8,58.4,9.6,0,0,6.4,93.6
id_000065,train,341700,2469,38.92323,-119.981138,1607,480,4.3,2.66,2.18,2.5,0,0.7,4.8,13.3,30.9,31.2,8.5,8.1,7.9,11,44.6,30.4,6.2,0,50.3,49.7
id_000066,train,486400,5185,33.937006,-117.928924,1543,0,4.9,3.46,3.27,0,0,2.9,9.4,17.8,36.7,30.1,0.6,2.5,10,10,19.6,36,19.4,5,52,48
id_000067,train,245500,5564,37.694555,-120.98551,2217,137,5.7,2.56,2.64,7.2,12.3,4.5,31.2,36.1,6,0,0.6,2.2,0.7,10,28.8,34.6,18.4,7.6,66.6,33.4
id_000068,valid,328900,2762,33.7333,-116.391208,1957,764,4.8,2.33,1.65,2.2,10.9,13.8,36.3,28.6,5.8,0,0,2.4,0.9,12.6,44.5,37.1,4.9,0,54.6,45.4
id_000069,valid,357800,6483,33.9312,-118.190298,1554,101,4.8,4.38,3.1,0,4.2,5.6,0,3.3,12.5,23.1,42.7,8.6,2,21.6,29.3,27.8,16,3.3,58.9,41.1
id_000070,valid,431000,2304,34.074411,-118.26326,935,122,3.3,3.95,2.75,1.3,3.9,1.9,14.2,7.6,5,1.6,7.9,56.6,20.7,27.6,40.6,2.5,6.4,2.1,11.9,88.1
id_000071,train,671500,6683,37.259275,-121.908748,2367,64,5.7,2.78,2.73,0.3,2,8.9,3.7,12.3,30.6,34.9,6.7,0.5,4.6,3.3,14.7,43.6,30.5,3.4,78.4,21.6
id_000072,valid,185900,5859,37.958996,-121.327076,2207,224,4.9,2.41,3.24,2.4,0,1.4,2.6,3.7,8.6,30.9,11.9,38.6,1.1,2.5,50.1,39,6.7,0.6,44.3,55.7
id_000073,valid,195400,4765,33.133182,-117.053528,1453,25,4.4,3.39,3.45,1.1,0.5,7.2,14.7,47.1,26.5,3,0,0,2.8,18.2,59.3,14.5,4.5,0.8,37.5,62.5
id_000074,train,575300,4980,37.584831,-122.057448,1507,12,6.1,3.34,3.97,0,0,4.8,17.1,59.2,16.3,2.7,0,0,0.9,0,14,45.5,35.1,4.6,78.7,21.3
id_000075,train,781900,7218,33.5661,-117.638734,2408,57,6.9,3.38,2.48,4,89,5,1.1,0.4,0.6,0,0,0,0,9.6,9.1,31.4,39.5,10.4,73.5,26.5
id_000076,train,354500,5816,33.836612,-117.954608,1758,127,3.8,3.23,3.72,0,1.9,9.8,16,22.4,20.6,24.9,4.5,0,0.4,16.8,55.7,24.5,1.9,0.6,21.8,78.2
id_000077,train,478900,4788,37.536124,-121.961412,1908,148,4.1,3.07,2.67,15.7,3.1,5.7,27.7,30.7,10.3,3.6,3,0.3,3.6,26.2,35.8,31.1,3.2,0,29.4,70.6
id_000078,train,363900,6594,38.45107,-122.737878,2437,174,4.2,2.66,2.47,13.9,5.2,13,13.2,20.5,19.3,1.9,7.4,5.7,7.3,27.9,33.1,23.4,7.8,0.5,32.3,67.7
id_000079,valid,363900,2837,37.940011,-122.321807,1240,43,5.8,2.69,3.32,0,0,0.3,4.7,7,11.6,32.6,30.2,13.6,0,4,23.6,52.7,18.4,1.3,74.1,25.9
id_000080,train,565800,1483,38.016917,-122.135867,492,69,3.3,1.57,1.75,0,0.8,0,0,5.5,10.6,6.9,36,40.2,25,30.1,30.5,6.7,7.7,0,13.2,86.8
id_000081,valid,402100,3450,37.792134,-122.252325,1589,175,3.2,3.93,2.2,0,2.8,4.5,13.5,13.7,6.2,16.3,11.6,31.5,14.5,42,19.9,18.8,2.6,2.2,7.9,92.1
id_000082,valid,934200,2132,34.037589,-117.867369,580,60,7.8,3.91,4.52,9.5,6.2,48.1,30.5,1.9,1.4,0,0,2.4,0,0,3.1,9.5,70,17.4,94.8,5.2
id_000083,test,NA,4810,40.064323,-75.099408,1991,69,6.8,2.74,1.97,2.4,1.3,0.6,1.9,2.5,8.9,17,13.9,51.6,1.8,8.9,16.6,42.7,22.6,7.4,81.5,18.5
id_000084,train,210600,3190,39.15489,-121.061706,1763,136,5.1,2.09,2.31,0,8.8,17.8,22.2,37.1,5.6,2.9,2.4,3.2,0,5.5,46.1,36.5,12,0,87.8,12.2
id_000085,train,745600,3456,33.759183,-117.765705,1166,0,6.2,2.99,2.04,0.7,16.3,82.2,0,0,0,0.9,0,0,1.1,0.9,18.3,33.2,32.5,14,91.6,8.4
id_000086,test,NA,2651,41.415535,-75.638241,1279,176,5.7,2.6,1.91,2.5,2.9,0.6,1.6,6.9,2.6,11.2,13.1,58.6,0,13.3,30.6,41,10.3,4.8,58.4,41.6
id_000087,test,NA,2372,40.705415,-76.270308,1100,96,6.2,2.39,2.24,2.1,1.8,3.4,4.3,6.9,2.5,10.5,6.3,62.2,0,1.9,27.3,52.4,13.9,4.5,88.7,11.3
id_000088,test,NA,5251,41.727817,-77.179812,2550,197,6.1,2.28,1.94,2.6,1.8,14.6,17.2,16.9,9.7,5.1,1.9,30.1,6,8.2,13.8,53.8,13.9,4.2,79.6,20.4
id_000089,train,244300,2894,38.694835,-121.278229,1130,182,5.4,2.54,2.1,0.4,0.6,6.3,18,38.1,21.4,13.4,0,1.8,5,8.2,16.6,48.1,15.3,6.7,63.6,36.4
id_000090,test,NA,3131,40.699562,-75.348253,1124,53,8,3.02,1.82,6,1.2,22.2,27.4,26.7,2.8,3.6,0.8,9.3,0,0,5.4,34.7,52.2,7.7,94.3,5.7
id_000091,test,NA,5245,40.670357,-79.242911,2278,172,5.9,2.66,2.07,2.4,7.5,14.4,19.1,24.3,10.1,3.7,3.4,15.2,0.5,3.3,27.8,52.7,13.8,1.8,84.9,15.1
id_000092,train,730700,2466,32.942603,-117.224834,901,22,6.5,2.89,3.05,2.6,1.6,24.8,71.1,0,0,0,0,0,0,0,12.4,47.7,35.3,4.6,88.6,11.4
id_000093,valid,405700,4273,34.047093,-118.02187,1000,0,4.7,4.41,4.74,0.7,3.9,7,7.6,2.5,31.9,22.2,11.1,13.1,0,23.7,31.1,30.2,10.4,4.6,33.2,66.8
id_000094,valid,121700,2847,33.73722,-116.967278,1152,84,4.9,2.75,3.04,0,0,0,13.8,45.3,23.7,13.5,3,0.8,0,7.4,53,37,0,2.7,40.4,59.6
id_000095,test,NA,3593,40.684272,-80.473638,1497,145,6,2.49,3.22,1,3.1,7.6,6.2,17.4,17.3,20.1,14.8,12.5,0.7,1.4,20.8,62.3,12.4,2.5,80.8,19.2
id_000096,train,732200,2592,35.438179,-120.890362,2419,1049,5,2.15,1.81,2.1,5.4,8.9,16.7,23.2,4.3,20.3,6.7,12.4,3.6,9.7,30.6,41.1,9.1,5.9,70.1,29.9
id_000097,valid,333100,8123,38.669083,-121.7381,2645,218,5.8,3.5,2.75,7.6,38.6,41.2,1.7,4.8,1,2,0.9,2.2,0,9.9,14.8,35.2,32.9,7.2,66.8,33.2
id_000098,train,242800,1512,33.893365,-118.297063,693,0,3.4,2.22,2.41,0,0,0,26.3,30.7,7.1,19.5,11,5.5,5.3,29.3,54.3,8.7,2.5,0,27.3,72.7
id_000099,train,282500,7176,33.538201,-117.155103,2331,235,5.2,3.39,2.18,48.5,26.2,5.9,14.9,2.7,0,0,1.2,0.6,0,19.8,15.7,38.7,22.9,2.9,51.4,48.6
id_000100,test,NA,1871,40.420037,-79.891012,1185,210,5,2.07,1.98,0,0.9,2,5.9,4.4,8.7,12.2,15.6,50.3,2.1,24.1,36.4,20.1,13.9,3.5,48.8,51.2
id_000101,test,NA,3538,40.881174,-75.107921,1626,208,6.4,2.37,2.74,1.2,2,10.5,21.7,8.7,1.7,4.2,4.1,45.9,0,4.4,28.9,38.8,16.2,11.7,94,6
id_000102,train,167300,4599,36.787914,-119.822163,1683,0,4.2,3.59,2.88,0,0,12.8,0.5,38.9,7,36.9,4,0,10,11.6,47.8,23.9,6.6,0,26.1,73.9
id_000103,train,155300,4058,33.765308,-118.087725,3729,760,3.5,1.25,1.48,0.3,1,1.7,2.8,2.9,70,14.9,5,1.4,0.7,30.2,67,1.7,0.3,0,90.6,9.4
id_000104,train,361100,5897,34.213985,-118.53241,1900,127,5.1,3.17,2.75,0.8,2.5,12.3,10.7,15.5,26.9,26.6,0.9,3.7,2.9,15.8,25.4,37.3,16.6,2,53.5,46.5
id_000105,test,NA,3898,40.10829,-78.822659,2012,356,6,2.4,2.25,1,0.9,6.2,6.9,13.6,5.7,11.8,9.6,44.4,0.2,3.4,32.5,52.4,10,1.4,84.1,15.9
id_000106,test,NA,5035,40.524647,-75.308874,2127,191,6.9,2.59,2.68,4.5,3.3,10.3,11.1,14.2,15.7,5.6,4.4,30.9,0,3,22.1,38.9,24.7,11.2,91.2,8.8
id_000107,test,NA,3036,41.258163,-80.49515,1420,240,5.6,2.32,2.2,0.6,0.6,0,0.6,9.9,5.5,13.9,12.7,56.3,0,15.9,25.4,43.5,14.6,0.6,61.4,38.6
id_000108,train,179300,2893,37.683838,-122.455883,1078,28,4.6,2.57,3.02,8.7,20.2,14.9,3.8,27.9,2.8,13.5,3.6,4.5,0.8,13.4,41.7,37.9,4.4,1.8,59.4,40.6
id_000109,train,210800,4352,34.682203,-118.099289,1389,64,6.3,3.17,4.09,5.5,0,11.2,71.9,3.6,0.7,1.8,0,5.3,0,2.9,22.8,38.7,31.8,3.9,72.2,27.8
id_000110,valid,423300,6243,34.186694,-118.160195,1767,70,5.2,3.58,3.65,0,1.4,0.5,3.9,2.7,7.9,20.7,23.2,39.8,1.3,4,43.4,38.4,10.8,2.2,65.1,34.9
id_000111,valid,722400,4482,37.292957,-121.981687,1750,82,4.7,3.03,2.24,2,3.5,0.3,3.8,19,29,36.1,6.1,0,7,20.7,20.9,31.1,17.3,3,49.2,50.8
id_000112,train,342700,4600,33.948457,-118.297598,1308,177,4.1,4.86,3.21,1.4,0,7.3,7.2,1.2,19.7,23.6,21.9,17.7,8.6,24.5,31.5,29.8,4.7,0.8,30.8,69.2
id_000113,valid,269900,5073,38.416116,-121.41229,1704,38,5.5,3.12,3.5,14.3,11.9,36.4,29.6,0,0.6,3.3,1,2.9,3.5,2.8,5.9,61,21.9,5,69.3,30.7
id_000114,test,NA,3032,40.130916,-75.416981,1444,96,5.6,2.39,1.6,15,31.7,3.7,0.6,6,17.7,22,2.1,1.4,0,13.8,42.7,14.6,25,3.9,71.5,28.5
id_000115,train,212500,3383,38.547136,-121.470655,1671,241,4.5,2.72,2.3,2.8,0.6,1.1,9.2,6.9,9.8,6.5,15.4,47.7,8.3,16.7,47.5,19.2,5.7,2.7,31.6,68.4
id_000116,train,248900,4261,33.966052,-118.274805,1093,48,4.4,4.15,4.68,7.9,3.2,3.2,19.7,0,11.1,4.6,13.4,37.1,9.3,17,37.4,22,12.4,1.8,34.2,65.8
id_000117,valid,328700,3687,38.650851,-121.132524,1568,174,5.2,2.22,2.48,17,40.9,35.3,2.7,2.5,0,0.8,0.7,0,0,9.1,30.5,44.2,13.9,2.2,67.6,32.4
id_000118,test,NA,4905,41.534862,-75.623072,2391,224,5.8,2.3,1.91,2.5,3,10.6,17.4,17.4,13.9,10.5,5.1,19.5,0,7.2,21.3,57.1,8.9,5.6,82.6,17.4
id_000119,test,NA,4920,41.775739,-80.364778,2173,282,6.1,2.67,2.52,1.8,3.7,11,10.6,15.3,5.1,5.8,7.4,39.3,0.5,4.3,26.4,44.5,18.1,6.1,80.2,19.8
id_000120,test,NA,2758,39.948376,-75.236064,1278,269,6.1,2.62,2.3,0,0,0,0,1.3,0,17.6,47.6,33.5,0,10.6,12.1,57.7,19,0.6,59.6,40.4
id_000121,train,300800,4167,32.710269,-117.028887,1088,140,5.3,4.47,3.99,0,0,0,5.9,14.6,19.9,56.3,0.7,2.6,0,0,10.8,68.6,16.5,4.1,78.4,21.6
id_000122,valid,491300,3664,34.266714,-118.290785,1375,119,5.6,2.96,2.05,0,11,3.5,1.9,13.1,28.5,22.9,5.8,13.3,0.6,2.9,14,54.5,26.3,1.7,88.1,11.9
id_000123,test,NA,4667,40.252571,-75.221749,1613,0,7.3,2.99,3.38,0.7,3.1,59.9,35.2,0,0.4,0,0,0.7,0,0,8.3,50.4,41.3,0,97.6,2.4
id_000124,test,NA,5226,40.198948,-80.291387,2444,125,5.4,2.38,2,4.7,5,13.4,10.4,24.8,16.2,14.2,4.9,6.5,0,5.2,28.3,56.5,8.4,1.6,88.7,11.3
id_000125,train,490700,3152,32.961186,-117.009563,982,32,6.6,2.85,4.04,0.9,3.7,15.3,13.8,40.2,20.5,4.2,0,1.4,0.8,0,1.1,37.5,40.9,19.7,88.1,11.9
id_000126,valid,276700,2763,33.898605,-117.459192,1149,85,5.1,3.3,2.14,0,2.5,3.9,37,53.1,2,1.5,0,0,0.4,27.1,5.6,45.7,20.8,0.4,63.3,36.7
id_000127,train,804600,3778,37.774885,-122.437395,1984,77,3.8,2.46,1.97,2.7,0.3,2.9,3.2,2.5,3,7.3,11.2,66.9,16.8,36.4,22.1,16.4,4.2,4.1,18,82
id_000128,test,NA,4914,40.661412,-75.257897,1886,136,6.9,2.79,1.98,3.1,5.7,15.4,9.6,8.2,27.6,18.7,3.8,7.9,0,6.7,10.1,44.3,31.9,7,85.6,14.4
id_000129,train,315100,6658,34.101768,-117.673018,2596,291,4.2,2.23,3.18,0.6,0.4,2.9,30.9,33.4,21,10,0.5,0.3,3.3,23.7,48.2,19.5,5.4,0,25.9,74.1
id_000130,train,160000,3812,33.795039,-116.489249,4408,1994,4.1,1.59,2.08,0.3,0.7,2.1,19.7,50,24,2.1,0.5,0.5,1.2,21.9,60.1,16.2,0.3,0.2,73.6,26.4
id_000131,valid,352400,4126,38.948411,-119.948482,2901,1504,3.9,2.5,2.65,0.8,1.8,8.9,13.6,35.4,14.9,11.9,8.4,4.3,11.6,22.9,36.7,18.3,7.6,2.9,16.7,83.3
id_000132,valid,275000,3863,37.953827,-121.284382,2047,491,2.9,5.42,2.19,0.9,4.2,7.1,6.2,7.1,14.1,10.3,8.6,41.5,26.7,42.5,19.6,4.6,5,1.6,3.2,96.8
