obs_id,train_id,crime_type,year,month,day,hour,location,latitude,longitude
id_000114,train,4,2003,5,14,24,STREET,41.866863003,-87.664772948
id_000115,train,1,2009,9,9,21,RESIDENCE,41.786511445,-87.629061998
id_000116,train,2,2004,1,30,15,STREET,41.809081165,-87.633674979
id_000117,valid,5,2002,11,21,17,AIRPORT/AIRCRAFT,41.976290414,-87.905227221
id_000118,train,5,2017,3,9,14,RESIDENCE,41.736336,-87.559710904
id_000119,train,4,2004,2,21,12,SIDEWALK,41.936580107,-87.640214452
id_000120,valid,3,2001,12,21,22,STREET,41.89011049,-87.632714316
id_000121,test,NA,2008,11,3,8,STREET,41.909300678,-87.685972459
id_000122,train,1,2005,12,23,20,APARTMENT,41.770627257,-87.646245257
id_000123,train,2,2005,7,30,19,STREET,41.893649131,-87.714125144
id_000124,train,3,2002,1,11,21,STREET,41.889996763,-87.632965299
id_000125,valid,1,2008,8,30,12,STREET,41.93657219,-87.779785269
id_000126,train,2,2008,11,22,18,SIDEWALK,41.89542227,-87.720330031
id_000127,train,1,2002,9,27,22,VEHICLE NON-COMMERCIAL,41.920341146,-87.694378136
id_000128,train,3,2005,4,23,16,HOTEL/MOTEL,41.982224277,-87.693594288
id_000129,train,4,2011,5,21,16,SIDEWALK,41.831177046,-87.615282435
id_000130,train,2,2015,6,13,22,STREET,41.853965653,-87.679182227
id_000131,train,5,2010,8,9,19,OTHER,41.891308785,-87.614359614
id_000132,train,1,2007,7,23,23,STREET,41.798781192,-87.672009116
id_000133,train,5,2010,1,2,12,STREET,41.91245631,-87.663445006
id_000134,valid,5,2001,8,11,7,STREET,41.802245087,-87.626043645
id_000135,test,NA,2005,1,6,3,RESIDENCE,41.764060147,-87.659683275
id_000136,train,2,2012,5,25,14,RESIDENCE,41.863385678,-87.727526865
id_000137,train,5,2007,11,12,21,OTHER,41.99480708,-87.689785931
id_000138,train,5,2014,3,17,13,DEPARTMENT STORE,41.909664252,-87.742728815
id_000139,test,NA,2002,3,12,10,PARK PROPERTY,42.014512189,-87.678466914
id_000140,train,5,2001,5,2,1,STREET,41.894522329,-87.629874686
id_000141,valid,3,2007,3,13,22,STREET,41.790211616,-87.645053415
id_000142,train,2,2014,7,25,10,APARTMENT,41.899683801,-87.668967121
id_000143,train,4,2013,10,13,7,SIDEWALK,41.838962637,-87.710252603
id_000144,train,3,2004,7,9,9,STREET,41.800336171,-87.742303456
id_000145,valid,3,2011,12,28,20,STREET,41.804911724,-87.664863565
id_000146,train,4,2014,1,31,19,CTA PLATFORM,41.885901992,-87.632455489
id_000147,train,1,2012,6,24,5,RESIDENCE,41.919541685,-87.759694111
id_000148,valid,3,2008,1,16,22,STREET,41.887191291,-87.767174373
id_000149,train,3,2002,5,7,23,STREET,41.886169843,-87.620686081
id_000150,test,NA,2006,9,20,9,APARTMENT,41.946655546,-87.70332727
id_000151,valid,3,2008,2,1,19,STREET,41.799911401,-87.742952841
id_000152,train,4,2015,9,3,19,CTA PLATFORM,41.769185486,-87.625732415
id_000153,train,1,2014,4,30,7,STREET,41.702775211,-87.561666005
id_000154,train,3,2009,11,13,22,PARKING LOT/GARAGE(NON.RESID.),41.804876524,-87.743090651
id_000155,train,3,2008,10,31,6,STREET,41.88104652,-87.699348928
id_000156,train,4,2014,4,16,11,PARKING LOT/GARAGE(NON.RESID.),41.883191631,-87.706183852
id_000157,train,3,2003,11,14,8,STREET,41.809135012,-87.691787056
id_000158,train,3,2013,5,16,12,STREET,41.808017107,-87.712078435
id_000159,train,3,2007,8,11,2,SIDEWALK,41.935372653,-87.717738775
id_000160,train,2,2003,6,13,13,CHA PARKING LOT/GROUNDS,41.700584371,-87.56399184
id_000161,train,3,2005,1,28,22,STREET,41.80716827,-87.743142974
id_000162,test,NA,2008,7,18,21,STREET,41.977037844,-87.689196234
id_000163,train,1,2010,2,19,21,STREET,41.994489811,-87.695877312
id_000164,test,NA,2007,10,14,4,STREET,41.936073098,-87.666744574
id_000165,test,NA,2016,10,24,13,SIDEWALK,41.88275918,-87.709415985
id_000166,train,1,2016,2,22,8,APARTMENT,41.771695499,-87.657935406000007
id_000167,train,1,2009,2,14,21,ALLEY,41.872035337,-87.689649416
id_000168,train,4,2011,5,5,18,SIDEWALK,41.73322286,-87.555483714
id_000169,valid,1,2007,4,14,16,PARK PROPERTY,41.942842093,-87.761731154
id_000170,train,4,2007,5,21,15,RESIDENCE,41.775429728,-87.640753492
id_000171,valid,5,2011,12,30,6,RESIDENCE PORCH/HALLWAY,41.946679253,-87.752040247
id_000172,test,NA,2008,4,3,23,STREET,41.744731508,-87.643868422
id_000173,test,NA,2003,1,24,22,PARKING LOT/GARAGE(NON.RESID.),41.838916012,-87.623250984
id_000174,train,4,2007,11,30,14,SIDEWALK,41.880362084,-87.755847438
id_000175,train,1,2007,5,12,18,OTHER,41.692376319,-87.68117354
id_000176,test,NA,2012,6,19,8,STREET,41.756298891,-87.561468638
id_000177,valid,5,2005,5,3,16,RESIDENCE,41.772903429,-87.572813701
id_000178,valid,3,2001,7,27,20,STREET,41.909671398,-87.746262936
id_000179,valid,5,2004,8,3,14,RESIDENCE,41.776151397,-87.641651267
id_000180,test,NA,2008,4,4,21,STREET,42.007407039,-87.673594671
id_000181,train,5,2010,4,11,16,RESIDENTIAL YARD (FRONT/BACK),41.795512242,-87.651271379
id_000182,train,5,2004,3,27,12,RESIDENCE,41.693192756,-87.647926753
id_000183,test,NA,2007,10,9,21,STREET,41.910605703,-87.669415974
id_000184,train,5,2002,11,26,8,PARKING LOT/GARAGE(NON.RESID.),41.742487363,-87.672953498
id_000185,test,NA,2006,9,25,15,SIDEWALK,41.968355201,-87.728029932
id_000186,train,1,2016,10,28,18,STREET,41.807831711,-87.596246085
id_000187,valid,3,2013,5,1,20,STREET,41.743503863,-87.60501807
id_000188,valid,2,2010,6,1,23,PARK PROPERTY,41.883326693,-87.728811116
id_000189,test,NA,2017,3,24,20,RESIDENCE,41.651311414,-87.548394422
id_000190,train,4,2007,7,17,2,SIDEWALK,41.790872026,-87.606143261
id_000191,valid,3,2010,2,25,23,STREET,41.788358466,-87.664437865
id_000192,train,5,2009,1,17,15,"SCHOOL, PUBLIC, BUILDING",41.68995741,-87.637460623
id_000193,train,2,2009,3,30,23,STREET,41.750224946,-87.664650661
id_000194,test,NA,2010,10,25,13,SIDEWALK,41.878856009,-87.726672071
id_000195,train,3,2003,10,9,20,STREET,41.916395238,-87.721643126
id_000196,train,3,2006,2,10,21,STREET,41.852004263,-87.688536253
id_000197,train,5,2010,3,25,12,RESIDENCE,41.79652277,-87.583980182
id_000198,test,NA,2016,3,5,13,SIDEWALK,41.748152866,-87.658526697
id_000199,train,1,2003,9,28,4,RESIDENCE,41.850405067,-87.729561636
id_000200,valid,5,2017,1,2,2,AIRPORT PARKING LOT,41.763047179,-87.741868715
id_000201,train,1,2008,8,31,5,STREET,41.752564662,-87.637191609
id_000202,train,2,2008,11,28,3,STREET,41.678961547,-87.637121516
id_000203,train,5,2012,5,31,14,"SCHOOL, PUBLIC, BUILDING",41.780328363,-87.717896689
id_000204,train,1,2003,11,17,19,STREET,41.970433499,-87.739240669
id_000205,train,1,2007,1,8,1,STREET,41.938589826,-87.684033387
id_000206,train,5,2005,8,10,18,PARK PROPERTY,41.932499916,-87.638928245
id_000207,train,4,2004,1,8,15,SIDEWALK,41.780084938,-87.594639081
id_000208,train,1,2001,4,13,19,APARTMENT,41.827512195,-87.666514411
id_000209,train,4,2016,11,8,21,RESIDENCE,41.70103316,-87.622159067
id_000210,valid,4,2006,4,7,15,STREET,41.776874871,-87.705508626
id_000211,test,NA,2010,10,23,20,CTA BUS,41.765513157,-87.623877682
id_000212,train,5,2002,4,19,24,GROCERY FOOD STORE,41.722578383,-87.662706548
id_000213,valid,1,2012,6,21,10,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.745019757,-87.589332067
id_000214,test,NA,2005,7,6,22,STREET,41.768797245,-87.647236204
id_000215,test,NA,2005,5,10,14,STREET,41.884560559,-87.735953224
id_000216,train,5,2007,12,26,15,DRUG STORE,41.882553868,-87.624383802
id_000217,valid,3,2002,7,23,1,STREET,41.917738376,-87.698607442
id_000218,test,NA,2010,1,15,9,CTA BUS STOP,41.794185202,-87.631424004
id_000219,test,NA,2016,2,22,16,STREET,41.731843501,-87.620808154
id_000220,train,2,2006,5,4,24,APARTMENT,41.801538809,-87.616145232
id_000221,train,3,2016,1,7,21,STREET,41.870258256,-87.742460188
id_000222,train,5,2003,12,9,19,RESIDENCE-GARAGE,41.972799826,-87.707375941
id_000223,train,1,2013,7,1,24,RESIDENCE,41.751575306,-87.661855097
id_000224,train,4,2011,8,15,18,STREET,41.782317878,-87.721474511
id_000225,test,NA,2006,12,15,24,STREET,41.713552998,-87.62264005
id_000226,train,3,2004,2,17,23,STREET,41.889629205,-87.632543289
id_000227,train,4,2004,7,30,11,STREET,41.871887199,-87.704017962
id_000228,train,4,2002,10,11,12,SIDEWALK,41.95332279,-87.755259142
id_000229,train,5,2006,10,28,8,APARTMENT,41.753937269,-87.636813954
id_000230,test,NA,2014,6,13,14,STREET,41.777521134,-87.63625819
id_000231,train,3,2002,7,19,9,STREET,41.881191799,-87.684578085
id_000232,train,4,2001,3,22,16,PARK PROPERTY,41.721651478,-87.621752274
id_000233,train,5,2011,3,13,4,CTA TRAIN,42.019387809,-87.673537084
id_000234,valid,1,2004,8,6,22,STREET,41.679054768,-87.640740879
id_000235,train,3,2001,2,28,22,STREET,41.779200304,-87.674329474
id_000236,valid,4,2015,12,11,15,SIDEWALK,41.764502037,-87.654099777
id_000237,valid,2,2003,4,21,10,RESIDENCE PORCH/HALLWAY,41.966047906,-87.661060061
id_000238,train,2,2004,8,6,23,SIDEWALK,41.741696634,-87.570946905
id_000239,train,5,2002,8,2,1,BAR OR TAVERN,41.938827805,-87.72342824
id_000240,train,4,2008,11,23,8,STREET,41.998376571,-87.686243989
id_000241,train,3,2002,8,9,22,STREET,41.967458424,-87.659655286
id_000242,train,5,2006,2,14,7,STREET,41.739173407,-87.553590879
id_000243,test,NA,2010,4,16,10,OTHER,41.982269827,-87.773762346
id_000244,train,3,2004,5,14,1,STREET,41.917215931,-87.722190096
id_000245,train,5,2016,7,7,18,PARKING LOT/GARAGE(NON.RESID.),41.993043969,-87.660360363
id_000246,train,2,2013,2,16,18,SIDEWALK,42.019367214,-87.669963926
id_000247,train,1,2008,8,17,21,VEHICLE NON-COMMERCIAL,41.793981982,-87.591655814
id_000248,train,4,2013,7,10,10,DAY CARE CENTER,41.677573166,-87.659260855
id_000249,train,3,2002,8,7,7,STREET,41.808233437,-87.696953239
id_000250,test,NA,2004,2,8,2,OTHER,41.896004341,-87.671440457
id_000251,valid,2,2011,9,9,13,VEHICLE NON-COMMERCIAL,41.78627971,-87.653459282
id_000252,test,NA,2011,7,14,23,APARTMENT,41.850931768,-87.722259875
id_000253,train,3,2005,1,11,19,RESIDENCE,41.95320104,-87.765506065
id_000254,valid,3,2007,11,12,20,STREET,41.762742518,-87.644350072
id_000255,train,4,2012,10,20,14,SIDEWALK,41.895407627,-87.755616421
id_000256,train,2,2010,6,6,11,SIDEWALK,41.689853171,-87.633851757
id_000257,train,1,2005,4,13,21,RESIDENCE-GARAGE,41.951140387,-87.682317924
id_000258,train,5,2003,12,11,23,APARTMENT,41.763810524,-87.579313624
id_000259,train,1,2006,10,9,6,STREET,41.735045894,-87.615482217
id_000260,test,NA,2007,4,10,21,APARTMENT,41.926346121,-87.737356837
id_000261,train,3,2001,11,27,19,STREET,41.909491937,-87.68339521
id_000262,train,4,2005,1,14,20,OTHER,41.865835933,-87.710527744
id_000263,train,3,2004,6,13,18,HOTEL/MOTEL,41.893346855,-87.623478469
id_000264,valid,4,2001,2,24,9,SIDEWALK,41.909904606,-87.677303538
id_000265,valid,5,2005,10,3,16,DRUG STORE,41.967321438,-87.760269515
id_000266,train,4,2002,8,3,17,STREET,41.767824554,-87.591828882
id_000267,train,5,2001,8,12,19,PARK PROPERTY,41.82287589,-87.684994666
id_000268,valid,1,2006,10,21,8,STREET,41.753076082,-87.567469931
id_000269,valid,3,2001,1,9,22,STREET,41.900622585,-87.746055641
id_000270,train,3,2014,7,19,9,STREET,41.909965311,-87.719037334
id_000271,train,5,2015,12,9,3,STREET,41.900002308,-87.721340447
id_000272,train,3,2002,10,3,22,STREET,41.941552883,-87.747687093
id_000273,train,1,2001,11,14,18,STREET,41.990483953,-87.656679474
id_000274,train,4,2008,1,4,24,APARTMENT,41.77295831,-87.572813053
id_000275,train,2,2008,9,17,20,STREET,41.800594881,-87.690328209
id_000276,train,2,2013,3,20,14,TAVERN/LIQUOR STORE,41.891840918,-87.711630436
id_000277,train,3,2004,11,5,14,STREET,41.744487237,-87.643863706
id_000278,train,5,2016,3,14,23,PARKING LOT/GARAGE(NON.RESID.),41.736422269,-87.604815966
id_000279,train,1,2008,11,3,18,STREET,41.681632574,-87.625568589
id_000280,valid,1,2012,11,20,20,RESIDENCE,41.759504924,-87.612699024
id_000281,train,3,2002,8,27,21,STREET,42.009866363,-87.674165345
id_000282,train,4,2004,5,7,4,SIDEWALK,41.952654085,-87.656035695
id_000283,test,NA,2002,8,28,21,STREET,41.917408328,-87.70596285
id_000284,test,NA,2012,11,26,11,DEPARTMENT STORE,41.883500187,-87.627876698
id_000285,train,5,2006,3,12,24,CONSTRUCTION SITE,41.684994388,-87.648672746
id_000286,train,4,2003,7,28,3,SIDEWALK,41.882380888,-87.666517086
id_000287,train,2,2008,8,17,10,STREET,41.848707168,-87.636634704
id_000288,train,5,2004,10,28,1,CTA TRAIN,41.93991842,-87.653288878
id_000289,train,2,2003,8,4,11,STREET,42.015023337,-87.679076204
id_000290,train,2,2001,3,21,15,SIDEWALK,41.88363249,-87.768388272
id_000291,train,3,2009,7,7,20,STREET,41.803858917,-87.620304238
id_000292,train,1,2011,7,16,20,STREET,41.884819029,-87.756449968
id_000293,test,NA,2002,1,17,13,CTA PLATFORM,41.886901317,-87.745509261
id_000294,train,2,2004,11,22,11,STREET,41.89765683,-87.726152565
id_000295,train,3,2013,10,15,8,STREET,41.879148115,-87.740567984
id_000296,valid,2,2013,1,29,16,APARTMENT,41.792763782,-87.76054721
id_000297,train,4,2004,11,1,15,SIDEWALK,41.859063312,-87.707032701
id_000298,train,3,2015,8,17,9,STREET,41.881887253,-87.739048083
id_000299,train,2,2006,1,19,24,VEHICLE NON-COMMERCIAL,41.892324548,-87.742418463
id_000300,test,NA,2001,7,5,20,STREET,41.772377349,-87.644741875
id_000301,valid,5,2002,10,18,19,DEPARTMENT STORE,41.882394062,-87.627844798
id_000302,train,2,2003,8,13,16,STREET,41.875163991,-87.733797258
id_000303,train,3,2005,11,22,22,STREET,41.967191644,-87.660022128
id_000304,train,1,2003,6,19,19,STREET,41.768213543,-87.673617146
id_000305,train,1,2005,8,10,4,STREET,41.748160571,-87.646396924
id_000306,test,NA,2011,8,5,15,VEHICLE NON-COMMERCIAL,41.726443077,-87.619102107
id_000307,train,5,2003,4,1,9,RESIDENCE,41.800764019,-87.642872
id_000308,test,NA,2003,4,13,17,CTA PLATFORM,41.88033698,-87.629365643
id_000309,train,3,2011,8,25,22,STREET,41.919898808,-87.746194922
id_000310,train,1,2012,11,17,20,STREET,41.850053044,-87.697386768
id_000311,train,5,2009,10,24,10,STREET,41.917245085,-87.635356969
id_000312,train,5,2002,8,9,13,OTHER,41.783757424,-87.683764609
id_000313,test,NA,2002,9,13,22,STREET,41.744000079,-87.545463664
id_000314,valid,3,2001,4,15,20,STREET,41.881925363,-87.692058274
id_000315,train,2,2001,2,9,5,OTHER,41.890617159,-87.743928987
id_000316,train,1,2005,1,14,17,RESIDENCE,41.700358821,-87.661978057
id_000317,train,4,2012,11,3,23,SIDEWALK,41.940952796,-87.72723795
id_000318,train,1,2007,4,9,7,PARKING LOT/GARAGE(NON.RESID.),41.895897635,-87.677715036
id_000319,test,NA,2004,10,9,14,SIDEWALK,41.7255911,-87.560795933
id_000320,valid,3,2008,1,27,16,STREET,41.801228804,-87.742981092
id_000321,valid,4,2015,10,14,20,PARK PROPERTY,41.974712279,-87.70131872
id_000322,train,1,2009,10,25,16,PARKING LOT/GARAGE(NON.RESID.),41.772037553,-87.676701328
id_000323,train,2,2014,10,11,17,STREET,41.780294987,-87.684888472
id_000324,test,NA,2013,3,27,14,SIDEWALK,41.87886043,-87.726470068
id_000325,test,NA,2005,9,17,21,APARTMENT,41.770621253,-87.582573441
id_000326,test,NA,2017,3,9,12,OTHER,41.848996954,-87.703945067
id_000327,test,NA,2009,8,16,20,STREET,41.782109921,-87.61273929
id_000328,valid,1,2002,11,14,22,STREET,41.875413319,-87.714069875
id_000329,train,4,2006,8,2,16,STREET,41.677830552,-87.620503762
id_000330,valid,2,2013,1,15,20,STREET,41.695245189,-87.629260335
id_000331,test,NA,2006,4,21,13,GROCERY FOOD STORE,41.780430614,-87.604505041
id_000332,train,1,2001,7,11,24,RESIDENCE,41.682644155,-87.623613599
id_000333,train,1,2016,12,6,21,CONSTRUCTION SITE,41.900209882,-87.695442082
id_000334,test,NA,2006,12,1,19,SIDEWALK,41.778807823,-87.669079676
id_000335,train,5,2010,11,1,24,APARTMENT,41.752203876,-87.600360737
id_000336,train,3,2006,9,21,7,STREET,41.819740135,-87.619878618
id_000337,train,3,2007,2,17,12,STREET,41.851311967,-87.705240064
id_000338,train,5,2007,12,19,12,STREET,41.77265186,-87.698104249
id_000339,train,4,2005,1,29,10,RESIDENCE,41.764740024,-87.679994055
id_000340,test,NA,2008,1,21,22,PARKING LOT/GARAGE(NON.RESID.),41.829658419,-87.650204535
id_000341,test,NA,2007,2,13,23,SIDEWALK,41.922178911,-87.719368486
id_000342,train,2,2005,10,25,20,SIDEWALK,41.905805775,-87.726398631
id_000343,train,3,2008,7,30,8,STREET,41.809354604,-87.691795869
id_000344,train,5,2012,9,5,16,STREET,41.942548856,-87.797079115
id_000345,valid,5,2006,10,17,7,STREET,41.996562746,-87.70202962
id_000346,train,1,2017,4,11,23,STREET,41.927512198,-87.773855274
id_000347,train,5,2017,6,30,18,"SCHOOL, PRIVATE, BUILDING",41.700801334,-87.642642446
id_000348,train,4,2004,6,11,19,STREET,41.679622543,-87.62270967
id_000349,train,5,2004,9,8,20,STREET,41.7060668,-87.645237502
id_000350,valid,4,2004,9,8,19,SIDEWALK,41.698800794,-87.560754143
id_000351,train,4,2008,12,27,20,CTA TRAIN,41.884389103,-87.706866213
id_000352,train,1,2008,8,30,12,STREET,41.884833576,-87.655621394
id_000353,valid,4,2009,5,7,9,APARTMENT,41.999877401,-87.698487117
id_000354,train,2,2007,9,9,11,SIDEWALK,41.969173145,-87.724429558
id_000355,test,NA,2007,4,27,16,VACANT LOT/LAND,41.844900307,-87.636540214
