obs_id,train_id,duration,day,hour,minute,weekday,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_distance,pickup_NTACode,dropoff_NTACode
id_000039,valid,2120,14,14,16,7,-73.983978271484375,40.725303649902344,-73.95928955078125,40.7802619934082,4.7,MN22,MN40
id_000040,train,3838,18,15,58,4,-73.975860595703125,40.752201080322266,-73.7818374633789,40.644508361816406,18.96,MN19,QN98
id_000041,test,NA,20,21,8,6,-73.97322082519531,40.7486686706543,-73.98104095458984,40.733768463134766,1.13,MN19,MN21
id_000042,valid,1313,24,10,44,3,-73.97882843017578,40.76164627075195,-74.0027847290039,40.76059341430664,1.9,MN17,MN13
id_000043,valid,603,26,8,33,5,-73.95313262939453,40.791526794433594,-73.97986602783203,40.78095626831055,2.28,MN99,MN12
id_000044,train,1217,7,14,38,7,-74.0064926147461,40.706478118896484,-73.984130859375,40.743011474609375,4.39,MN25,MN21
id_000045,train,1045,14,5,11,7,-74.00174713134766,40.71702194213867,-73.93150329589844,40.707183837890625,5.31,MN24,BK77
id_000046,valid,307,25,21,56,4,-73.96995544433594,40.764530181884766,-73.97811126708984,40.76497268676758,0.6,MN40,MN17
id_000047,train,435,14,19,44,7,-73.95735168457031,40.78284454345703,-73.96470642089844,40.80192184448242,1.95,MN40,MN09
id_000048,train,238,15,7,30,1,-73.96894836425781,40.7670783996582,-73.95211029052734,40.77814865112305,1.46,MN40,MN32
id_000049,valid,757,19,13,15,5,-73.968292236328125,40.76491928100586,-73.977691650390625,40.757789611816406,0.85,MN40,MN17
id_000050,valid,457,14,12,0,7,-74.000152587890625,40.722007751464844,-73.99451446533203,40.732078552246094,1,MN24,MN23
id_000051,train,105,5,0,30,5,-74.00138854980469,40.75151062011719,-73.99581146240234,40.758758544921875,0.55,MN13,MN15
id_000052,test,NA,6,19,27,6,-73.98240661621094,40.73537063598633,-73.97746276855469,40.74369812011719,0.8,MN21,MN20
id_000053,train,1418,27,22,46,6,-73.95977020263672,40.770328521728516,-73.99794006347656,40.75099182128906,3.21,MN31,MN13
id_000054,train,2340,17,11,13,3,-74.00834655761719,40.71175003051758,-73.86566162109375,40.77096176147461,12.17,MN24,QN98
id_000055,train,353,12,8,29,5,-73.98436737060547,40.72498321533203,-73.98868560791016,40.73397445678711,0.9,MN22,MN21
id_000056,train,378,20,23,19,6,-73.9703140258789,40.7939567565918,-73.95124816894531,40.78599166870117,1.1,MN12,MN40
id_000057,train,624,13,21,21,6,-74.00753021240234,40.743011474609375,-74.01573181152344,40.71168899536133,2.65,MN13,MN25
id_000058,train,999,27,22,18,6,-73.95043182373047,40.7835693359375,-73.97199249267578,40.74477005004883,3.75,MN32,MN19
id_000059,valid,182,30,18,12,2,-73.980010986328125,40.7706413269043,-73.983673095703125,40.761962890625,0.8,MN99,MN17
id_000060,train,256,26,18,38,5,-73.95169830322266,40.77798080444336,-73.95924377441406,40.767601013183594,0.82,MN32,MN31
id_000061,test,NA,28,13,27,7,-73.98650360107422,40.74559783935547,-73.9927749633789,40.71840286254883,2.4,MN17,MN27
id_000062,train,723,23,19,40,2,-73.9757308959961,40.79179000854492,-73.9596176147461,40.77109909057617,2.24,MN12,MN31
id_000063,train,426,30,21,55,2,-73.98381042480469,40.75093078613281,-73.98619079589844,40.75857162475586,1.08,MN17,MN17
id_000064,train,2999,4,8,51,4,-73.98176574707031,40.78361129760742,-73.98201751708984,40.746620178222656,3.25,MN12,MN17
id_000065,valid,277,1,0,43,1,-73.97347259521484,40.74776840209961,-73.98371887207031,40.742191314697266,0.9,MN20,MN21
id_000066,train,272,2,21,3,2,-74.00523376464844,40.71873092651367,-74.00270080566406,40.733638763427734,1.26,MN24,MN23
id_000067,train,237,21,21,57,7,-73.9509048461914,40.779380798339844,-73.94536590576172,40.77253341674805,0.7,MN32,MN32
id_000068,valid,385,28,11,24,7,-73.98226165771484,40.7517204284668,-73.97434997558594,40.76494216918945,1.34,MN17,MN99
id_000069,train,625,15,16,16,1,-73.9805908203125,40.763973236083984,-73.9670639038086,40.760963439941406,1,MN17,MN19
id_000070,test,NA,17,12,26,3,-73.95874786376953,40.77587890625,-73.95372009277344,40.77082061767578,0.64,MN40,MN31
id_000071,train,485,7,18,35,7,-73.97679901123047,40.74338912963867,-73.98567962646484,40.7464485168457,0.53,MN20,MN17
id_000072,test,NA,25,14,52,4,-73.96221160888672,40.76780319213867,-73.94661712646484,40.77264404296875,1.2,MN40,MN32
id_000073,train,1285,17,14,54,3,-73.95393371582031,40.76615524291992,-73.97223663330078,40.7957763671875,3.1,MN31,MN12
id_000074,train,408,22,20,31,1,-73.99405670166016,40.75132751464844,-73.9815444946289,40.75213623046875,0.95,MN17,MN20
id_000075,train,1e3,23,16,24,2,-73.940032958984375,40.809471130371094,-73.95531463623047,40.76918029785156,3.51,MN03,MN31
id_000076,test,NA,23,19,23,2,-74.005706787109375,40.750938415527344,-74.01405334472656,40.70243835449219,3.54,MN13,MN99
id_000077,test,NA,4,12,23,4,-73.95185852050781,40.76647186279297,-73.99152374267578,40.74966049194336,3.2,MN31,MN17
id_000078,train,5480,18,15,13,4,-74.00688171386719,40.719234466552734,-73.97566986083984,40.749267578125,3.22,MN24,MN20
id_000079,valid,1265,3,0,28,3,-73.98217010498047,40.75682830810547,-73.92024993896484,40.74324035644531,4.18,MN17,QN31
id_000080,test,NA,7,2,2,7,-73.98845672607422,40.71865463256836,-74.0112533569336,40.64470291137695,9.4,MN27,BK32
id_000081,train,1163,28,16,12,7,-74.00540924072266,40.74079895019531,-73.95658111572266,40.76816940307617,4.19,MN23,MN31
id_000082,valid,426,2,23,30,2,-73.97624969482422,40.78587341308594,-73.9544677734375,40.77821731567383,1.53,MN12,MN40
id_000083,train,1262,5,14,52,5,-73.99250793457031,40.74966812133789,-73.98998260498047,40.72649002075195,2.5,MN17,MN22
id_000084,train,385,20,21,24,6,-73.99199676513672,40.730804443359375,-74.00474548339844,40.71854019165039,1.1,MN23,MN24
id_000085,valid,758,1,19,16,1,-73.977752685546875,40.78677749633789,-73.95215606689453,40.770870208740234,1.9,MN12,MN31
id_000086,train,577,22,14,26,1,-73.979583740234375,40.75556945800781,-74.0030746459961,40.747379302978516,1.9,MN17,MN13
id_000087,valid,189,7,17,43,7,-73.95477294921875,40.780738830566406,-73.955810546875,40.772789001464844,0.72,MN40,MN31
id_000088,train,1526,31,9,12,3,-74.01588439941406,40.71517562866211,-73.9814453125,40.752105712890625,4.3,MN25,MN20
id_000089,train,1626,28,19,6,7,-73.98242950439453,40.76456069946289,-74.00276184082031,40.75621795654297,2.09,MN17,MN13
id_000090,train,573,19,22,31,5,-73.97186279296875,40.749820709228516,-73.96222686767578,40.76744079589844,1.47,MN19,MN31
id_000091,train,335,13,18,29,6,-73.9951171875,40.74521255493164,-73.98046875,40.742515563964844,1.1,MN13,MN20
id_000092,train,916,16,21,58,2,-73.9686508178711,40.76469039916992,-74.0042724609375,40.742469787597656,3.16,MN40,MN13
id_000093,valid,363,24,18,20,3,-73.99073791503906,40.73493957519531,-73.98876953125,40.72700881958008,0.68,MN13,MN22
id_000094,test,NA,11,20,20,4,-73.97888946533203,40.7601203918457,-73.94993591308594,40.77879333496094,2.68,MN17,MN32
id_000095,valid,1532,26,21,0,5,-73.9854736328125,40.7598876953125,-73.99769592285156,40.72401809692383,3.1,MN17,MN24
id_000096,valid,393,15,11,47,1,-73.98509216308594,40.761268615722656,-73.977630615234375,40.758731842041016,0.7,MN17,MN17
id_000097,train,1138,29,23,3,1,-73.98784637451172,40.72417068481445,-73.97489166259766,40.787879943847656,5.79,MN22,MN12
id_000098,train,1584,2,12,43,2,-73.96468353271484,40.807090759277344,-73.97545623779297,40.761253356933594,4.04,MN09,MN17
id_000099,test,NA,29,23,14,1,-73.99433135986328,40.75270462036133,-74.00482940673828,40.71748733520508,2.9,MN13,MN24
id_000100,train,405,1,1,3,1,-73.99950408935547,40.72519302368164,-74.00435638427734,40.738182067871094,1.3,MN24,MN23
id_000101,valid,327,4,18,17,4,-73.96913146972656,40.75598907470703,-73.9663314819336,40.7620849609375,0.4,MN19,MN40
id_000102,train,1596,20,0,28,6,-74.0018539428711,40.7349967956543,-73.94935607910156,40.66956329345703,6.11,MN23,BK63
id_000103,train,2091,14,16,20,7,-73.95951080322266,40.77423095703125,-74.0058364868164,40.72564697265625,4.8,MN40,MN24
id_000104,test,NA,17,10,7,3,-73.98502349853516,40.73601531982422,-73.990966796875,40.75534439086914,2,MN21,MN17
id_000105,valid,847,21,12,55,7,-73.96807861328125,40.75313186645508,-73.9501724243164,40.7840690612793,2.79,MN19,MN40
id_000106,train,991,18,13,48,4,-74.0029067993164,40.760520935058594,-73.984161376953125,40.76285934448242,1.41,MN13,MN17
id_000107,train,1787,18,17,7,4,-73.99153900146484,40.74996566772461,-73.96150207519531,40.77440643310547,2.8,MN17,MN40
id_000108,train,342,31,17,14,3,-73.96956634521484,40.76632308959961,-73.96136474609375,40.76495361328125,0.52,MN40,MN31
id_000109,test,NA,4,18,48,4,-73.9793701171875,40.78234100341797,-73.97418212890625,40.79063034057617,0.7,MN12,MN12
id_000110,train,1180,4,21,25,4,-74.003204345703125,40.726985931396484,-73.97846984863281,40.78279113769531,4.4,MN24,MN12
id_000111,test,NA,14,20,31,7,-73.96038055419922,40.77303695678711,-73.96998596191406,40.785648345947266,2.6,MN40,MN12
id_000112,valid,1470,17,18,24,3,-73.95397186279297,40.76675033569336,-73.97557830810547,40.76529312133789,1.6,MN31,MN17
id_000113,train,914,12,1,4,5,-74.00849914550781,40.7064208984375,-73.95465850830078,40.77740478515625,7,MN25,MN32
id_000114,train,503,3,11,35,3,-74.00536346435547,40.728416442871094,-74.014862060546875,40.71152877807617,1.24,MN24,MN25
id_000115,train,563,23,9,40,2,-73.95801544189453,40.76092529296875,-74.01265716552734,40.70181655883789,5.91,MN31,MN25
id_000116,train,1260,14,14,35,7,-73.96454620361328,40.76551818847656,-73.98927307128906,40.773441314697266,1.7,MN40,MN14
id_000117,valid,310,24,10,41,3,-73.98467254638672,40.751991271972656,-73.9792709350586,40.75149154663086,0.42,MN17,MN20
id_000118,train,1165,7,12,31,7,-73.98494720458984,40.76041030883789,-74.012603759765625,40.7020263671875,6.14,MN17,MN25
id_000119,train,1331,25,18,56,4,-73.968231201171875,40.762447357177734,-73.99186706542969,40.722206115722656,3.3,MN40,MN27
id_000120,valid,508,7,0,25,7,-73.99249267578125,40.73796081542969,-73.99982452392578,40.72210693359375,1.38,MN13,MN24
id_000121,test,NA,2,17,11,2,-73.97987365722656,40.78110885620117,-73.97554779052734,40.783660888671875,0.4,MN12,MN12
id_000122,train,531,2,12,32,2,-73.98439025878906,40.732139587402344,-73.98365783691406,40.72846603393555,1.18,MN21,MN22
id_000123,train,792,8,3,55,1,-73.9927749633789,40.740543365478516,-73.98210144042969,40.783226013183594,4.15,MN13,MN12
id_000124,train,2647,10,20,13,3,-73.98221588134766,40.76244354248047,-74.0056381225586,40.714927673339844,5.4,MN17,MN24
id_000125,valid,1255,14,18,47,7,-73.98819732666016,40.723289489746094,-73.99244689941406,40.761627197265625,3.8,MN22,MN15
id_000126,train,647,13,20,1,6,-74.00807189941406,40.705169677734375,-74.009063720703125,40.71868896484375,1.81,MN25,MN24
id_000127,train,1284,8,2,28,1,-73.99034881591797,40.76079177856445,-73.95055389404297,40.69220733642578,8.8,MN15,BK75
id_000128,train,446,18,10,38,4,-74.00310516357422,40.73908615112305,-73.9935073852539,40.744163513183594,0.81,MN23,MN13
id_000129,train,1151,3,15,48,3,-73.95500946044922,40.777435302734375,-73.9847640991211,40.77714920043945,2.3,MN40,MN14
id_000130,train,281,20,6,54,6,-73.99164581298828,40.749420166015625,-73.979888916015625,40.759185791015625,1.14,MN17,MN17
id_000131,train,161,23,20,21,2,-73.98114776611328,40.78118133544922,-73.979827880859375,40.787174224853516,0.57,MN12,MN12
id_000132,train,1131,10,21,53,3,-73.9886703491211,40.74879455566406,-73.979217529296875,40.77735137939453,3.5,MN17,MN14
id_000133,train,827,29,20,42,1,-73.97191619873047,40.78221893310547,-73.98741149902344,40.748870849609375,3.1,MN12,MN17
id_000134,valid,586,24,8,59,3,-73.982421875,40.77299499511719,-73.96683502197266,40.77006912231445,1.3,MN14,MN40
id_000135,test,NA,5,13,41,5,-73.98158264160156,40.73257064819336,-73.99627685546875,40.73244094848633,1.13,MN21,MN23
id_000136,train,565,5,16,58,5,-73.98223876953125,40.77459716796875,-73.96862030029297,40.79158401489258,1.5,MN14,MN12
id_000137,train,1128,7,20,37,7,-74.00040435791016,40.730125427246094,-73.98162078857422,40.7467041015625,2,MN23,MN17
id_000138,train,459,12,7,44,5,-73.95870208740234,40.7639274597168,-73.972320556640625,40.75973892211914,1.09,MN31,MN17
id_000139,test,NA,19,20,22,5,-73.99858856201172,40.719757080078125,-73.98731231689453,40.750545501708984,2.57,MN24,MN17
id_000140,train,478,5,8,12,5,-73.98445129394531,40.764442443847656,-73.98500061035156,40.75566101074219,1.3,MN17,MN17
id_000141,valid,1090,5,20,35,5,-73.9792709350586,40.776611328125,-73.95929718017578,40.76028823852539,2.1,MN14,MN31
id_000142,train,419,21,1,45,7,-73.99766540527344,40.720985412597656,-73.980987548828125,40.73391342163086,1.7,MN24,MN21
id_000143,train,366,21,0,41,7,-73.97847747802734,40.76312255859375,-73.991455078125,40.77039337158203,1,MN17,MN15
id_000144,train,440,3,6,42,3,-73.9907455444336,40.7560920715332,-73.97737121582031,40.75511169433594,0.9,MN15,MN17
id_000145,valid,585,23,13,15,2,-73.98918151855469,40.72105026245117,-73.97575378417969,40.73115921020508,1.4,MN27,MN50
id_000146,train,194,15,2,8,1,-73.97553253173828,40.74946975708008,-73.96355438232422,40.757450103759766,1,MN20,MN19
id_000147,train,1068,10,3,38,3,-73.95402526855469,40.77480697631836,-73.8501205444336,40.82822799682617,7.6,MN32,BX59
id_000148,valid,268,1,17,19,1,-73.98338317871094,40.77045440673828,-73.9875259399414,40.77928924560547,0.7,MN14,MN14
id_000149,train,765,27,18,21,6,-73.96192932128906,40.76374816894531,-73.93473052978516,40.766849517822266,3.53,MN31,QN70
id_000150,test,NA,5,20,35,5,-73.994659423828125,40.7258186340332,-73.9924087524414,40.730628967285156,0.52,MN23,MN23
id_000151,valid,281,4,7,50,4,-73.965850830078125,40.76243591308594,-73.95826721191406,40.76544189453125,0.61,MN31,MN31
id_000152,train,1195,16,15,35,2,-73.953521728515625,40.77924346923828,-73.97993469238281,40.782920837402344,1.9,MN32,MN12
id_000153,train,644,30,15,40,2,-73.989990234375,40.73497009277344,-74.01042175292969,40.71897888183594,2.5,MN13,MN24
id_000154,train,171,17,20,15,3,-73.9869613647461,40.75080108642578,-73.98242950439453,40.75714874267578,0.48,MN17,MN17
id_000155,train,672,7,21,43,7,-73.98748016357422,40.73270034790039,-73.98716735839844,40.74491882324219,1.22,MN22,MN17
id_000156,train,1374,22,4,15,1,-74.01236724853516,40.70695114135742,-73.95564270019531,40.70975112915039,5.89,MN25,BK73
id_000157,train,1104,27,13,3,6,-73.96692657470703,40.76401138305664,-73.98876190185547,40.74285888671875,2.1,MN40,MN13
id_000158,train,212,4,6,51,4,-73.9937744140625,40.74628448486328,-73.99342346191406,40.75241470336914,0.7,MN17,MN13
id_000159,train,1254,1,14,16,1,-73.966522216796875,40.79469299316406,-73.99158477783203,40.751182556152344,5,MN12,MN17
id_000160,train,408,1,18,46,1,-73.98237609863281,40.774818420410156,-73.97443389892578,40.76247024536133,1.38,MN14,MN17
id_000161,train,494,31,17,52,3,-73.96765899658203,40.762569427490234,-73.97537994384766,40.7601203918457,0.5,MN40,MN17
id_000162,test,NA,21,17,19,7,-73.992523193359375,40.741294860839844,-74.014617919921875,40.71559143066406,2.62,MN13,MN25
id_000163,train,287,15,2,12,1,-74.00151824951172,40.732181549072266,-74.00248718261719,40.73427963256836,1.11,MN23,MN23
id_000164,valid,523,4,7,25,4,-73.9609375,40.80704879760742,-73.9719467163086,40.78384017944336,2.01,MN09,MN12
id_000165,test,NA,13,8,48,6,-73.96074676513672,40.77811050415039,-73.95368194580078,40.7666015625,1.2,MN40,MN31
id_000166,train,532,21,11,22,7,-73.9828109741211,40.745269775390625,-73.98883819580078,40.73686218261719,0.93,MN17,MN13
id_000167,train,397,6,19,10,6,-73.97505187988281,40.765113830566406,-73.98470306396484,40.7588005065918,0.98,MN17,MN17
id_000168,train,1272,2,0,1,2,-73.98760986328125,40.718467712402344,-73.98863983154297,40.758201599121094,3.7,MN27,MN17
id_000169,valid,454,2,23,16,2,-73.9801025390625,40.74300003051758,-73.97322082519531,40.73847579956055,1,MN20,MN20
id_000170,train,467,20,19,2,6,-74.006072998046875,40.73994827270508,-73.9935531616211,40.73588180541992,0.8,MN23,MN23
id_000171,valid,104,4,21,24,4,-73.960906982421875,40.77507400512695,-73.96472930908203,40.7714958190918,0.3,MN40,MN40
id_000172,test,NA,1,23,33,1,-73.99152374267578,40.749778747558594,-73.83099365234375,40.707942962646484,11.11,MN17,QN60
id_000173,test,NA,24,21,40,3,-73.95267486572266,40.783302307128906,-73.98339080810547,40.78420639038086,2.4,MN40,MN12
id_000174,train,393,21,9,47,7,-74.01725006103516,40.7070198059082,-74.00932312011719,40.7133903503418,0.95,MN25,MN24
id_000175,train,733,25,6,25,4,-73.97978973388672,40.73270797729492,-73.97782897949219,40.76347351074219,3.02,MN50,MN17
id_000176,test,NA,25,22,37,4,-73.98686981201172,40.729698181152344,-73.99676513671875,40.73197555541992,0.6,MN22,MN23
id_000177,valid,482,19,7,40,5,-73.991058349609375,40.75048065185547,-73.982177734375,40.73182678222656,1.9,MN17,MN21
id_000178,valid,2125,14,13,48,7,-73.94824981689453,40.7782096862793,-73.937347412109375,40.84326171875,5.68,MN32,MN36
id_000179,train,806,3,18,55,3,-74.01189422607422,40.72060775756836,-73.98407745361328,40.77527618408203,4.62,MN24,MN14
id_000180,test,NA,13,14,18,6,-73.9819107055664,40.769569396972656,-73.9793701171875,40.78163146972656,0.87,MN14,MN12
id_000181,train,1023,3,12,12,3,-73.95581817626953,40.76810836791992,-73.97770690917969,40.78889083862305,2.51,MN31,MN12
id_000182,train,212,27,22,2,6,-73.96936798095703,40.760860443115234,-73.97537994384766,40.75184631347656,0.68,MN19,MN19
id_000183,test,NA,19,17,41,5,-73.98078918457031,40.773536682128906,-73.952728271484375,40.77153778076172,2.3,MN14,MN31
id_000184,train,451,8,14,7,1,-73.97181701660156,40.76456832885742,-73.96159362792969,40.768943786621094,1.03,MN40,MN40
id_000185,test,NA,8,13,1,1,-73.9616928100586,40.76606750488281,-73.95398712158203,40.77540969848633,0.9,MN31,MN32
id_000186,test,NA,25,21,16,4,-74.00122833251953,40.75196838378906,-73.9850845336914,40.76826095581055,1.6,MN13,MN15
id_000187,valid,795,28,7,33,7,-73.99427795410156,40.71249008178711,-73.99169921875,40.7491340637207,3.3,MN27,MN17
id_000188,valid,716,10,6,15,3,-73.97901916503906,40.74966049194336,-74.01407623291016,40.70454406738281,3.6,MN20,MN25
id_000189,test,NA,19,9,16,5,-73.97149658203125,40.74657440185547,-73.972198486328125,40.75590515136719,0.87,MN20,MN19
id_000190,train,1254,19,22,51,5,-74.00685119628906,40.708030700683594,-73.98814392089844,40.720008850097656,4.5,MN25,MN27
id_000191,valid,745,26,7,36,5,-73.96163177490234,40.76860427856445,-73.966827392578125,40.78904342651367,1.9,MN40,MN12
id_000192,train,1085,13,8,24,6,-73.97870635986328,40.74113464355469,-74.00850677490234,40.746620178222656,2.2,MN20,MN13
id_000193,test,NA,21,10,21,7,-73.95069122314453,40.77949905395508,-73.98638916015625,40.76713180541992,2.94,MN32,MN15
id_000194,test,NA,25,12,22,4,-73.9858169555664,40.76049041748047,-73.97051239013672,40.7622184753418,1.1,MN17,MN17
id_000195,train,533,29,12,44,1,-73.96863555908203,40.75070571899414,-73.9483871459961,40.78902816772461,3.5,MN19,MN33
id_000196,train,1356,4,8,34,4,-73.97252655029297,40.748199462890625,-73.9837875366211,40.785518646240234,4.05,MN19,MN12
id_000197,train,478,21,23,30,7,-74.0063705444336,40.73957061767578,-73.98892974853516,40.730770111083984,1.4,MN23,MN22
id_000198,test,NA,20,20,42,6,-74.00294494628906,40.72323989868164,-73.99108123779297,40.72751998901367,0.9,MN24,MN22
id_000199,train,492,12,15,4,5,-73.98108673095703,40.73337173461914,-73.97924041748047,40.74294662475586,0.9,MN21,MN20
id_000200,test,NA,17,18,58,3,-73.97248077392578,40.759403228759766,-73.94929504394531,40.78508377075195,2.49,MN17,MN32
id_000201,train,1777,31,6,30,3,-73.98272705078125,40.76318359375,-73.788604736328125,40.644832611083984,16.9,MN17,QN98
id_000202,train,839,29,14,8,1,-74.00232696533203,40.72962951660156,-73.99359130859375,40.741424560546875,1.9,MN23,MN13
id_000203,train,643,19,12,38,5,-73.98644256591797,40.76177215576172,-73.98209381103516,40.77257537841797,0.85,MN17,MN14
id_000204,train,571,8,0,18,1,-74.00568389892578,40.740516662597656,-73.99470520019531,40.73183059692383,1.07,MN23,MN23
id_000205,train,594,13,17,55,6,-73.97816467285156,40.74178695678711,-73.97505950927734,40.750328063964844,0.79,MN20,MN20
id_000206,train,771,14,16,26,7,-73.99803924560547,40.73617172241211,-73.97559356689453,40.744598388671875,1.84,MN23,MN20
id_000207,train,1784,18,12,52,4,-73.97956848144531,40.786312103271484,-73.862152099609375,40.76879119873047,11.1,MN12,QN98
id_000208,train,384,10,23,45,3,-73.96685791015625,40.76378631591797,-73.97419738769531,40.78466796875,2.09,MN40,MN12
id_000209,train,2581,13,17,39,6,-73.966278076171875,40.79461669921875,-73.87054443359375,40.77250289916992,8.69,MN12,QN98
id_000210,valid,250,6,8,48,6,-73.98835754394531,40.75954055786133,-73.98429870605469,40.76982879638672,0.93,MN15,MN14
id_000211,test,NA,7,20,35,7,-73.99665832519531,40.7320556640625,-73.9866943359375,40.76121139526367,2.62,MN23,MN17
id_000212,train,279,6,16,32,6,-73.98981475830078,40.73860168457031,-73.98576354980469,40.7311897277832,0.86,MN13,MN22
id_000213,valid,753,8,12,9,1,-73.99285888671875,40.724220275878906,-74.014068603515625,40.712032318115234,3.38,MN24,MN25
id_000214,test,NA,18,13,48,4,-73.981719970703125,40.746456146240234,-73.98725891113281,40.74882125854492,0.35,MN20,MN17
id_000215,test,NA,4,19,32,4,-73.96228790283203,40.77637481689453,-73.974884033203125,40.78004837036133,1,MN40,MN12
id_000216,train,1405,6,21,28,6,-73.99302673339844,40.73771286010742,-73.94849395751953,40.77170944213867,4.2,MN13,MN32
id_000217,valid,726,1,16,23,1,-73.983306884765625,40.756019592285156,-73.9660415649414,40.76217269897461,1.4,MN17,MN31
id_000218,test,NA,17,22,22,3,-74.00872802734375,40.7192497253418,-73.9719467163086,40.7654914855957,4.53,MN24,MN40
