obs_id,train_id,class
id_001432,train,0
id_003064,valid,1
id_002731,train,1
id_002535,test,NA
id_003241,train,1
id_001169,valid,0
id_003609,valid,1
id_002936,train,1
id_003866,train,1
id_002752,train,1
id_003753,train,1
id_002920,test,NA
id_002642,train,1
id_002508,train,1
id_000299,valid,0
id_000977,train,0
id_002663,train,1
id_002913,train,1
id_002432,train,1
id_002956,train,1
id_003121,train,1
id_000543,train,0
id_003220,test,NA
id_000266,train,0
id_002965,test,NA
id_000219,valid,0
id_000088,train,0
id_003376,train,1
id_003749,valid,1
id_002278,train,1
id_000845,test,NA
id_000558,train,0
id_002793,train,1
id_003211,train,1
id_002634,valid,1
id_001702,train,0
id_000112,train,0
id_003261,train,1
id_001053,train,0
id_003352,train,1
id_001996,train,0
id_000336,train,0
id_002987,train,1
id_000070,test,NA
id_003331,train,1
id_001529,valid,0
id_001743,train,0
id_001718,train,0
id_001785,test,NA
id_001943,train,0
id_003837,train,1
id_002389,valid,1
id_003524,valid,1
id_000922,train,0
id_000772,train,0
id_002431,train,1
id_003015,test,NA
id_001435,test,NA
id_002532,train,1
id_003435,test,NA
id_002529,valid,1
id_001583,train,0
id_000783,train,0
id_001660,test,NA
id_000125,test,NA
id_000020,test,NA
id_002676,train,1
id_002365,test,NA
id_003840,test,NA
id_003821,train,1
id_003702,train,1
id_003732,train,1
id_003790,test,NA
id_001975,test,NA
id_003120,test,NA
id_001383,train,0
id_003127,train,1
id_003303,train,1
id_001808,train,0
id_002485,test,NA
id_003535,test,NA
id_003476,train,1
id_003574,valid,1
id_001857,train,0
id_001708,train,0
id_000846,train,0
id_000563,train,0
id_002023,train,1
id_003985,test,NA
id_003963,train,1
id_001109,valid,0
id_000397,train,0
id_002207,train,1
id_001327,train,0
id_001929,valid,0
id_003071,train,1
id_002130,test,NA
id_002959,valid,1
id_002192,train,1
id_002618,train,1
id_002465,test,NA
id_000018,train,0
id_003873,train,1
id_000438,train,0
id_001192,train,0
id_002324,valid,1
id_001958,train,0
id_002304,valid,1
id_002374,valid,1
id_003425,test,NA
id_002113,train,1
id_000034,valid,0
id_003571,train,1
id_001729,valid,0
id_003639,valid,1
id_000820,test,NA
id_001607,train,0
id_000765,test,NA
id_000688,train,0
id_001470,test,NA
id_002555,test,NA
id_000379,valid,0
id_000654,valid,0
id_002232,train,1
id_002639,valid,1
id_000756,train,0
id_002614,valid,1
id_003816,train,1
id_001778,train,0
id_003747,train,1
id_000330,test,NA
id_000172,train,0
id_001023,train,0
id_002133,train,1
id_000524,valid,0
id_000386,train,0
id_003518,train,1
id_001927,train,0
id_000141,train,0
id_001878,train,0
id_000859,valid,0
id_002725,test,NA
id_003971,train,1
id_003778,train,1
id_002649,valid,1
id_002992,train,1
id_003293,train,1
id_000913,train,0
id_001626,train,0
id_002116,train,1
id_001188,train,0
id_001342,train,0
id_003042,train,1
id_001865,test,NA
id_000901,train,0
id_000398,train,0
id_003341,train,1
id_000561,train,0
id_003358,train,1
id_000595,test,NA
id_000008,train,0
id_000979,valid,0
id_003590,test,NA
id_003115,test,NA
id_000633,train,0
id_003927,train,1
id_002554,valid,1
id_000048,train,0
id_002450,test,NA
id_002010,test,NA
id_001481,train,0
id_003361,train,1
id_000787,train,0
id_001111,train,0
id_002653,train,1
id_003533,train,1
id_002953,train,1
id_003715,test,NA
id_002252,train,1
id_003176,train,1
id_001519,valid,0
id_002814,valid,1
id_001898,train,0
id_001291,train,0
id_000402,train,0
id_000307,train,0
id_001171,train,0
id_000184,valid,0
id_003477,train,1
id_003704,valid,1
id_000890,test,NA
id_002348,train,1
id_001889,valid,0
id_002871,train,1
id_003248,train,1
id_002980,test,NA
id_000486,train,0
id_002838,train,1
id_003113,train,1
id_001369,valid,0
id_003067,train,1
id_001926,train,0
id_002055,test,NA
id_003656,train,1
id_000941,train,0
id_001671,train,0
id_001349,valid,0
id_001757,train,0
id_002615,test,NA
id_000431,train,0
id_000869,valid,0
id_000496,train,0
id_003372,train,1
id_000628,train,0
id_002933,train,1
id_000522,train,0
id_003073,train,1
id_001414,valid,0
id_001253,train,0
id_001172,train,0
id_002323,train,1
id_003643,train,1
id_002506,train,1
id_000452,train,0
id_000747,train,0
id_001625,test,NA
id_000051,train,0
id_000041,train,0
id_000620,test,NA
id_002832,train,1
id_002899,valid,1
id_003193,train,1
id_002609,valid,1
id_003447,train,1
id_002126,train,1
id_003875,test,NA
id_000095,test,NA
id_001393,train,0
id_003512,train,1
id_001800,test,NA
id_003309,valid,1
id_003923,train,1
id_001497,train,0
id_001082,train,0
id_001585,test,NA
id_003907,train,1
id_002118,train,1
id_001215,test,NA
id_003699,valid,1
id_001275,test,NA
id_000279,valid,0
id_003197,train,1
id_002361,train,1
id_003336,train,1
id_000144,valid,0
id_001774,valid,0
id_003282,train,1
id_002966,train,1
id_003706,train,1
id_002833,train,1
id_002693,train,1
id_000272,train,0
id_000255,test,NA
id_002586,train,1
id_000771,train,0
id_001842,train,0
id_000982,train,0
id_001228,train,0
id_000407,train,0
id_000818,train,0
id_000588,train,0
id_000245,test,NA
id_000696,train,0
id_000189,valid,0
id_003572,train,1
id_002700,test,NA
id_003584,valid,1
id_003974,valid,1
id_003174,valid,1
id_001310,test,NA
id_002203,train,1
id_002892,train,1
id_000405,test,NA
id_000850,test,NA
id_000903,train,0
id_001991,train,0
id_001152,train,0
id_001738,train,0
id_003789,valid,1
id_000002,train,0
id_000565,test,NA
id_002799,valid,1
id_003472,train,1
id_003305,test,NA
id_001026,train,0
id_000805,test,NA
id_002244,valid,1
id_002894,valid,1
id_000645,test,NA
id_003842,train,1
id_000368,train,0
id_000833,train,0
id_003422,train,1
id_001781,train,0
id_000995,test,NA
id_003267,train,1
id_000591,train,0
id_000672,train,0
id_001751,train,0
id_001268,train,0
id_000755,test,NA
id_000711,train,0
id_001992,train,0
id_000535,test,NA
id_003203,train,1
id_001740,test,NA
id_000984,valid,0
id_001748,train,0
id_002804,valid,1
id_000766,train,0
id_000408,train,0
id_000105,test,NA
id_001535,test,NA
id_001299,valid,0
id_000556,train,0
id_001000,test,NA
id_001305,test,NA
id_002043,train,1
id_000145,test,NA
id_002033,train,1
id_000450,test,NA
id_002155,test,NA
id_000882,train,0
id_001864,valid,0
id_000067,train,0
id_002262,train,1
id_001563,train,0
id_001503,train,0
id_003648,train,1
id_003442,train,1
id_000891,train,0
id_001917,train,0
id_003460,test,NA
id_003093,train,1
id_003737,train,1
id_001204,valid,0
id_001540,test,NA
id_000908,train,0
id_003626,train,1
id_000920,test,NA
id_001137,train,0
id_001398,train,0
id_002602,train,1
id_001074,valid,0
id_001760,test,NA
id_000228,train,0
id_003546,train,1
id_002094,valid,1
id_002371,train,1
id_003731,train,1
id_001235,test,NA
id_000596,train,0
id_002054,valid,1
id_003260,test,NA
id_000542,train,0
id_001499,valid,0
id_002210,test,NA
id_002576,train,1
id_003874,valid,1
id_002853,train,1
id_000068,train,0
id_003177,train,1
id_003389,valid,1
id_001827,train,0
id_002460,test,NA
id_000664,valid,0
id_000648,train,0
id_002090,test,NA
id_003432,train,1
id_000071,train,0
id_003756,train,1
id_001194,valid,0
id_000135,test,NA
id_002387,train,1
id_000830,test,NA
id_001127,train,0
id_002607,train,1
id_000700,test,NA
id_000607,train,0
id_000842,train,0
id_003722,train,1
id_000884,valid,0
id_001387,train,0
id_002523,train,1
id_000990,test,NA
id_002699,valid,1
id_002471,train,1
id_001458,train,0
id_002319,valid,1
id_003627,train,1
id_002919,valid,1
id_003644,valid,1
id_001440,test,NA
id_001423,train,0
id_001410,test,NA
id_003297,train,1
id_000804,valid,0
id_002061,train,1
id_002834,valid,1
id_001255,test,NA
id_002388,train,1
id_003002,train,1
id_003783,train,1
id_003850,test,NA
id_002773,train,1
id_000660,test,NA
id_001460,test,NA
id_000433,train,0
id_001828,train,0
id_000269,valid,0
id_000728,train,0
id_002218,train,1
id_000828,train,0
id_003748,train,1
id_002076,train,1
id_000732,train,0
id_003441,train,1
id_003694,valid,1
id_003695,test,NA
id_002107,train,1
id_003108,train,1
id_003649,valid,1
id_002528,train,1
id_001954,valid,0
id_002633,train,1
id_000685,test,NA
id_002332,train,1
id_003145,test,NA
id_001765,test,NA
id_003018,train,1
id_000642,train,0
id_000597,train,0
id_000195,test,NA
id_000337,train,0
id_003583,train,1
id_000601,train,0
id_003339,valid,1
id_002673,train,1
id_001963,train,0
id_003335,test,NA
id_000549,valid,0
id_000632,train,0
id_001219,valid,0
id_001782,train,0
id_003268,train,1
id_001185,test,NA
id_000559,valid,0
id_000534,valid,0
id_001377,train,0
id_002405,test,NA
id_001956,train,0
id_003725,test,NA
id_003675,test,NA
id_001595,test,NA
id_001613,train,0
id_003848,train,1
id_001284,valid,0
id_001226,train,0
id_001389,valid,0
id_000934,valid,0
id_000400,test,NA
id_001373,train,0
id_002596,train,1
id_001328,train,0
id_001467,train,0
id_003439,valid,1
id_003351,train,1
id_003314,valid,1
id_002111,train,1
id_000390,test,NA
id_003178,train,1
id_002789,valid,1
id_002909,valid,1
id_003086,train,1
id_000675,test,NA
id_002842,train,1
id_002366,train,1
id_002052,train,1
id_001134,valid,0
id_003938,train,1
id_000160,test,NA
id_001242,train,0
id_003788,train,1
id_002437,train,1
id_000892,train,0
id_002330,test,NA
id_002313,train,1
id_000370,test,NA
id_001304,valid,0
id_001236,train,0
id_000764,valid,0
id_001707,train,0
id_003628,train,1
id_000030,test,NA
id_001141,train,0
id_001592,train,0
id_003856,train,1
id_001118,train,0
id_002072,train,1
id_003964,valid,1
id_000822,train,0
id_003357,train,1
id_003832,train,1
id_002522,train,1
id_001674,valid,0
id_002877,train,1
id_002624,valid,1
id_002333,train,1
id_000426,train,0
id_002640,test,NA
id_002078,train,1
id_002599,valid,1
id_000444,valid,0
id_003136,train,1
id_002776,train,1
id_002910,test,NA
id_000983,train,0
id_001608,train,0
id_001037,train,0
id_001994,valid,0
id_001949,valid,0
id_001912,train,0
id_002257,train,1
id_002988,train,1
id_001606,train,0
id_001193,train,0
id_002291,train,1
id_003105,test,NA
id_001231,train,0
id_003098,train,1
id_002719,valid,1
id_003413,train,1
id_001120,test,NA
id_003066,train,1
id_003650,test,NA
id_001745,test,NA
id_003685,test,NA
id_003983,train,1
id_000704,valid,0
id_001537,train,0
id_001690,test,NA
id_002032,train,1
id_003448,train,1
id_002553,train,1
id_002235,test,NA
id_000911,train,0
id_001571,train,0
id_000907,train,0
id_003549,valid,1
id_000208,train,0
id_003599,valid,1
id_000910,test,NA
id_002154,valid,1
id_002420,test,NA
id_002753,train,1
id_003481,train,1
id_001343,train,0
id_001957,train,0
id_001033,train,0
id_001004,valid,0
id_002898,train,1
id_002164,valid,1
id_002895,test,NA
id_001486,train,0
id_002574,valid,1
id_002129,valid,1
id_003437,train,1
id_002228,train,1
id_001202,train,0
id_001488,train,0
id_003916,train,1
id_002253,train,1
id_003385,test,NA
id_000315,test,NA
id_001245,test,NA
id_001797,train,0
id_001634,valid,0
id_003710,test,NA
id_003280,test,NA
id_001952,train,0
id_000011,train,0
id_001834,valid,0
id_003962,train,1
id_001043,train,0
id_003022,train,1
id_003723,train,1
id_003530,test,NA
id_002260,test,NA
id_000551,train,0
id_003502,train,1
id_000883,train,0
id_002288,train,1
id_001374,valid,0
id_001124,valid,0
id_002272,train,1
id_002188,train,1
id_000014,valid,0
id_002009,valid,1
id_001906,train,0
id_001323,train,0
id_002173,train,1
id_003426,train,1
id_003333,train,1
id_002982,train,1
id_000947,train,0
id_000849,valid,0
id_002287,train,1
id_000338,train,0
id_001823,train,0
id_001741,train,0
id_002112,train,1
id_002284,valid,1
id_002941,train,1
id_002563,train,1
id_001998,train,0
id_002230,test,NA
id_002342,train,1
id_003888,train,1
id_001854,valid,0
id_001892,train,0
id_003539,valid,1
id_002603,train,1
id_000138,train,0
id_001113,train,0
id_003202,train,1
id_000795,test,NA
id_000592,train,0
id_003390,test,NA
id_002237,train,1
id_001230,test,NA
id_003610,test,NA
id_001096,train,0
id_000854,valid,0
id_001508,train,0
id_000149,valid,0
id_002062,train,1
id_000527,train,0
id_000150,test,NA
id_002214,valid,1
id_003882,train,1
id_003931,train,1
id_001621,train,0
id_000679,valid,0
id_001681,train,0
id_000212,train,0
id_002100,test,NA
id_001830,test,NA
id_001093,train,0
id_001311,train,0
id_000132,train,0
id_002656,train,1
id_003879,valid,1
id_003617,train,1
id_002625,test,NA
id_003734,valid,1
id_001244,valid,0
id_002441,train,1
id_002369,valid,1
id_002014,valid,1
id_002238,train,1
id_003107,train,1
id_000958,train,0
id_002641,train,1
id_002397,train,1
id_001530,test,NA
id_001978,train,0
id_001602,train,0
id_003103,train,1
id_002267,train,1
id_000198,train,0
id_002174,valid,1
id_001294,valid,0
id_001620,test,NA
id_000310,test,NA
id_003552,train,1
id_001346,train,0
id_002995,test,NA
id_002870,test,NA
id_001918,train,0
id_001143,train,0
id_000499,valid,0
id_000940,test,NA
id_000877,train,0
id_000523,train,0
id_000488,train,0
id_002510,test,NA
id_000127,train,0
id_001056,train,0
id_002827,train,1
id_000518,train,0
id_001904,valid,0
id_000479,valid,0
id_002687,train,1
id_001084,valid,0
id_003666,train,1
id_003349,valid,1
id_002470,test,NA
id_002242,train,1
id_003786,train,1
id_002359,valid,1
id_003231,train,1
id_001936,train,0
id_003950,test,NA
id_000919,valid,0
id_002105,test,NA
id_002897,train,1
id_002726,train,1
id_002802,train,1
id_001859,valid,0
id_000109,valid,0
id_000762,train,0
id_002864,valid,1
id_000360,test,NA
id_001988,train,0
id_002659,valid,1
id_001160,test,NA
id_001420,test,NA
id_000807,train,0
id_003830,test,NA
id_001685,test,NA
id_002089,valid,1
id_002998,train,1
id_001968,train,0
id_001603,train,0
id_002068,train,1
id_003917,train,1
id_000897,train,0
id_004000,test,NA
id_000226,train,0
id_000069,valid,0
id_001477,train,0
id_000282,train,0
id_003450,test,NA
id_000215,test,NA
id_000659,valid,0
id_002820,test,NA
id_002825,test,NA
id_002560,test,NA
id_002845,test,NA
id_001941,train,0
id_001040,test,NA
id_000694,valid,0
id_003072,train,1
id_001312,train,0
id_001114,valid,0
id_003453,train,1
id_000757,train,0
id_002592,train,1
id_003589,valid,1
id_003966,train,1
id_002025,test,NA
id_002813,train,1
id_002519,valid,1
id_000676,train,0
id_001415,test,NA
id_000136,train,0
id_000698,train,0
id_001869,valid,0
id_000790,test,NA
id_002400,test,NA
id_003322,train,1
id_002582,train,1
id_002376,train,1
id_002911,train,1
id_003088,train,1
id_001811,train,0
id_000168,train,0
id_001128,train,0
id_000239,valid,0
id_002542,train,1
id_001044,valid,0
id_000687,train,0
id_001157,train,0
id_001623,train,0
id_001101,train,0
id_000870,test,NA
id_002768,train,1
id_000637,train,0
id_003099,valid,1
id_003473,train,1
id_000938,train,0
id_002132,train,1
id_001544,valid,0
id_001955,test,NA
id_001697,train,0
id_000375,test,NA
id_001789,valid,0
id_003179,valid,1
id_002438,train,1
id_000868,train,0
id_002065,test,NA
id_000023,train,0
id_002929,valid,1
id_003109,valid,1
id_002927,train,1
id_001947,train,0
id_000962,train,0
id_001937,train,0
id_003444,valid,1
id_002552,train,1
id_001597,train,0
id_001438,train,0
id_001307,train,0
id_000885,test,NA
id_000471,train,0
id_003470,test,NA
id_003225,test,NA
id_000997,train,0
id_001900,test,NA
id_001476,train,0
id_000668,train,0
id_000394,valid,0
id_003865,test,NA
id_001593,train,0
id_002083,train,1
id_003123,train,1
id_001059,valid,0
id_003036,train,1
id_003274,valid,1
id_000670,test,NA
id_003152,train,1
id_003509,valid,1
id_003144,valid,1
id_000423,train,0
id_002732,train,1
id_000365,test,NA
id_003912,train,1
id_002320,test,NA
id_003374,valid,1
id_002302,train,1
id_000734,valid,0
id_002019,valid,1
id_003679,valid,1
id_002876,train,1
id_002276,train,1
id_001258,train,0
id_000501,train,0
id_000446,train,0
id_003759,valid,1
id_000575,test,NA
id_001546,train,0
id_001381,train,0
id_000552,train,0
id_001813,train,0
id_001557,train,0
id_000267,train,0
id_001214,valid,0
id_000449,valid,0
id_001764,valid,0
id_001057,train,0
id_001754,valid,0
id_000278,train,0
id_002784,valid,1
id_003994,valid,1
id_000898,train,0
id_001686,train,0
id_001350,test,NA
id_000221,train,0
id_000174,valid,0
id_002984,valid,1
id_001372,train,0
id_001309,valid,0
id_000458,train,0
id_002955,test,NA
id_002451,train,1
id_003624,valid,1
id_003399,valid,1
id_002096,train,1
id_002597,train,1
id_003922,train,1
id_003960,test,NA
id_002879,valid,1
id_001176,train,0
id_003831,train,1
id_003538,train,1
id_003878,train,1
id_001820,test,NA
id_002350,test,NA
id_002791,train,1
id_002671,train,1
id_001903,train,0
id_000510,test,NA
id_000729,valid,0
id_002109,valid,1
id_000956,train,0
id_002977,train,1
id_002809,valid,1
id_003894,valid,1
id_003698,train,1
id_000821,train,0
id_000806,train,0
id_000325,test,NA
id_000750,test,NA
id_003058,train,1
id_002383,train,1
id_002611,train,1
id_002128,train,1
id_000294,valid,0
id_001750,test,NA
id_001554,valid,0
id_002723,train,1
id_000705,test,NA
id_003008,train,1
id_002391,train,1
id_001895,test,NA
id_003299,valid,1
id_002343,train,1
id_003378,train,1
id_003802,train,1
id_002335,test,NA
id_003317,train,1
id_001017,train,0
id_003986,train,1
id_001407,train,0
id_001587,train,0
id_000731,train,0
id_003048,train,1
id_000720,test,NA
id_001088,train,0
id_001302,train,0
id_002493,train,1
id_002102,train,1
id_001818,train,0
id_002651,train,1
id_003766,train,1
id_000725,test,NA
id_001021,train,0
id_001821,train,0
id_002785,test,NA
id_002080,test,NA
id_003801,train,1
id_002121,train,1
id_000966,train,0
id_002837,train,1
id_000303,train,0
id_001881,train,0
id_001911,train,0
id_001325,test,NA
id_002216,train,1
id_001020,test,NA
id_001940,test,NA
id_001801,train,0
id_001983,train,0
id_003034,valid,1
id_002103,train,1
id_001355,test,NA
id_002580,test,NA
id_000743,train,0
id_003039,valid,1
id_001399,valid,0
id_001313,train,0
id_002797,train,1
id_003028,train,1
id_000016,train,0
id_001630,test,NA
id_003438,train,1
id_003277,train,1
id_002047,train,1
id_001779,valid,0
id_001644,valid,0
id_001668,train,0
id_002796,train,1
id_001915,test,NA
id_001418,train,0
id_001916,train,0
id_000873,train,0
id_001223,train,0
id_003168,train,1
id_002070,test,NA
id_001647,train,0
id_003547,train,1
id_000275,test,NA
id_000079,valid,0
id_000083,train,0
id_002707,train,1
id_001148,train,0
id_003386,train,1
id_000557,train,0
id_000118,train,0
id_000749,valid,0
id_000311,train,0
id_000584,valid,0
id_002769,valid,1
id_000560,test,NA
id_003257,train,1
id_000050,test,NA
id_001078,train,0
id_000176,train,0
id_000318,train,0
id_000260,test,NA
id_003249,valid,1
id_003595,test,NA
id_003632,train,1
id_001279,valid,0
id_003883,train,1
id_002886,train,1
id_003279,valid,1
id_000615,test,NA
id_001542,train,0
id_000860,test,NA
id_002285,test,NA
id_003726,train,1
id_002066,train,1
id_002530,test,NA
id_003251,train,1
id_003642,train,1
id_000409,valid,0
id_003906,train,1
id_000164,valid,0
id_001068,train,0
id_000980,test,NA
id_003886,train,1
id_000187,train,0
id_003457,train,1
id_003264,valid,1
id_001002,train,0
id_003061,train,1
id_001402,train,0
id_001710,test,NA
id_002890,test,NA
id_002301,train,1
id_000930,test,NA
id_001688,train,0
id_003054,valid,1
id_000625,test,NA
id_001386,train,0
id_003623,train,1
id_000059,valid,0
id_001462,train,0
id_001221,train,0
id_003688,train,1
id_001655,test,NA
id_000544,valid,0
id_002896,train,1
id_003564,valid,1
id_002039,valid,1
id_001549,valid,0
id_001727,train,0
id_003823,train,1
id_000230,test,NA
id_002720,test,NA
id_001257,train,0
id_003445,test,NA
id_002421,train,1
id_002644,valid,1
id_003219,valid,1
id_003764,valid,1
id_003703,train,1
id_000791,train,0
id_003235,test,NA
id_000657,train,0
id_000017,train,0
id_001445,test,NA
id_003156,train,1
id_003153,train,1
id_001405,test,NA
id_001558,train,0
id_003719,valid,1
id_001066,train,0
id_000640,test,NA
id_003328,train,1
id_003604,valid,1
id_002788,train,1
id_001894,valid,0
id_001326,train,0
id_002177,train,1
id_001616,train,0
id_000569,valid,0
id_002839,valid,1
id_000678,train,0
id_003600,test,NA
id_000178,train,0
id_001770,test,NA
id_002900,test,NA
id_003191,train,1
id_002923,train,1
id_000142,train,0
id_001147,train,0
id_001034,valid,0
id_003824,valid,1
id_000225,test,NA
id_003208,train,1
id_000469,valid,0
id_002386,train,1
id_003373,train,1
id_002306,train,1
id_002497,train,1
id_003523,train,1
id_003792,train,1
id_002199,valid,1
id_002568,train,1
id_003733,train,1
id_001979,valid,0
id_002969,valid,1
id_003348,train,1
id_001289,valid,0
id_002462,train,1
id_000478,train,0
id_000811,train,0
id_000858,train,0
id_003488,train,1
id_001986,train,0
id_000970,test,NA
id_003465,test,NA
id_002492,train,1
id_003051,train,1
id_000546,train,0
id_002617,train,1
id_002962,train,1
id_002390,test,NA
id_001180,test,NA
id_003130,test,NA
id_000532,train,0
id_001203,train,0
id_001720,test,NA
id_001841,train,0
id_002852,train,1
id_001531,train,0
id_003925,test,NA
id_003478,train,1
id_001356,train,0
id_000638,train,0
id_001123,train,0
id_001437,train,0
id_000427,train,0
id_002851,train,1
id_002204,valid,1
id_000954,valid,0
id_002565,test,NA
id_003868,train,1
id_001735,test,NA
id_001982,train,0
id_001829,valid,0
id_003594,valid,1
id_003141,train,1
id_002212,train,1
id_000314,valid,0
id_003269,valid,1
id_002606,train,1
id_000730,test,NA
id_002841,train,1
id_002605,test,NA
id_001314,valid,0
id_001246,train,0
id_000792,train,0
id_003560,test,NA
id_002660,test,NA
id_000175,test,NA
id_002468,train,1
id_002850,test,NA
id_003187,train,1
id_000768,train,0
id_003149,valid,1
id_002743,train,1
id_003129,valid,1
id_002165,test,NA
id_002296,train,1
id_000785,test,NA
id_003619,valid,1
id_003978,train,1
id_001689,valid,0
id_002891,train,1
id_001737,train,0
id_001663,train,0
id_002860,test,NA
id_000712,train,0
id_001353,train,0
id_001610,test,NA
id_000754,valid,0
id_002588,train,1
id_001085,test,NA
id_002847,train,1
id_000374,valid,0
id_002487,train,1
id_002196,train,1
id_000179,valid,0
id_003316,train,1
id_002548,train,1
id_001287,train,0
id_003367,train,1
id_003405,test,NA
id_002309,valid,1
id_003199,valid,1
id_000742,train,0
id_002573,train,1
id_000709,valid,0
id_001270,test,NA
id_001758,train,0
id_002584,valid,1
id_003763,train,1
id_001095,test,NA
id_003253,train,1
id_001392,train,0
id_001344,valid,0
id_003371,train,1
id_000183,train,0
id_000652,train,0
id_001791,train,0
id_000611,train,0
id_003559,valid,1
id_002491,train,1
id_002652,train,1
id_000382,train,0
id_000963,train,0
id_001835,test,NA
id_003485,test,NA
id_001049,valid,0
id_002946,train,1
id_002570,test,NA
id_000899,valid,0
id_001732,train,0
id_002415,test,NA
id_000541,train,0
id_002084,valid,1
id_001799,valid,0
id_000748,train,0
id_001570,test,NA
id_001478,train,0
id_003165,test,NA
id_001944,valid,0
id_001641,train,0
id_000936,train,0
id_001989,valid,0
id_001569,valid,0
id_002698,train,1
id_000417,train,0
id_002828,train,1
id_001658,train,0
id_001119,valid,0
id_001146,train,0
id_000240,test,NA
id_001725,test,NA
id_002637,train,1
id_002220,test,NA
id_003188,train,1
id_000356,train,0
id_002881,train,1
id_002474,valid,1
id_001475,test,NA
id_001692,train,0
id_000658,train,0
id_003452,train,1
id_001908,train,0
id_001329,valid,0
id_003692,train,1
id_003909,valid,1
id_002973,train,1
id_002478,train,1
id_001846,train,0
id_003045,test,NA
id_001378,train,0
id_003593,train,1
id_001840,test,NA
id_003880,test,NA
id_002594,valid,1
id_003173,train,1
id_001170,test,NA
id_001712,train,0
id_003658,train,1
id_002976,train,1
id_000056,train,0
id_003777,train,1
id_002334,valid,1
id_002564,valid,1
id_003858,train,1
id_003403,train,1
id_002861,train,1
id_000308,train,0
id_002240,test,NA
id_000484,valid,0
id_002406,train,1
