obs_id,train_id,median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters,median_household_income,mean_household_income
id_000011,train,591200,2416,37.830988,-122.258039,1372,33,4.3,2.02,1.61,0,2.2,0.6,3.1,1.4,3.5,8.2,13.9,67.1,6.2,29.2,40.8,20.4,2.9,0.4,41.7,58.3,59554,81476
id_000012,train,352400,3528,37.8165,-122.26787,1908,227,3,1.45,1.97,5.9,8.4,3.2,7.3,8,16.3,7.1,6.6,37.2,22.5,47,17.5,11.1,0.4,1.6,12.5,87.5,31080,45789
id_000013,valid,322700,4314,37.819904,-122.273309,1870,432,3.9,2.15,2.6,0,1.8,2.5,3.3,7.2,2.4,8.4,9.4,65,12.4,26.5,31.9,20.2,7.6,1.3,18.1,81.9,30777,38234
id_000014,train,353700,2630,37.823505,-122.28048,1254,382,3.9,2.09,1.86,3.9,2.6,4.9,2.6,0,3.5,6,6.5,69.9,15.2,28.1,32.5,21.2,1.4,1.6,40.4,59.6,27183,47209
id_000015,valid,321600,2163,37.81667,-122.279621,947,173,4.1,3.47,2.17,0,27.6,4.4,7,4.2,3,12.6,1.4,39.9,1.9,22.4,42.9,24.9,5.7,2.2,18,82,37679,47593
id_000016,train,377800,2667,37.817286,-122.293793,1025,167,4.1,2.51,3.1,36.3,5.2,8,2.7,4.8,1.1,5.2,4.4,32.4,6.4,20.8,42.8,24.7,2,3.2,44.4,55.6,62895,79060
id_000017,valid,334100,1703,37.809593,-122.298293,854,277,4.6,3.28,2.53,1.1,5.4,9.6,2.1,1.1,9.4,7.6,11,52.8,7.5,16.6,31.6,30.7,5,8.5,15.1,84.9,30370,38382
id_000018,test,NA,2385,37.807292,-122.295186,1020,158,4.5,2.92,2.31,0.9,9.2,1.6,0.9,6.9,2.3,4.9,12.4,61.1,9.3,19.8,28.7,31.6,4.8,5.8,32,68,39286,52775
id_000019,train,330900,2351,37.811419,-122.28219,1210,126,4.1,3.45,2.01,0,2.6,2.4,7,10.6,12.1,9.4,8.4,47.4,10.4,21.7,33.8,17.5,8,8.5,14.9,85.1,20874,29672
id_000020,valid,285500,1784,37.804984,-122.285183,846,79,4.3,2.21,2.72,0,5,11.9,7.3,23.6,15.1,10,4.7,22.2,4.5,22.6,35.9,26.8,10.2,0,23.5,76.5,21571,36145
id_000021,test,NA,1151,37.804782,-122.279657,628,71,3,2.2,1.44,3.7,15.9,10,7,26.9,4,8.4,0,24,14.2,48.7,18.5,9.6,6.4,2.7,23.2,76.8,22531,45619
id_000022,train,347600,1569,37.810251,-122.277443,796,131,4,2.25,2.24,0,4.3,4.9,0.8,14.1,1.9,3.4,8.7,62.1,8.8,26,29,24.1,2.8,9.3,37.3,62.7,35080,48131
id_000023,valid,324100,3345,37.808665,-122.272709,1716,211,2.5,1.71,1.35,20,3.8,1.8,10.8,8.3,5.1,8.1,5.5,36.5,37.8,39.3,14,3.9,1.6,3.4,9.6,90.4,21993,41640
id_000024,train,369900,2788,37.800788,-122.270661,1597,375,3,1.54,1.91,2.4,3.2,19.2,8.1,18.8,3.3,4.6,6.8,33.7,14.8,46.2,29.4,4.9,3.3,1.4,21.6,78.4,17569,33976
id_000025,train,407100,2238,37.801099,-122.276502,655,82,3,1.71,1.75,32.1,3.2,23.8,1.5,2.1,4.3,5.8,3.8,23.4,30.2,22,36.8,6.1,0,4.9,41.5,58.5,42625,56426
id_000026,train,404000,4054,37.7956,-122.267839,2372,334,3.2,1.84,2.05,8.2,38.8,5.9,0.4,9.6,1.6,6.2,3.1,26.3,9.6,46.1,36.6,5.1,2.2,0.4,28.6,71.4,69605,74171
id_000027,train,452300,4146,37.803458,-122.263683,3086,118,3,1.26,1.49,2.4,5.6,1.8,10.7,11.7,18.2,11.1,8.5,30,18.8,60.9,17.8,2.5,0,0,12.7,87.3,42358,61668
id_000028,train,351700,4374,37.817316,-122.259876,2513,170,3.1,1.96,2.1,2.7,1.6,2.3,6.9,16.3,12,12.5,9,36.6,10.1,60.5,20.4,6.2,0.6,2.2,12.2,87.8,33635,51389
id_000029,test,NA,1991,37.816035,-122.256743,1359,133,3.4,1.66,1.59,0,0,1,3,23.2,25.9,11.6,2.5,32.9,7.8,57.7,28.6,5.9,0,0,29.2,70.8,63199,71320
id_000030,train,364200,4482,37.813421,-122.254114,2932,369,3.3,2.11,1.77,0,0.4,0.4,3.6,13.8,36.5,17.1,11.6,16.5,5.4,55,29.3,5.1,2.5,2.6,22.1,77.9,56303,73091
id_000031,train,343600,2587,37.811375,-122.258315,2030,318,2.8,1.44,1.44,0,0,0.7,2.7,15.8,31.4,12.4,5.1,31.9,22.3,50.8,24.2,1.5,0.5,0.7,10.9,89.1,60278,68211
id_000032,train,377900,1724,37.809381,-122.253441,1184,33,3.5,1.54,1.67,0,0,0,5.3,9.2,25.8,15.3,7.9,36.6,5.8,59.7,30.7,3.7,0,0,18.9,81.1,66761,76234
id_000033,train,720200,3461,37.814476,-122.242249,2033,139,4.2,2.37,1.7,0,2,1.6,1.2,10.7,4.2,12,8.7,59.6,7.9,32,32.5,15,10,2.6,33,67,78036,107081
id_000034,train,426900,3584,37.817368,-122.249127,2374,122,3.7,1.92,1.58,0,0,3.6,7.5,20.2,28.7,8.8,0.7,30.5,3.6,43,42.4,6.2,2.4,2.4,33,67,61995,85867
id_000035,test,NA,2819,37.822454,-122.25253,1835,133,3.5,1.53,1.54,1.3,1.3,1.9,4,20.3,27.2,9.3,4.3,30.5,3.8,53.2,35.2,3.3,2.1,2.3,23.1,76.9,61632,71972
id_000036,valid,682200,2929,37.830348,-122.250622,1892,207,3.6,1.98,1.56,0.7,2.5,0.6,3.2,9.2,12.6,11,5.4,54.8,7.8,40.1,35.8,12.9,3.3,0,39.8,60.2,73899,94146
id_000037,valid,579700,2283,37.825832,-122.251044,1773,174,3.3,1.81,1.43,0.6,0,1.1,3.7,14.3,21.2,8.5,8,42.6,15.3,57.6,15.4,7.6,3.2,0.8,10.8,89.2,50684,67765
id_000038,train,918900,3483,37.837583,-122.229689,1457,64,7.2,2.48,1.86,0,2.5,16.6,0.7,0.6,17.9,19.6,12.1,30.1,0,11,19.6,34,28.9,6.5,80.8,19.2,152853,198644
id_000039,valid,857400,5314,37.844684,-122.2158,2433,233,6,2.47,1.93,1.1,3.9,45.5,2.3,4.2,8.1,7.9,7.7,19.4,0,12,29.8,30.1,22.1,6.1,84.5,15.5,133347,165338
id_000040,train,832000,5784,37.834622,-122.202426,2606,134,6.4,2.32,2.74,0.6,4,5.6,3.8,18.3,19.6,22.6,16.9,8.6,0.6,0.7,21.4,45.2,23.3,8.9,83.3,16.7,125714,152845
id_000041,test,NA,4353,37.824214,-122.192737,1907,91,7,2.48,1.7,3.1,4.5,4.2,0.6,11.2,22.7,26.7,20.4,6.6,1.4,0,11.6,42.6,37.3,7.1,96.5,3.5,147778,189849
id_000042,valid,770800,1954,37.812155,-122.207488,842,47,7.4,2.56,2.6,0,0,1.9,1.7,7.2,11.3,17.3,18.4,42.2,0,2.9,18.3,49,23,6.8,83.5,16.5,137232,138297
id_000043,valid,648900,2684,37.804704,-122.213272,1337,51,4.6,2.51,1.42,0,0,0,1.2,2.3,19.5,16.4,9.7,50.9,9.2,22.7,34.9,25.7,6.2,1.3,57.7,42.3,88833,88446
id_000044,train,599400,4129,37.80394,-122.221525,2032,56,5.1,2.23,2.3,0,0,0,5.2,2.3,0,11.1,6.2,75.2,0.6,21,39.2,29.5,6.4,3.2,60,40,65158,94377
id_000045,train,721200,3136,37.808241,-122.225708,1663,231,5.8,2.62,1.67,0,0,0,1.7,3.5,6.9,3,13.1,71.8,2.6,20.6,26.5,30.5,17.8,2,63,37,108472,133830
id_000046,valid,890700,4197,37.811496,-122.232389,1669,101,7.5,2.8,1.83,0,2.9,0.6,0.8,1.7,2.3,6.2,7,78.4,0,3.9,7.7,54.9,26.8,6.7,91.1,8.9,166554,212536
id_000047,train,569700,4597,37.805121,-122.244707,2660,287,4.2,2.73,1.64,0,0,0.4,0.8,5.2,9.7,17.3,14.6,52.1,4.6,37.9,30.5,16.8,7.5,2.7,23.8,76.2,59332,72401
id_000048,train,438000,2603,37.802213,-122.25137,1680,63,3.5,1.51,1.65,0,2.7,0.7,3.1,12.3,15.9,10.9,6.4,48,14.4,42.4,36.8,2.7,2.9,0.7,11.9,88.1,61750,73818
id_000049,valid,528800,2530,37.798371,-122.254529,1623,98,2.7,2.22,1.75,0.2,0,0,9.1,9.3,11.7,11.5,11.4,46.8,20.7,64.4,10.6,4.1,0,0.2,3.9,96.1,20787,34790
id_000050,valid,325000,3957,37.796502,-122.249274,1815,259,3.3,3.38,2.23,0,0,0.8,1.8,10.6,8.8,13.3,14,50.8,15.1,43.3,23.6,10.2,5.7,2.1,18.3,81.7,27360,41809
id_000051,train,320400,3114,37.793393,-122.24578700000001,1284,188,3.4,2.33,2.21,0,0,0,10.4,5.7,5.5,19.2,13.6,45.7,9.2,44.2,29,14.3,0,3.3,21.2,78.8,30534,42939
id_000052,test,NA,3643,37.798377,-122.243251,1745,181,4,3.3,2.03,0.5,2.9,0.6,6.6,6,10.8,12.1,15.6,45,12.4,26.5,31.3,21.4,4.2,4.1,22.4,77.6,41550,56051
id_000053,train,462300,3137,37.800774,-122.237766,1539,142,3.8,3.24,1.88,0,0.6,3.1,1,1.6,10.7,10.2,5.1,67.7,11.3,41.8,18.4,18.6,6.2,3.8,24.1,75.9,41820,53145
id_000054,train,394000,3243,37.797944,-122.229405,1530,322,3.7,3.23,2.07,0,0,0,12.1,3.6,14.9,16.3,19.8,33.3,13.4,32.7,32.8,16.7,3.6,0.8,29.6,70.4,43750,55855
id_000055,train,353300,3965,37.793907,-122.233227,1433,135,4.8,3.06,3.05,0,1,2.9,0.8,2.9,7.4,10.9,22.5,51.6,2.4,11,39.6,34.2,8.1,4.7,42.1,57.9,38472,48021
id_000056,train,571700,3910,37.787735,-122.236032,1169,169,4.3,4.2,3.28,0,2.2,0,6.3,7.4,8,18.5,14.4,43.3,2.6,27.9,20,43.8,5.7,0,21.6,78.4,38879,44860
id_000057,train,332800,3035,37.79099,-122.241014,1054,24,4.5,3.17,3.23,6.9,0,2.6,5.5,9,4.9,15.7,15,40.4,4.4,20.2,43.3,27.1,4.1,0.9,35.8,64.2,38523,43573
id_000058,train,402100,3450,37.792134,-122.252325,1589,175,3.2,3.93,2.2,0,2.8,4.5,13.5,13.7,6.2,16.3,11.6,31.5,14.5,42,19.9,18.8,2.6,2.2,7.9,92.1,24922,45824
id_000059,valid,348900,4381,37.775082,-122.229059,1606,241,4.4,2.84,2.73,11.6,1.7,29,5.5,1.6,4.5,0,6.8,39.2,2.4,20.9,35.6,33.7,5,2.4,28.1,71.9,52917,59223
id_000060,train,416300,4649,37.784942,-122.23063,1607,226,4,3.69,3.76,1.9,1.1,6.9,2.6,12.1,6.6,3.4,31.1,34.3,7.6,30.5,33.5,20.5,6.8,1.1,15.5,84.5,29727,43231
id_000061,test,NA,4718,37.782006,-122.226739,1389,192,3.6,2.99,3.42,14.5,0,1.6,2.4,10.7,17.8,10.3,14.4,28.2,13.8,27.1,43.1,10,4.8,1.2,13.9,86.1,25417,40365
id_000062,train,304900,4113,37.789134,-122.225086,1368,169,4.5,3.68,3.26,1.8,1.6,0,8.4,15.4,13.2,9.1,5.7,44.9,6.7,20.2,31.1,20.9,17.2,4,42.3,57.7,37731,48206
id_000063,train,405100,2145,37.794392,-122.22175,803,46,4.4,3.33,2.29,0,1.5,5.4,8.6,0,18.7,7.1,14.8,44,9.7,8.1,41,39.5,1.5,0.2,44.3,55.7,48694,56143
id_000064,train,342100,5930,37.788388,-122.217093,2059,365,4.4,3.82,2.91,1.4,2.4,5.3,0.5,5.2,7.9,14.3,22,40.9,2.1,18.2,45.6,23.8,8.9,1.5,39.3,60.7,34669,53048
id_000065,valid,384900,4596,37.793538,-122.208333,1914,110,4.2,2.6,2.58,0,2.8,1.9,9.8,5.6,16.7,10,16.8,36.3,0.8,23.9,53.3,20.7,1.3,0,37.9,62.1,49357,53550
id_000066,train,351000,2493,37.795766,-122.214744,1003,121,4.4,2.8,2.37,0,1.1,6,3.9,18.7,21.8,5.6,11.3,31.6,0,26.1,39.4,21.2,11.3,2,43.3,56.7,50793,64401
id_000067,train,540000,5048,37.802231,-122.20407,2363,221,5.2,2.5,1.9,3.7,0.3,6.4,3,6.3,10.5,8.6,20.6,40.5,1.9,10,41.8,39.2,4.7,2.5,69.3,30.7,94565,108294
id_000068,valid,524900,3428,37.796987,-122.195694,1505,133,5,2.59,2.55,0,0,0,3.5,17.9,6.6,12.2,20.1,39.7,0,14.9,37.1,34.9,9.2,3.9,67.7,32.3,72568,86191
id_000069,train,556500,3719,37.792556,-122.191739,1626,100,5.2,2.51,2.58,0.7,0.7,4,6.7,10.6,10.4,17,15.6,34.4,0.6,4.4,48.4,27.2,17.5,1.8,61,39,77097,110022
id_000070,test,NA,5885,37.787523,-122.203288,2350,341,4.3,3.15,2.75,2.6,0,1.1,8,6.7,10.8,15.1,13.3,42.4,5.1,20.8,45.2,19.2,5.5,4.2,41.6,58.4,37851,52790
id_000071,train,352300,3414,37.783072,-122.214771,1126,120,4.1,3.3,3.83,7.2,0,4.8,0,23.2,14.5,7.5,18.5,24.4,6.9,22.5,48.6,14.7,6,1.4,25.1,74.9,29432,47516
id_000072,test,NA,4351,37.781064,-122.210336,1403,189,4.6,3.66,2.92,0,2.4,1.9,1.4,3.8,17.8,3.4,11,58.2,2.1,15.4,39.9,38.1,4.5,0,52.9,47.1,42857,49629
id_000073,train,480400,6746,37.778084,-122.219368,1916,242,3.8,3.26,3.53,1.9,3.8,0.6,1.3,7.9,9.4,2.4,16,56.7,15.9,27.5,29,18.6,5.8,3.3,25.3,74.7,36667,47252
id_000074,train,202000,2598,37.766422,-122.208745,794,51,4.8,4.32,3.4,0,0,1.5,3.5,1.8,11.8,17.3,13.2,50.9,8.9,9.8,29,37.8,10.8,3.7,34.1,65.9,43224,56806
id_000075,train,293500,3954,37.770995,-122.206895,1196,78,4.6,3.83,3.54,3.7,0,0.7,5.3,5,4.7,15.6,15,50.1,6.7,22.8,26.8,36.9,0.9,5.9,33.6,66.4,36552,53311
id_000076,test,NA,3931,37.769421,-122.197642,1432,200,4.3,2.87,2.53,0,8.1,5.6,8.2,4.5,19.1,21.5,15.2,17.8,8.1,26.2,36,17,11.7,1,22,78,26848,35926
id_000077,test,NA,6027,37.77719,-122.203607,2386,233,4.8,2.9,2.96,0,3.1,1.2,5.2,1.8,13.7,15.5,9.8,49.6,3.7,14.7,46.7,22.1,8.7,4.1,48.4,51.6,47388,58782
id_000078,train,425800,4109,37.776356,-122.193265,1913,176,5.7,2.48,2.1,0,0.8,0.6,2.8,0.6,1,6.3,19.4,68.4,5.5,2.4,45.3,39.6,6.3,0.9,80.7,19.3,69637,82043
id_000079,valid,413900,2425,37.782023,-122.189557,816,117,5.4,2.51,3.94,0,4.7,0,3.7,3.6,4,21.6,22.2,40.3,0,2.8,45.3,37.9,8,6,80,20,60469,71105
id_000080,test,NA,2706,37.788232,-122.186216,1257,196,5.2,2.61,1.99,0,1.8,1.8,3.4,2.8,4.4,24.1,26.6,35.2,0,13.8,46.8,23.9,11.4,4.1,80.9,19.1,90408,101662
id_000081,train,717600,2671,37.802069,-122.181962,1050,68,6.6,2.29,2.97,1.4,9.3,10.1,8.1,15.5,16.3,29,7.5,2.8,0.9,0.7,11.2,60.7,18.7,7.9,86.3,13.7,115729,134553
id_000082,valid,686700,5991,37.78272,-122.15649,2769,261,6.1,2.34,2.12,2.9,6,5.1,22.2,11.4,26.7,9.5,12.2,3.9,1.7,5.4,23,39.9,26.2,3.9,80.8,19.2,108468,139518
id_000083,train,399300,4054,37.774619,-122.176128,1947,284,4.5,2.19,2.45,1.1,0,0,11,8.8,6.7,17.4,21.7,33.3,1.1,15.6,48.9,28.1,5.5,0.7,50,50,50186,61334
id_000084,train,391700,4167,37.770292,-122.164941,1941,140,5.3,2.7,2.83,0,0,3.7,6.7,1,13.9,21.7,30.1,22.9,0,10.7,40.1,37.4,11.5,0.4,69.1,30.9,52075,69759
id_000085,valid,264600,3323,37.764837,-122.17107,1413,290,4.9,3.09,3.25,0.5,1.2,3.9,0,4,2.2,9.4,28,50.8,0.7,17.2,44,33.4,3,1.6,50.9,49.1,35781,48911
id_000086,train,333400,4972,37.760259,-122.178894,1768,248,4.8,3.54,3.28,0.6,1.1,1.2,8.5,5.8,9,24.1,27,22.6,1.8,8.7,54.3,28.2,6.3,0.7,51.3,48.8,36429,43402
id_000087,valid,280000,5492,37.764969,-122.183777,1971,286,4.9,3.54,3.2,0,11.3,9.2,1.8,2.5,7.4,10,20.6,37.3,1.6,18.5,45.2,23.1,8.2,3.4,44.9,55.1,33539,47571
id_000088,train,317400,7207,37.768332,-122.18978,2616,542,4.7,2.93,3.19,0.9,5.1,4.2,2.1,9.5,11.1,9,14.2,43.9,4.2,15.3,45.1,32.9,2.1,0.4,46.8,53.2,40680,46500
id_000089,train,347300,5547,37.759438,-122.196713,1899,207,4.4,3.97,2.9,10.9,10.4,3.5,4.2,3.8,7.7,18.4,28.3,12.7,1.3,16.6,41.5,36.1,2.3,2.3,27.4,72.6,22587,32622
id_000090,train,222500,3414,37.755682,-122.186029,1117,131,4.2,3.92,2.75,0,1.2,15,15.6,7.9,9.3,7.2,25.1,18.9,0,24.7,44.4,23,7,0.9,33.5,66.5,21216,29070
id_000091,train,275000,3552,37.734916,-122.188832,1117,67,5.1,3.22,3.94,0,0,9.3,3.8,9.5,1.7,25.5,40.8,9.4,0,2.1,32.2,50.5,9.1,6,43.2,56.8,35357,45816
id_000092,train,268400,2255,37.732071,-122.183268,704,54,4.9,3.8,3.71,7.8,0,5,3.1,0,10.7,14.3,48.6,10.5,0,0,48.3,37.2,14.5,0,66,34,59655,68738
id_000093,valid,283100,3152,37.729406,-122.178207,980,115,4.7,3.42,3.21,1.9,0,13.7,1.7,2,9.9,18.8,49.6,2.3,0,4.7,47.1,42.1,6,0,63.4,36.6,40766,45616
id_000094,test,NA,5229,37.738359,-122.172261,1663,125,4.5,4.02,3.3,0.7,9.1,8.8,3.8,3.7,9.9,19.2,19.2,25.6,2.1,15.7,45.5,29,5.5,2.2,38,62,33934,46437
id_000095,valid,307900,4306,37.745747,-122.176564,1247,200,4.7,4.89,3.81,3.9,0,1.1,2.4,6,13.2,15.1,14.2,44.1,4.3,8.4,56.9,23.6,5.3,1.5,45.3,54.7,49083,56453
id_000096,valid,348600,3122,37.751321,-122.180804,1034,174,4.8,3.99,4.05,6.3,2.7,0,0,1.4,12.5,22.4,26,28.7,2.5,11.5,41.3,32.8,11.9,0,33.7,66.3,34167,47780
id_000097,train,354400,5063,37.753377,-122.172472,1674,219,4.8,4,3.7,0,0,5.8,3.9,9.6,18.6,23.2,10.9,28.1,2.6,4.4,47.2,32.5,11.3,2,36.4,63.6,41778,51337
id_000098,train,264900,4696,37.75562,-122.165716,1792,294,4.4,3.71,2.78,0,1.9,3.7,4.7,4.6,16.5,19.9,12.3,36.6,0.7,17.2,49.8,29.6,2.6,0,32.6,67.4,35658,43381
id_000099,test,NA,2887,37.759356,-122.157665,1368,195,5.2,2.79,2.03,0,2.1,6.4,4.7,11.7,22.7,20.9,15.7,15.8,0,17.6,37.9,37.1,6.4,1,59.8,40.2,40189,64829
id_000100,train,585800,3308,37.760102,-122.134933,1481,77,6.2,2.32,1.88,0.9,0.3,0.7,6.5,18.6,19.9,34.4,12.4,6.5,2.6,0.7,13.1,55.8,23.5,4.3,90.7,9.3,108214,119078
id_000101,valid,548700,2805,37.74341,-122.135552,1228,64,6.1,2.29,4.2,0,0.2,1.1,6.3,12.9,20.5,26.5,18,14.4,0,3,24.2,55,16.9,0.9,91.6,8.4,77000,92989
id_000102,train,370400,2406,37.747626,-122.153917,1045,64,5.3,2.68,3.28,0,0,6.8,14.7,9.1,4.2,28.6,18.3,18.3,0.9,11.5,28.7,41.5,12.9,4.5,52,48,41250,59405
id_000103,train,262500,3062,37.745759,-122.157499,1245,188,4.5,2.42,3.43,0.7,0,5.4,5.8,9.4,7.2,17.2,31.2,23.1,3.8,9.7,59.8,21,4.9,0.8,48,52,40474,51661
id_000104,test,NA,3536,37.746755,-122.166517,1103,93,4.2,4.14,4.21,1.2,0,11.4,0,2.4,17.2,20.4,33.6,13.7,3.7,14.1,53.8,24.8,2.4,1.2,31.5,68.5,32829,43247
id_000105,valid,271400,3792,37.741093,-122.162165,1397,123,5.1,3.2,3.58,0,15.5,1.8,1.9,3.8,7.2,16.4,18.1,35.2,3.8,11.1,39.2,37.7,7.4,0.9,65.8,34.2,44746,69077
id_000106,train,388700,2193,37.807099,-122.289823,1120,69,4.2,2.93,2.24,2.2,17.4,11.1,9.3,8.7,7,13.6,3.3,27.5,5.2,22.1,40,22.6,7.1,3,12.8,87.2,19351,28868
id_000107,train,704200,2355,37.894631,-122.290916,949,31,5.9,2.48,2.94,0,0.8,0,0,1.1,3.5,4.7,14.4,75.4,0,10.4,35,35.8,17.2,1.6,72.3,27.7,117000,133285
id_000108,train,661000,2898,37.894805,-122.297564,1270,43,4.6,2.75,2.15,0,0,1.6,6,4.2,17.6,6.5,22,42.1,0.9,24.4,45.2,19.9,7.6,2,41.5,58.5,73665,84058
id_000109,test,NA,4571,37.892659,-122.303641,2143,165,4.4,2.18,2.32,0.9,2.5,2.9,16.9,23.4,9.1,12.6,12.6,19.2,0,22.5,52.4,19.6,5.5,0,55.9,44.1,70242,87488
id_000110,train,639200,2308,37.886543,-122.295159,1027,145,4.6,2.6,2.35,0,1.1,2,2.5,8.3,9.3,16.2,20.6,39.9,1.4,21.6,49.7,21,5.1,1.3,37,63,65726,89174
id_000111,test,NA,3283,37.886917,-122.287531,1311,100,5.5,2.5,2.52,0,0,1.8,0,2.1,4.6,10.8,7.9,72.8,0,12.1,39.1,35.1,7.9,5.8,72.3,27.7,107455,111933
id_000112,valid,884500,1992,37.899169,-122.266302,891,22,6.5,2.44,3.92,2.1,1.3,2.1,2.9,7.5,2.5,16.6,15.3,49.6,0,2.5,19.2,46,28.2,4.2,94.1,5.9,168750,200929
id_000113,train,999700,3563,37.897263,-122.274705,1538,82,7.4,2.61,1.43,0,0.5,1.4,2.6,4.1,2.3,11.6,4.1,73.3,3.2,0.7,9.2,37.4,34.9,14.6,92.1,7.9,157500,186191
id_000114,train,871600,3844,37.891135,-122.28171,1751,107,6.2,2.48,2.06,0,0.5,0.8,1.8,1.4,4.2,8.1,4.1,79.2,0.5,11.5,23.9,38.3,17,8.8,82.4,17.6,116200,154589
id_000115,train,896700,1593,37.888419,-122.270734,686,0,6.9,2.46,2.63,0,0.7,3.4,0,1.7,5.2,3.4,5.1,80.5,3.2,4.1,14.3,34.7,32.9,10.8,82.5,17.5,132258,175767
id_000116,train,912600,3640,37.891531,-122.260296,1681,64,6.3,2.37,2.1,0,1.3,1.7,0.7,3.4,11.5,26.3,13.4,41.6,3.2,8.9,17,41.8,22.4,6.7,83.1,16.9,134875,176674
id_000117,valid,901300,3558,37.883504,-122.257426,1704,132,6,2.46,1.68,0.8,0.9,1.3,6.3,2.2,8.8,22.8,6.3,50.5,7.1,16,16,30.2,20,10.9,72.8,27.2,121111,141483
id_000118,train,699100,3198,37.881464,-122.27027,1728,97,4.3,2.53,2.28,0,1.6,4.9,6.4,7.5,10.8,16.5,6,46.4,4.6,29.5,35.4,21.5,5.8,3.2,37.3,62.7,80491,99156
id_000119,train,694100,2007,37.879992,-122.277817,960,80,5.8,2.35,2.36,0.5,1,4.5,1,3.1,1,4.8,10.1,73.9,2.4,15,30.1,31.6,17.7,3.2,69,31,82917,105929
id_000120,valid,652900,3632,37.879488,-122.289683,1857,238,4.7,2.31,2.01,0,0,0.6,3.2,0,2.4,9.9,28.3,55.5,2.1,23.1,48.8,18.6,7,0.3,64.3,35.7,91774,108201
id_000121,test,NA,1756,37.866514,-122.297361,674,76,3.8,2.81,1.76,14.2,6.8,8.9,10.2,5.9,5.6,8.8,2.8,36.6,4.7,37.7,33.1,23.4,1,0,43.1,56.9,49773,72239
id_000122,train,613600,2685,37.873165,-122.296631,1156,121,4.2,2.43,1.98,0.6,2.3,0.9,1,7.8,8.8,14.6,33.4,30.6,4.4,21.8,44.4,23,5.4,1,47,53,43771,54928
id_000123,train,608800,3144,37.87252,-122.288105,1643,130,4.2,2.15,1.82,0,0,0,2.6,1.9,8.3,18.3,19.1,49.8,7.6,33.6,43.3,7.3,2.9,5.3,49,51,54083,87386
id_000124,train,638800,3387,37.873995,-122.277501,1813,218,4.2,2.31,2.12,4.2,2.2,3.8,4.4,9.6,6.9,10.1,6,52.8,9.9,28.3,35.5,17.4,5.7,3.2,44.1,55.9,48776,71676
id_000125,valid,623000,4196,37.875219,-122.269324,2296,12,3.2,2.67,1.95,0.8,7.3,2.8,4.7,10.1,13.4,8.1,11.5,41.3,10.8,50.9,26.4,7.8,2.2,2,9.4,90.6,39083,60120
