obs_id,train_id,score,name,type,price,num_reviews
id_000135,train,93,white_monkey,green,24,986
id_000136,train,91,ginseng_green,green,12,598
id_000137,train,92,green_pekoe,green,19,372
id_000138,test,NA,earl_grey_green,green,12,668
id_000139,train,91,mandarin_green,green,12,574
id_000140,train,94,calypso_green,green,12,370
id_000141,train,95,hunan_gold,green,32,182
id_000142,test,NA,jade_snail,green,22,158
id_000143,train,93,green_dragon_pearls,green,22,205
id_000144,train,92,hojicha,green,14,681
id_000145,train,94,anhui_emerald_seed,green,44,182
id_000146,train,92,pi_lo_chun,green,30,387
id_000147,train,92,green_assam,green,17,11
id_000148,train,89,silver_sprout,green,10,182
id_000149,train,93,spiced_green,green,12,544
id_000150,train,93,lemon_meringue_green,green,12,67
id_000151,train,91,artichoke_green,green,12,260
id_000152,train,99,autumn_mist_green,green,12,28
id_000153,train,94,matcha,matcha,60,543
id_000154,test,NA,matcha_raspberry,matcha,60,17
id_000155,train,92,matcha_peach,matcha,60,37
id_000156,train,91,matcha_chocolate,matcha,60,21
id_000157,train,84,matcha_cinnamon_apple,matcha,60,7
id_000158,train,92,matcha_mocha,matcha,60,21
id_000159,train,91,bonfire,herbal,10,48
id_000160,test,NA,blood_orange,herbal,12,2436
id_000161,train,97,peppermint,herbal,12,2354
id_000162,test,NA,chamomile,herbal,12,2416
id_000163,train,96,foxtrot,herbal,14,2028
id_000164,train,94,berry_blast,herbal,12,971
id_000165,train,95,cha_cha,herbal,14,1091
id_000166,train,94,raspberry_patch,herbal,12,926
id_000167,test,NA,wild_strawberry,herbal,12,1556
id_000168,test,NA,fruit_medley,herbal,12,1010
id_000169,train,91,dewy_cherry,herbal,12,821
id_000170,train,96,spearmint,herbal,12,1347
id_000171,test,NA,lemon_grass,herbal,12,1121
id_000172,train,94,berry_blues,herbal,12,810
id_000173,train,91,yerba_mate,herbal,10,384
id_000174,train,92,mocha_nut_mate,herbal,10,781
id_000175,train,91,mango_melange,herbal,12,519
id_000176,train,92,sour_apple,herbal,12,680
id_000177,train,92,watermelon_cooler,herbal,12,458
id_000178,test,NA,pina_colada,herbal,12,988
id_000179,test,NA,citrus_mate,herbal,10,277
id_000180,test,NA,key_lime_herbal,herbal,12,43
id_000181,test,NA,spiced_mate,herbal,10,249
id_000182,train,91,toasted_mate,herbal,10,292
id_000183,train,91,mango_mate,herbal,10,171
id_000184,train,95,berry_creme_compote,herbal,12,44
id_000185,test,NA,rooibos_vanilla,rooibos,10,1566
id_000186,test,NA,rooibos,rooibos,10,795
id_000187,test,NA,honeybush_hazelnut,rooibos,15,725
id_000188,train,96,green_rooibos_bonita,rooibos,12,656
id_000189,train,92,rooibos_cinnamon_apple,rooibos,10,799
id_000190,test,NA,honeybush_vanilla,rooibos,15,588
id_000191,train,95,green_rooibos_blueberry,rooibos,12,417
id_000192,train,92,rooibos_earl_grey,rooibos,10,427
id_000193,test,NA,rooibos_caramel,rooibos,10,826
id_000194,train,92,honeybush,rooibos,15,442
id_000195,train,93,rooibos_peach,rooibos,10,438
id_000196,train,91,honeybush_chocolate,rooibos,15,463
id_000197,train,94,honeybush_mango,rooibos,15,291
id_000198,test,NA,rooibos_jasmine,rooibos,10,525
id_000199,test,NA,rooibos_almond,rooibos,10,526
id_000200,test,NA,rooibos_cocomint,rooibos,10,534
id_000201,train,93,honeybush_apricot,rooibos,15,311
id_000202,train,94,green_rooibos_key_west,rooibos,12,361
id_000203,test,NA,rooibos_mango,rooibos,10,410
id_000204,test,NA,rooibos_lemon_cloud,rooibos,10,539
id_000205,test,NA,rooibos_orange,rooibos,10,355
id_000206,test,NA,green_rooibos_citron,rooibos,12,310
id_000207,test,NA,green_rooibos,rooibos,12,219
id_000208,train,93,honeybush_orange,rooibos,15,208
id_000209,train,88,rooibos_tropics,rooibos,10,240
id_000210,train,87,rooibos_berry,rooibos,10,254
id_000211,test,NA,decaf_earl_grey,decaf,15,659
id_000212,test,NA,decaf_vanilla,decaf,15,506
id_000213,train,93,decaf_ceylon,decaf,15,429
id_000214,test,NA,decaf_peach,decaf,15,346
id_000215,train,94,decaf_chai,decaf,15,101
id_000216,train,95,decaf_apricot,decaf,15,234
id_000217,test,NA,decaf_spice,decaf,15,320
id_000218,train,94,decaf_strawberry,decaf,15,283
id_000219,test,NA,decaf_orange,decaf,15,166
id_000220,train,94,decaf_mango,decaf,15,257
id_000221,train,92,decaf_blueberry,decaf,15,211
id_000222,train,94,decaf_raspberry,decaf,15,283
id_000223,train,89,decaf_tropics,decaf,15,139
id_000224,train,97,fujian_ti_kuan_yin,masters,96,159
id_000225,train,97,fujian_jasmine_pearl,masters,62,287
id_000226,train,96,formosa_ali_shan,masters,74,137
id_000227,train,96,yunnan_golden_curls,masters,73,284
id_000228,train,96,uji_matcha,masters,156,43
id_000229,train,97,formosa_pouchong,masters,91,196
id_000230,train,95,wuyi_da_hong_pao,masters,142,92
id_000231,test,NA,hsinchu_oriental_beauty,masters,196,68
id_000232,train,91,darjeeling_spring_tip,masters,157,40
id_000233,train,91,yunnan_golden_pu_erh,masters,157,112
id_000234,train,93,anhui_keemun,masters,86,78
id_000235,train,95,shizuoka_shincha,masters,94,50
id_000236,test,NA,zhejiang_lung_ching,masters,157,45
id_000237,test,NA,fujian_silver_needle,masters,157,69
id_000238,test,NA,yunnan_pu_erh_white,masters,157,58
