obs_id,train_id,fgm,period,shot_clock,dribbles,touch_time,shot_dist,pts_type,close_def_dist,shooter_height,defender_height,player_name
id_000047,train,1,1,14.1,1,4.8,2.4,2,0.9,82,83,markieff morris
id_000048,train,1,4,17.5,0,0.7,26.5,3,3.4,79,74,kyle korver
id_000049,valid,0,4,9,0,0.7,23.7,3,6.9,81,80,shawne williams
id_000050,valid,0,2,8.4,1,2.1,16.8,2,3.6,77,73,O.J. Mayo
id_000051,train,0,3,20,3,4.8,24.9,3,3.8,73,74,eric bledsoe
id_000052,test,NA,2,24,1,0.7,2.1,2,3.7,82,78,anthony davis
id_000053,train,0,4,15.5,0,0.9,18.3,2,5.1,82,81,nick collison
id_000054,train,1,1,9.7,0,1,19.4,2,6.5,82,82,anthony davis
id_000055,train,0,3,20,1,1.6,5.2,2,1.7,73,77,lou williams
id_000056,train,1,4,19.9,0,0.6,3.1,2,6.9,79,74,jimmy butler
id_000057,train,1,4,15,2,3.4,26,3,7.2,69,73,isaiah thomas
id_000058,train,1,1,11.7,5,4,3.3,2,3.6,73,85,trey burke
id_000059,valid,0,4,17,0,1.5,2.7,2,0.5,83,82,greg monroe
id_000060,train,0,4,12.9,1,5.5,17.5,2,4.1,81,80,zach randolph
id_000061,test,NA,4,5.7,0,0.8,1.1,2,3.3,81,76,jakarr sampson
id_000062,train,0,3,2.8,1,1.3,12.4,2,5.8,80,81,thaddeus young
id_000063,train,1,1,21.6,2,2.7,17.6,2,4.2,77,75,courtney lee
id_000064,train,0,3,2.6,9,7.1,19.8,2,3.4,73,83,chris paul
id_000065,valid,1,4,14.3,0,0.9,23.1,3,5.4,79,80,evan turner
id_000066,train,0,1,15.7,0,0.6,14.9,2,3,79,75,chase budinger
id_000067,train,0,4,8.9,0,1.1,24.7,3,4.5,79,80,klay thompson
id_000068,valid,1,2,11.1,0,1,22.3,3,5.4,79,78,rasual butler
id_000069,train,1,1,8.4,5,6.4,2.7,2,4.9,75,82,derrick rose
id_000070,test,NA,3,6.9,0,1.2,13,2,4.6,83,79,kevin garnett
id_000071,train,1,2,14.9,0,0.9,12.3,2,4.5,75,78,beno udrih
id_000072,test,NA,2,0,1,2.3,34,3,4.1,76,85,john wall
id_000073,train,1,1,7,4,5.2,10,2,4.1,78,73,alan anderson
id_000074,train,0,1,20.9,3,2,7.1,2,1.8,80,81,derrick williams
id_000075,train,0,3,16.3,9,7.1,15.6,2,4,77,77,james harden
id_000076,test,NA,4,0,0,1,32.8,3,2.9,82,80,Danilo Gallinari
id_000077,test,NA,1,7.4,0,0.9,22.2,3,2.8,79,75,gerald green
id_000078,train,0,3,10.6,0,0.8,27.5,3,5.8,79,81,kyle korver
id_000079,valid,1,3,13.9,3,4.8,2.7,2,3.2,79,82,solomon hill
id_000080,test,NA,1,23,0,0.8,4,2,2.7,78,83,manu ginobili
id_000081,train,1,3,18.7,2,2.7,6.2,2,0.3,75,73,cory joseph
id_000082,valid,1,4,9,0,1.2,24.5,3,9.1,80,83,trevor booker
id_000083,train,1,1,12.8,0,0,1.4,2,2.4,85,85,tyson chandler
id_000084,train,0,4,2.7,1,1.8,5.8,2,1.9,80,73,boris diaw
id_000085,valid,1,2,13,0,1.5,1.5,2,1.1,81,82,carl landry
id_000086,train,0,4,9,1,1.4,24.7,3,4.3,77,80,wesley matthews
id_000087,valid,1,2,10.1,0,0.9,18.4,2,7.8,82,82,al horford
id_000088,train,0,4,1,1,1,21.1,2,3.8,80,83,andrew wiggins
id_000089,train,0,1,17.5,1,1,18.7,2,11.4,76,82,tony allen
id_000090,train,1,3,13.4,2,2.6,7.3,2,3.3,79,76,richard jefferson
id_000091,train,1,2,15.7,8,9.1,18.7,2,4.4,75,81,derrick rose
id_000092,train,0,1,14.3,1,2.5,7,2,3.3,83,82,lamarcus aldridge
id_000093,valid,0,4,11,0,0.8,22.7,3,4.9,79,77,solomon hill
id_000094,test,NA,2,19.8,0,0.9,22.2,3,11,81,80,patrick patterson
id_000095,valid,0,2,9.5,0,1,24.6,3,4.4,78,79,cj miles
id_000096,valid,0,2,20,0,1,25,3,7.3,75,74,pablo prigioni
id_000097,train,1,2,6.7,18,15,3.4,2,2.4,75,85,monta ellis
id_000098,train,0,4,19.1,9,4.2,3.9,2,2.6,76,79,john wall
id_000099,test,NA,3,11.9,16,12.3,3.3,2,3.1,76,73,elfrid payton
id_000100,valid,0,2,7,1,1.9,26,3,2.8,81,73,mirza teletovic
id_000101,valid,1,3,8.1,0,1.5,14.9,2,1.7,79,81,paul pierce
id_000102,train,1,1,8.8,0,1,0.9,2,3.2,82,81,marreese speights
id_000103,train,1,3,11.6,15,11.5,17.2,2,3.7,77,81,james harden
id_000104,test,NA,2,15.5,0,0.8,22,3,12.7,80,80,hollis thompson
id_000105,valid,0,3,11.7,1,1.5,6.3,2,2.2,83,82,nerlens noel
id_000106,train,0,2,12.6,10,9.9,6,2,2.7,80,83,lebron james
id_000107,train,0,1,11.3,14,12.8,6,2,2,78,79,greivis vasquez
id_000108,train,0,1,23.1,0,1.1,24.8,3,6.6,79,80,jared dudley
id_000109,test,NA,2,14.6,0,2.7,16.7,2,3.9,85,82,Dirk Nowitzki
id_000110,train,0,3,22.2,0,1,24,3,5.1,73,80,kyle lowry
id_000111,test,NA,3,12,0,1.7,2.2,2,2.7,81,83,bismack biyombo
id_000112,valid,0,3,19.8,1,2.3,25.5,3,4.7,78,81,kobe bryant
id_000113,train,0,4,9.4,0,1.2,24.4,3,3.3,76,76,gary neal
id_000114,train,1,5,14.2,0,0.7,16.5,2,5.2,85,83,Dirk Nowitzki
id_000115,train,0,2,12.5,4,3.9,24.1,3,11.8,78,81,manu ginobili
id_000116,train,1,3,15.9,7,7.5,20.2,2,4.1,75,76,derrick rose
id_000117,valid,1,1,10.5,2,3,11.2,2,2.8,80,76,harrison barnes
id_000118,train,1,4,13.3,5,5.3,7.7,2,1.8,81,82,luis scola
id_000119,train,1,1,11.2,1,2.2,3,2,0,83,77,gorgui dieng
id_000120,valid,0,2,13,0,0.8,22.4,3,2.2,83,76,charlie villanueva
id_000121,test,NA,1,12.9,0,0.8,25.3,3,5.9,80,78,hollis thompson
id_000122,train,1,2,16.7,10,7.8,10.2,2,3.1,75,69,brandon knight
id_000123,test,NA,4,6.6,3,4.2,7.1,2,4.5,81,81,taj gibson
id_000124,train,0,3,7.7,0,1.2,22.5,3,4,82,78,chandler parsons
id_000125,valid,0,1,12.5,0,0.8,19.4,2,4.3,80,76,dante cunningham
id_000126,train,1,2,14,5,4,8.1,2,0.7,79,79,shawn marion
id_000127,train,0,2,10.1,0,1.1,19.7,2,2.8,86,85,alexis ajinca
id_000128,train,1,1,4.9,2,1.6,19.4,2,5.7,82,73,ryan anderson
id_000129,train,1,2,2.6,1,1.4,22.7,2,4.5,78,80,nik stauskas
id_000130,train,0,1,7,0,1.7,26.7,3,3.2,82,76,nikola mirotic
id_000131,train,0,1,16,7,7.4,16.9,2,3,71,76,ty lawson
id_000132,train,0,2,5.5,6,6.8,12.8,2,2.8,79,73,shaun livingston
id_000133,train,0,2,5.4,1,3.8,9.1,2,2.4,80,79,brandon bass
id_000134,valid,1,1,19,1,1.2,0.9,2,0.6,79,80,kawhi leonard
id_000135,test,NA,1,20.1,4,4.4,15.5,2,2.8,79,79,evan turner
id_000136,train,0,3,13.9,0,0.9,22.7,3,3.2,77,81,gerald henderson
id_000137,train,1,1,10.8,0,0.7,2.5,2,3.2,83,85,marcin gortat
id_000138,train,0,4,14.1,0,0.9,20.5,2,6,81,82,carl landry
id_000139,test,NA,2,16.5,6,5.5,7.5,2,3.4,75,78,jarrett jack
id_000140,train,0,1,7.9,5,5.4,10.4,2,1.2,77,73,rodney stuckey
id_000141,valid,1,4,7.6,5,6.3,5.6,2,2.3,73,85,chris paul
id_000142,train,0,5,10.5,14,13,5.8,2,0.8,75,80,russell westbrook
id_000143,train,1,4,10,2,3,16.8,2,4.2,77,75,marco belinelli
id_000144,train,1,1,21.3,0,1.6,1.2,2,0.1,69,80,isaiah thomas
id_000145,valid,1,3,20.5,0,0.9,6.2,2,2.4,82,82,blake griffin
id_000146,train,1,1,7.6,0,0.7,18,2,7.9,82,82,jon leuer
id_000147,train,1,1,1.6,0,0.8,20.1,2,6.6,71,81,shane larkin
id_000148,valid,0,1,20,2,4,4.9,2,3,78,85,shabazz muhammad
id_000149,train,1,1,12.9,0,1,24.2,3,5.1,78,73,michael carter-williams
id_000150,test,NA,2,21.5,0,0.2,3.4,2,5.4,83,81,mason plumlee
id_000151,valid,0,1,6.4,1,1.7,12.3,2,2.3,85,85,marc gasol
id_000152,train,0,2,11.3,1,4.6,7.2,2,2.6,80,85,kenneth faried
id_000153,train,1,1,7.4,3,4.3,3.5,2,0,81,83,zach randolph
id_000154,train,1,2,5.8,5,3.4,11.1,2,7.6,74,83,tony parker
id_000155,train,0,5,3.3,3,3.9,4.2,2,2,73,73,eric bledsoe
id_000156,train,0,4,14.7,0,0.8,25,3,7.7,85,83,timofey mozgov
id_000157,train,1,1,9,0,0.9,25.6,3,10.7,73,79,trey burke
id_000158,train,0,1,9.3,0,2.4,4.8,2,1.9,85,85,steven adams
id_000159,train,1,4,24,0,0.4,1.9,2,3.3,82,85,jon leuer
id_000160,train,1,3,15.3,8,7.5,12.2,2,1.7,75,83,russell westbrook
id_000161,train,1,1,13.8,1,3.6,17.6,2,4,82,82,kevin love
id_000162,test,NA,1,12.22,3,3.9,2.7,2,1.9,78,77,michael carter-williams
id_000163,train,0,1,14.4,1,1.6,18.2,2,5.5,80,85,nicolas batum
id_000164,valid,0,4,1,6,6.6,13.8,2,3,77,79,kentavious caldwell-pope
id_000165,test,NA,1,9.8,0,3.1,6.1,2,2.5,83,82,zaza pachulia
id_000166,train,0,3,1.9,8,6,12.9,2,3.3,81,83,david west
id_000167,train,0,1,12.22,0,0.8,24.5,3,5.7,81,82,jeff green
id_000168,train,0,3,15.2,11,9.3,24.8,3,6.9,74,73,jeff teague
id_000169,valid,0,4,11.9,0,0.6,24.5,3,5.8,83,82,charlie villanueva
id_000170,train,1,2,14.7,2,2.1,13.9,2,2.7,79,73,klay thompson
id_000171,valid,1,2,7.8,0,1.1,22.7,3,5.8,80,80,jerami grant
id_000172,test,NA,3,9.7,0,1,16.8,2,8.7,76,85,victor oladipo
id_000173,test,NA,1,13,0,0.9,19.9,2,6.2,82,82,henry sims
id_000174,train,0,1,5,0,0.8,20.6,2,4,81,80,luol deng
id_000175,train,0,1,10.4,1,2.3,25.3,3,4.6,75,74,derrick rose
id_000176,test,NA,3,15,2,3.2,26.1,3,3.1,79,77,gerald green
id_000177,valid,0,1,19.6,3,4.3,3.8,2,5,77,85,james harden
id_000178,valid,0,4,4.9,0,2.7,21.6,3,0.5,78,83,vince carter
id_000179,train,0,4,9.3,5,5.4,20,2,4.3,75,76,jarrett jack
id_000180,test,NA,4,4,1,4.5,5.6,2,0.7,85,78,marc gasol
id_000181,train,1,1,10,0,0.8,19.9,2,5.4,85,85,marc gasol
id_000182,train,0,1,11.8,1,3.4,4.9,2,2.7,85,85,steven adams
id_000183,test,NA,3,18.5,0,0.8,8.4,2,2.6,83,78,lamarcus aldridge
id_000184,train,1,4,12,0,0.7,22.9,3,5.1,81,80,patrick patterson
id_000185,test,NA,4,10.8,5,3.7,15.8,2,5.7,81,85,marcus morris
id_000186,train,1,2,11.5,4,4.5,6,2,4,82,81,henry sims
id_000187,valid,0,4,12.4,0,0,3,2,2.3,79,81,evan fournier
id_000188,valid,1,2,1.9,0,0.8,20.4,2,6,85,83,nikola vucevic
id_000189,test,NA,4,19.1,7,4.7,1.3,2,3.4,73,85,eric bledsoe
id_000190,train,0,1,6.4,0,1.3,16.7,2,4.4,82,82,al jefferson
id_000191,valid,0,4,5.7,1,1.4,22.3,2,1.9,78,75,cj miles
id_000192,train,0,4,12.3,0,1,24.8,3,6.4,79,81,quincy acy
id_000193,train,1,1,16.2,0,0.6,1.6,2,3.5,81,81,david west
id_000194,test,NA,2,13.4,12,10.5,5.6,2,3.6,73,83,aaron brooks
id_000195,train,0,4,14.8,0,0.3,5.8,2,5.3,83,77,marcin gortat
id_000196,train,0,1,6,0,0.7,6.4,2,3.2,83,80,kevin garnett
id_000197,train,1,1,12.8,0,2,16.2,2,4.1,78,77,shabazz muhammad
id_000198,test,NA,1,11.6,0,0.8,18.7,2,5,77,80,rodney stuckey
id_000199,train,0,3,13.1,0,1,24.4,3,9.3,85,83,donatas motiejunas
id_000200,valid,1,3,3,1,1.9,24.5,3,4.5,77,74,wesley matthews
id_000201,train,0,1,16.8,1,3.8,5.9,2,1.4,80,80,carmelo anthony
id_000202,train,0,3,7,0,1,17.3,2,1.7,74,77,avery bradley
id_000203,train,1,3,9.7,2,6.5,10,2,1.9,83,82,tim duncan
id_000204,train,0,1,14,2,2.4,4.4,2,1.4,73,73,mike conley
id_000205,train,1,4,12,0,1,19.4,2,11.2,83,79,giannis antetokounmpo
id_000206,train,0,6,2,16,18,13.8,2,1.5,79,83,joe johnson
id_000207,train,0,4,24,0,0.1,1.3,2,2.1,83,81,andre drummond
id_000208,train,1,4,7.3,0,1.3,4.8,2,0.3,85,82,donatas motiejunas
id_000209,train,0,2,15.7,0,0.7,23,3,3.8,81,77,marvin williams
id_000210,valid,0,2,23.7,0,0.3,19.4,2,4,79,79,chase budinger
id_000211,test,NA,1,12.2,3,4.2,9,2,2.4,85,83,steven adams
id_000212,train,1,3,2.8,1,2,3.3,2,2.6,83,85,demarcus cousins
id_000213,valid,0,1,16.6,0,1.3,3.3,2,0.5,79,79,solomon hill
id_000214,test,NA,2,14.5,1,2.1,24.3,3,4.9,76,77,marcus thornton
id_000215,test,NA,3,3.9,0,0.9,24.2,3,2.7,78,73,michael carter-williams
id_000216,train,0,2,3.6,1,1.4,24.5,3,3.2,79,79,nick young
id_000217,valid,0,1,21.1,0,-0.3,17.5,2,3.8,77,80,gerald henderson
id_000218,test,NA,1,16.3,0,1.3,24.8,3,8.9,81,83,luol deng
id_000219,test,NA,2,16.8,0,1.1,22.5,2,3.2,80,75,anthony bennett
id_000220,train,1,4,9,0,0.7,3.1,2,2.1,81,82,lavoy allen
id_000221,train,1,2,21,0,0.8,22.7,3,6.1,77,80,O.J. Mayo
id_000222,train,0,2,14.4,0,10.5,2.7,2,2.5,80,77,derrick williams
id_000223,train,1,2,14.3,1,1.5,4.9,2,2,81,86,carlos boozer
id_000224,train,1,4,14,1,2.1,9.4,2,3.1,83,82,charlie villanueva
id_000225,test,NA,3,16.4,0,0.8,24.6,3,4.5,85,79,Dirk Nowitzki
id_000226,train,1,3,16,1,1.7,3.4,2,2.3,85,85,omer asik
id_000227,train,1,2,11.5,1,1,1.1,2,7.1,79,86,solomon hill
id_000228,train,1,1,11,0,1.2,17.5,2,5.8,79,77,jimmy butler
id_000229,train,0,1,5.6,0,0,24.3,3,6.6,81,76,luol deng
id_000230,test,NA,2,8.3,3,4.8,3.6,2,2.2,85,79,Dirk Nowitzki
id_000231,train,0,3,9.9,3,4.8,2.3,2,2.7,80,83,paul millsap
id_000232,train,0,4,3,0,0.7,22.5,3,4.7,82,79,damjan rudez
id_000233,train,1,1,11.9,0,1,17.4,2,7.2,82,85,al horford
id_000234,valid,0,1,11.2,3,5.8,21,2,4.1,79,80,jimmy butler
id_000235,train,1,3,8.6,1,3.6,6.3,2,2.6,78,83,tyreke evans
id_000236,valid,1,2,12.5,0,0.9,0.3,2,3.5,77,85,gerald henderson
id_000237,valid,0,2,17,0,0.8,19.5,2,4.8,80,82,anthony bennett
id_000238,train,0,4,10,2,3,21.6,2,2.5,75,73,jeremy lin
id_000239,train,1,4,10.2,0,0.6,1.6,2,2.2,82,80,chandler parsons
id_000240,train,0,1,24,0,0,2.6,2,1,83,82,kevin garnett
id_000241,train,1,4,17,8,7.7,24.9,3,5.8,74,76,jeff teague
id_000242,train,1,1,17.1,0,0.9,2.6,2,3.4,82,85,anthony davis
id_000243,test,NA,4,7.2,0,0.6,2.8,2,5,85,83,chris kaman
id_000244,train,1,1,11.2,4,5.4,12.5,2,3.9,77,78,arron afflalo
id_000245,train,1,4,15.1,0,0.8,5,2,3.5,80,81,derrick williams
id_000246,train,0,3,8.2,17,14.9,15.2,2,2.4,75,73,andre miller
id_000247,train,1,1,11,0,0.8,17.7,2,5.2,83,79,lamarcus aldridge
id_000248,train,0,3,5.4,0,1,20.3,2,6.9,85,81,cody zeller
id_000249,train,1,3,17,8,6.2,18.7,2,3.7,73,83,mo williams
id_000250,test,NA,3,18.5,0,1.8,24.7,3,11.8,80,73,trevor ariza
id_000251,valid,1,1,13,0,1,24.3,3,4.1,75,75,derrick rose
id_000252,test,NA,3,13.7,0,0.8,22.1,3,7.9,80,83,nicolas batum
id_000253,train,1,1,13.2,0,0.7,24.5,3,5.9,79,81,matt barnes
id_000254,train,0,3,9.5,0,1,25.7,3,8.7,79,78,andre roberson
id_000255,train,0,1,14.7,0,0.8,24.4,3,5.6,79,76,jimmy butler
id_000256,train,0,3,6.1,0,2.7,17.9,2,5,80,85,mike scott
id_000257,train,1,2,9.5,0,0.8,18.8,2,4.9,77,78,bradley beal
id_000258,train,1,1,15,0,0.8,22.6,3,8,78,80,Allen Crabbe
id_000259,train,0,4,18,0,0.1,3.7,2,3.1,81,83,luke babbitt
id_000260,test,NA,4,11.4,14,12.3,18.8,2,6.8,76,85,john wall
id_000261,test,NA,2,13.5,3,3.2,17.2,2,3.5,77,77,jamal crawford
id_000262,train,0,3,23.5,0,1,3.7,2,1.7,83,85,andre drummond
id_000263,train,0,3,8,3,5.8,11.5,2,6.9,80,76,gordon hayward
id_000264,valid,0,4,16,5,6.4,20.9,2,3.4,80,78,trevor ariza
id_000265,valid,0,1,17.1,0,1,24.6,3,9.1,85,77,donatas motiejunas
id_000266,train,0,4,11.7,7,6.9,9.8,2,3,75,76,monta ellis
id_000267,train,1,2,12.1,0,1.4,2,2,2.1,82,82,aron baynes
id_000268,valid,0,5,6.4,6,6.9,2.8,2,1.4,78,80,tyreke evans
id_000269,valid,0,1,17.8,7,7.9,10,2,0.4,79,78,michael kidd-gilchrist
id_000270,train,1,1,16.5,1,1.2,15.3,2,1.8,80,75,andrew wiggins
id_000271,train,1,1,15.3,0,0.9,20.7,2,5.6,82,85,jon leuer
id_000272,train,0,2,2.2,6,4.6,4.2,2,1.9,76,80,marcus thornton
id_000273,train,0,1,17.2,0,0.4,21.4,2,6.1,83,81,lamarcus aldridge
id_000274,train,1,2,21.6,1,1.2,3,2,1.3,82,80,markieff morris
id_000275,train,0,1,18.7,0,1.4,22.9,3,5.7,79,76,klay thompson
id_000276,train,0,4,3.9,0,1.8,9.8,2,0,80,80,khris middleton
id_000277,train,0,2,7,0,0.8,21.8,2,5.6,82,83,jordan hill
id_000278,train,0,4,6.5,1,1.9,1,2,1.8,82,85,ed davis
id_000279,train,1,2,19.1,6,5,5.4,2,3.5,73,83,brandon jennings
id_000280,valid,0,4,10.3,1,1,2.9,2,1.4,83,85,enes kanter
id_000281,train,1,1,13,1,1.6,7.1,2,2.5,73,85,aaron brooks
id_000282,train,1,2,3,14,11.3,4.2,2,1.9,76,82,victor oladipo
id_000283,test,NA,3,17.2,7,6.5,4.2,2,3,76,85,elfrid payton
id_000284,train,0,4,2.3,1,5.1,3.7,2,1.7,80,80,thaddeus young
id_000285,train,1,1,16.3,0,0.1,1.9,2,2.1,81,81,luol deng
id_000286,train,1,3,17,0,1.3,3.4,2,1.8,82,78,al jefferson
id_000287,train,0,1,9.7,5,4,14.4,2,5.7,73,71,kemba walker
id_000288,train,1,1,15.5,0,1.1,23.6,3,5.6,77,83,courtney lee
id_000289,train,0,4,17.5,0,1.4,28.4,3,5.1,75,75,pablo prigioni
id_000290,train,0,2,6.3,0,0.6,9.6,2,6.1,81,83,lavoy allen
id_000291,train,1,4,7.2,0,1,3,2,2.6,82,85,aron baynes
id_000292,train,0,3,8.7,1,3.1,9.7,2,1.9,78,80,shabazz muhammad
id_000293,test,NA,2,18.2,0,1.4,0.5,2,2.4,82,83,blake griffin
id_000294,train,0,2,19.1,5,3.5,24.5,3,6,76,80,kirk hinrich
id_000295,train,0,2,23.7,1,1,8.9,2,3.8,85,82,andrew bogut
id_000296,valid,1,1,6.9,3,6.3,1.3,2,2.4,79,80,solomon hill
id_000297,train,0,2,13.7,1,3.4,14.8,2,3,78,81,kobe bryant
id_000298,train,0,4,12.7,0,0.8,18,2,4.5,80,80,derrick williams
id_000299,train,0,4,18.2,7,6,2.7,2,1.3,78,85,kobe bryant
id_000300,test,NA,2,6.4,0,0.7,25.5,3,5.1,79,78,solomon hill
id_000301,valid,0,4,4,0,2,25.3,3,6.8,79,75,wesley johnson
id_000302,train,1,1,20.1,0,0.9,24,3,3.8,79,81,jared dudley
id_000303,train,0,2,14,2,3,7,2,2.6,71,75,shane larkin
id_000304,train,0,3,7.1,0,1.4,2,2,1.1,83,81,pero antic
id_000305,train,0,4,4.5,0,0.8,20,2,6.8,82,79,anthony davis
id_000306,test,NA,3,4,0,1,3.3,2,1.5,83,76,mason plumlee
id_000307,train,1,3,15.1,0,0.8,18.8,2,4.8,85,81,jason smith
id_000308,test,NA,4,17.9,0,0.8,4.6,2,5.2,82,73,nikola mirotic
id_000309,train,1,2,18.8,3,5.1,24.4,3,4,79,80,gerald green
id_000310,train,0,2,21.7,0,0.8,23.3,3,7.6,81,83,patrick patterson
id_000311,train,0,2,9.4,3,3.8,10.1,2,3.3,75,75,damian lillard
id_000312,train,0,4,10.7,2,4.2,5.9,2,2.3,82,81,blake griffin
id_000313,test,NA,2,10.6,2,2.9,10,2,1.8,78,77,shabazz muhammad
id_000314,valid,1,2,11.3,0,0.8,3.5,2,2.3,85,82,cody zeller
id_000315,train,1,1,23.6,0,1.3,3.9,2,2.1,83,81,lamarcus aldridge
id_000316,train,1,3,10.7,0,0.8,24.6,3,6.9,77,80,wesley matthews
id_000317,train,0,1,3.2,0,1,10.3,2,4.7,82,83,jordan hill
id_000318,train,0,3,15.2,1,2.1,18.9,2,5.9,83,86,lamarcus aldridge
id_000319,test,NA,2,8.7,0,0.8,23.4,3,9.8,78,82,kj mcdaniels
id_000320,valid,0,3,16.1,1,2,18.7,2,5.7,82,76,al horford
id_000321,valid,0,1,6.5,2,2.3,5,2,0.3,85,85,jusuf nurkic
id_000322,train,0,4,24,0,0,1.7,2,2.1,80,82,thaddeus young
id_000323,train,0,2,7.7,3,4.6,4.9,2,0.8,82,83,serge ibaka
id_000324,test,NA,3,6,0,0,17.5,2,4.4,82,83,al jefferson
id_000325,test,NA,3,10.6,0,0.8,22.3,3,4.4,77,77,courtney lee
id_000326,test,NA,2,13,6,10.5,2.5,2,0,75,78,kyrie irving
id_000327,valid,1,3,15.1,10,8.8,4.7,2,3.5,71,80,ty lawson
id_000328,valid,0,2,6.2,2,1.8,17.8,2,6.1,77,85,rodney stuckey
id_000329,train,0,3,15.5,0,1,25.4,3,9.2,80,83,boris diaw
id_000330,valid,1,4,10.8,1,2.1,3.5,2,3.2,76,83,tony allen
id_000331,test,NA,3,18.4,0,0.8,5.1,2,2.9,82,81,derrick favors
id_000332,train,0,1,13.4,1,4.8,6.5,2,2.4,83,82,lamarcus aldridge
id_000333,train,1,2,8.7,0,0.7,23,3,4,85,80,spencer hawes
id_000334,valid,1,1,13.3,0,0.8,24.8,3,12.3,79,79,matt barnes
id_000335,train,1,4,10.9,0,0.9,22.9,3,7.9,73,78,mike conley
id_000336,train,1,3,11.8,0,0.9,23.6,3,8.8,78,85,andre iguodala
id_000337,train,0,2,10.2,0,1.3,8.2,2,1.4,83,83,marcin gortat
id_000338,train,0,1,9.6,0,0.9,22.5,3,5.6,75,79,jarrett jack
id_000339,train,0,1,5,10,5.8,7.4,2,2.5,79,81,michael kidd-gilchrist
